dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,43.0746,148.988,0.841771,8.97183,2.37108,43.1,149,0.369,9.01,2.409
dish_1558639818,20.102,59.0253,0.690401,4.65129,0.936339,20.06,59,0.118,4.72,0.472
dish_1558549605,97.7817,75.0265,0.788938,20.9053,2.07055,97.5,75,0.225,21,2.025
dish_1561663580,451.913,306.848,9.69557,31.2972,51.5394,432.063,307,9.84414,31.345,51.4323
dish_1565898402,392.447,228.921,19.4988,9.36281,39.3748,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,289.078,167.043,5.87348,0.677443,51.7133,275.55,167,6.012,0,51.77
dish_1566838351,190.981,416.886,1.21249,48.0418,2.31671,190.01,417,0.822,48.034,2.49
dish_1567107839,160.562,156,16.5737,11.878,18.6913,174.284,156,16.4693,11.9807,18.763
dish_1558639787,24.7736,99.0399,0.816847,4.85413,1.86632,24.75,99,0.297,4.95,1.782
dish_1562788601,361.862,286.91,19.3777,48.5638,23.0233,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,207.17,137.926,7.45501,3.81075,29.6875,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,345.449,170.077,23.6818,2.47681,30.9072,345.62,170,23.86,2.34,30.79
dish_1565896662,24.1148,57.0045,0.782933,3.58418,1.59027,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,809.073,551.93,31.5492,53.2164,83.6215,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,106.578,109.825,6.57499,27.0104,4.56646,179.63,110,6.49,26.95,4.51
dish_1565020926,395.877,488.849,10.3035,56.447,21.5903,398.496,489,10.3793,56.516,21.4723
dish_1564689168,364.988,339.076,27.5118,17.7133,14.9877,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,212.098,148.937,7.47954,4.55385,29.8658,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,11.5782,63.9653,0.696798,2.56331,0.933232,11.52,64,0.128,2.496,0.576
dish_1558373008,251.906,73.0435,19.8578,3.09504,14.0776,251.558,73,19.929,3.066,14.089
dish_1561577947,615.115,423.782,33.7949,12.8524,67.2515,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,60.3583,115.973,0.630712,16.2058,0.768428,60.32,116,0.232,16.24,0.348
dish_1565894889,145.842,74.0525,11.1347,33.2669,6.63575,257.813,74,11.168,33.295,6.641
dish_1561147944,39.7028,33.9952,3.62385,2.34024,1.11807,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,135.914,27.0106,11.2931,0.851985,9.92357,146.07,27,11.34,0.378,9.99
