dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,248.102,212.715,12.3997,19.0001,17.431,43.1,149,0.369,9.01,2.409
dish_1558639818,248.102,212.715,12.3997,19.0001,17.431,20.06,59,0.118,4.72,0.472
dish_1558549605,248.102,212.715,12.3997,19.0001,17.431,97.5,75,0.225,21,2.025
dish_1561663580,248.102,212.715,12.3997,19.0001,17.431,432.063,307,9.84414,31.345,51.4323
dish_1565898402,248.102,212.715,12.3997,19.0001,17.431,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,248.102,212.715,12.3997,19.0001,17.431,275.55,167,6.012,0,51.77
dish_1566838351,248.102,212.715,12.3997,19.0001,17.431,190.01,417,0.822,48.034,2.49
dish_1567107839,248.102,212.715,12.3997,19.0001,17.431,174.284,156,16.4693,11.9807,18.763
dish_1558639787,248.102,212.715,12.3997,19.0001,17.431,24.75,99,0.297,4.95,1.782
dish_1562788601,248.102,212.715,12.3997,19.0001,17.431,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,248.102,212.715,12.3997,19.0001,17.431,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,248.102,212.715,12.3997,19.0001,17.431,345.62,170,23.86,2.34,30.79
dish_1565896662,248.102,212.715,12.3997,19.0001,17.431,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,248.102,212.715,12.3997,19.0001,17.431,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,248.102,212.715,12.3997,19.0001,17.431,179.63,110,6.49,26.95,4.51
dish_1565020926,248.102,212.715,12.3997,19.0001,17.431,398.496,489,10.3793,56.516,21.4723
dish_1564689168,248.102,212.715,12.3997,19.0001,17.431,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,248.102,212.715,12.3997,19.0001,17.431,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,248.102,212.715,12.3997,19.0001,17.431,11.52,64,0.128,2.496,0.576
dish_1558373008,248.102,212.715,12.3997,19.0001,17.431,251.558,73,19.929,3.066,14.089
dish_1561577947,248.102,212.715,12.3997,19.0001,17.431,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,248.102,212.715,12.3997,19.0001,17.431,60.32,116,0.232,16.24,0.348
dish_1565894889,248.102,212.715,12.3997,19.0001,17.431,257.813,74,11.168,33.295,6.641
dish_1561147944,248.102,212.715,12.3997,19.0001,17.431,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,248.102,212.715,12.3997,19.0001,17.431,146.07,27,11.34,0.378,9.99
dish_1558641320,248.102,212.715,12.3997,19.0001,17.431,211.59,336,3.092,49.056,4.52
dish_1567007848,248.102,212.715,12.3997,19.0001,17.431,100.3,243,0.58,24.836,1.655
dish_1565810969,248.102,212.715,12.3997,19.0001,17.431,4.6,20,0.08,0.72,0.58
dish_1562168800,248.102,212.715,12.3997,19.0001,17.431,237.525,242,9.34268,36.3149,3.826
dish_1564687046,248.102,212.715,12.3997,19.0001,17.431,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,248.102,212.715,12.3997,19.0001,17.431,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,248.102,212.715,12.3997,19.0001,17.431,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,248.102,212.715,12.3997,19.0001,17.431,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,248.102,212.715,12.3997,19.0001,17.431,14.04,39,0.039,3.51,0.195
dish_1559850283,248.102,212.715,12.3997,19.0001,17.431,271.707,47,23.265,10.669,10.528
dish_1566502505,248.102,212.715,12.3997,19.0001,17.431,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,248.102,212.715,12.3997,19.0001,17.431,504.4,371,17.632,9.06,74.731
dish_1561739265,248.102,212.715,12.3997,19.0001,17.431,292.04,308,9.989,41.127,10.689
dish_1558373159,248.102,212.715,12.3997,19.0001,17.431,1013.34,334,79.118,30.505,60.625
dish_1565035830,248.102,212.715,12.3997,19.0001,17.431,340.128,414,6.475,14.785,54.718
dish_1562788568,248.102,212.715,12.3997,19.0001,17.431,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,248.102,212.715,12.3997,19.0001,17.431,735.03,270,55.444,32.24,33.301
dish_1561739160,248.102,212.715,12.3997,19.0001,17.431,34.77,61,0.183,8.54,0.427
dish_1558549773,248.102,212.715,12.3997,19.0001,17.431,2.3,10,0.04,0.36,0.29
dish_1561574394,248.102,212.715,12.3997,19.0001,17.431,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,248.102,212.715,12.3997,19.0001,17.431,10.98,61,0.122,2.379,0.549
dish_1563909469,248.102,212.715,12.3997,19.0001,17.431,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,248.102,212.715,12.3997,19.0001,17.431,51.06,74,0.148,13.32,0.518
dish_1565986733,248.102,212.715,12.3997,19.0001,17.431,387.929,287,35.6928,9.92611,42.9748
dish_1558639555,248.102,212.715,12.3997,19.0001,17.431,156.049,320,1.278,38.18,2.725
dish_1558546558,248.102,212.715,12.3997,19.0001,17.431,254.364,44,21.78,9.988,9.856
dish_1563984242,248.102,212.715,12.3997,19.0001,17.431,402.117,753,3.30239,36.8196,49.4078
dish_1559849097,248.102,212.715,12.3997,19.0001,17.431,495.928,325,29.044,55.626,14.261
dish_1563566965,248.102,212.715,12.3997,19.0001,17.431,370.827,286,12.0885,56.2438,13.121
dish_1566849895,248.102,212.715,12.3997,19.0001,17.431,112.31,153,7.341,12.821,1.31
dish_1559157919,248.102,212.715,12.3997,19.0001,17.431,37.0946,39,3.32846,1.52336,0.990958
dish_1558113477,248.102,212.715,12.3997,19.0001,17.431,289.05,50,24.75,11.35,11.2
dish_1559238993,248.102,212.715,12.3997,19.0001,17.431,61.56,108,0.324,15.12,0.756
dish_1562788506,248.102,212.715,12.3997,19.0001,17.431,114.588,108,2.592,23.76,3.348
dish_1562774129,248.102,212.715,12.3997,19.0001,17.431,73.0835,77,2.8981,11.3361,1.539
dish_1559578551,248.102,212.715,12.3997,19.0001,17.431,124.43,23,9.66,0.322,8.51
dish_1562788536,248.102,212.715,12.3997,19.0001,17.431,245.132,190,6.61,44.752,5.398
dish_1559233756,248.102,212.715,12.3997,19.0001,17.431,189.85,222,5.242,30.418,6.142
dish_1564428181,248.102,212.715,12.3997,19.0001,17.431,510.051,320,32.3234,20.955,34.3055
dish_1565118729,248.102,212.715,12.3997,19.0001,17.431,435.493,248,24.2651,9.01755,41.903
dish_1566414291,248.102,212.715,12.3997,19.0001,17.431,345.142,244,14.7944,46.0217,7.03522
dish_1561661347,248.102,212.715,12.3997,19.0001,17.431,50.67,132,1.632,7.215,3.426
dish_1563218408,248.102,212.715,12.3997,19.0001,17.431,245.34,87,10.44,27.84,10.44
dish_1561661377,248.102,212.715,12.3997,19.0001,17.431,306.334,294,8.97279,11.8548,43.7352
dish_1558639876,248.102,212.715,12.3997,19.0001,17.431,68.18,215,0.529,15.37,2.767
dish_1566849862,248.102,212.715,12.3997,19.0001,17.431,77.05,67,7.169,4.221,0.536
dish_1566502573,248.102,212.715,12.3997,19.0001,17.431,821.51,487,43.2062,60.7182,51.1893
dish_1562009810,248.102,212.715,12.3997,19.0001,17.431,119.88,108,0.972,24.84,2.808
dish_1564675411,248.102,212.715,12.3997,19.0001,17.431,235.531,308,7.033,2.708,35.193
dish_1560203424,248.102,212.715,12.3997,19.0001,17.431,451.754,138,22.272,50.212,14.588
dish_1562790824,248.102,212.715,12.3997,19.0001,17.431,437.072,368,49.8295,19.2739,49.8599
dish_1558030289,248.102,212.715,12.3997,19.0001,17.431,38.52,107,0.107,9.63,0.535
dish_1560444985,248.102,212.715,12.3997,19.0001,17.431,198.938,264,10.0954,24.0756,5.12749
dish_1563984140,248.102,212.715,12.3997,19.0001,17.431,245.44,472,0.944,3.304,47.2
dish_1561662160,248.102,212.715,12.3997,19.0001,17.431,41.8383,36,3.37508,2.75282,0.63016
dish_1558641164,248.102,212.715,12.3997,19.0001,17.431,80.08,154,0.308,21.56,0.462
dish_1558110335,248.102,212.715,12.3997,19.0001,17.431,37.87,7,2.94,0.098,2.59
dish_1565811061,248.102,212.715,12.3997,19.0001,17.431,380.32,324,7.762,9.06,65.801
dish_1559844490,248.102,212.715,12.3997,19.0001,17.431,108.36,180,0.459,27.45,1.359
dish_1562786103,248.102,212.715,12.3997,19.0001,17.431,93.081,57,3.363,13.965,2.337
dish_1563897087,248.102,212.715,12.3997,19.0001,17.431,102.44,231,0.67,8.169,15.196
dish_1566590007,248.102,212.715,12.3997,19.0001,17.431,740.762,457,29.2331,57.951,61.7982
dish_1560975517,248.102,212.715,12.3997,19.0001,17.431,42.39,99,1.858,4.608,3.064
dish_1557936645,248.102,212.715,12.3997,19.0001,17.431,11.88,36,0.108,2.88,0.252
dish_1565020796,248.102,212.715,12.3997,19.0001,17.431,90.6,99,3.542,0.749,12.06
dish_1559578579,248.102,212.715,12.3997,19.0001,17.431,142.58,78,9.825,4.722,8.895
dish_1557862783,248.102,212.715,12.3997,19.0001,17.431,442.98,258,24.919,3.85,50.416
dish_1560975601,248.102,212.715,12.3997,19.0001,17.431,233.936,253,8.42107,17.9459,22.7947
dish_1560367952,248.102,212.715,12.3997,19.0001,17.431,414.733,221,21.0739,45.9569,24.9389
dish_1563565454,248.102,212.715,12.3997,19.0001,17.431,350.789,322,22.6869,26.5777,22.2346
dish_1562703408,248.102,212.715,12.3997,19.0001,17.431,311.209,196,12.0492,32.8336,17.4077
dish_1564689138,248.102,212.715,12.3997,19.0001,17.431,268.267,223,21.9736,15.5228,5.80121
dish_1563221086,248.102,212.715,12.3997,19.0001,17.431,328.278,254,18.2271,12.3899,28.9173
dish_1567007814,248.102,212.715,12.3997,19.0001,17.431,73,152,0.398,17.92,1.109
dish_1565896701,248.102,212.715,12.3997,19.0001,17.431,294.473,184,18.1844,8.32206,25.7472
dish_1557937615,248.102,212.715,12.3997,19.0001,17.431,6.93,21,0.063,1.68,0.147
dish_1564427455,248.102,212.715,12.3997,19.0001,17.431,354.26,218,23.956,4.212,31.222
dish_1564588859,248.102,212.715,12.3997,19.0001,17.431,183.586,257,4.75445,9.57116,23.4361
