dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,31.8995,114.97,0.321979,6.80534,2.13723,43.1,149,0.369,9.01,2.409
dish_1558639818,24.506,75.4319,0.22167,6.50546,0.725291,20.06,59,0.118,4.72,0.472
dish_1558549605,64.3999,65.4772,0.186991,15.6233,1.34889,97.5,75,0.225,21,2.025
dish_1561663580,441.927,340.557,15.4732,8.53965,66.6125,432.063,307,9.84414,31.345,51.4323
dish_1565898402,529.77,374.021,27.6205,21.8613,51.8811,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,159.757,136.459,2.12639,0.315614,31.5529,275.55,167,6.012,0,51.77
dish_1566838351,141.058,281.444,0.443922,34.1037,2.00184,190.01,417,0.822,48.034,2.49
dish_1567107839,99.227,87.4828,7.93485,5.26946,9.90502,174.284,156,16.4693,11.9807,18.763
dish_1558639787,17.8009,78.9754,0.307922,3.88027,1.41168,24.75,99,0.297,4.95,1.782
dish_1562788601,443.421,278.589,28.1257,29.225,37.7116,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,312.745,247.231,12.8336,10.2434,36.8134,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,301.967,158.916,20.7946,2.16889,23.1228,345.62,170,23.86,2.34,30.79
dish_1565896662,23.7356,70.6746,0.32979,4.46168,1.91472,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,499.877,376.447,19.783,41.3382,42.9194,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,197.271,116.237,7.27028,28.1463,5.38686,179.63,110,6.49,26.95,4.51
dish_1565020926,442.15,519.828,15.2121,51.7035,30.1487,398.496,489,10.3793,56.516,21.4723
dish_1564689168,290.508,310.078,19.7051,25.2174,10.0716,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,357.801,293.448,15.3996,13.2161,40.8168,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,12.3474,68.4903,0.225801,3.42053,0.879767,11.52,64,0.128,2.496,0.576
dish_1558373008,268.239,83.8575,21.0519,3.22835,15.7823,251.558,73,19.929,3.066,14.089
dish_1561577947,393.813,242.263,17.2631,7.92286,44.9027,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,74.9829,145.28,0.3125,20.229,0.614542,60.32,116,0.232,16.24,0.348
dish_1565894889,537.957,260.372,23.4836,64.1683,21.8716,257.813,74,11.168,33.295,6.641
dish_1561147944,137.535,154.782,9.66515,14.8791,0.813859,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,120.244,25.0448,9.50824,0.380159,8.08137,146.07,27,11.34,0.378,9.99
dish_1558641320,199.151,339.235,2.56456,45.0419,4.59303,211.59,336,3.092,49.056,4.52
dish_1567007848,179.924,414.564,0.571312,42.8963,4.17677,100.3,243,0.58,24.836,1.655
dish_1565810969,2.3476,22.2859,0.227437,1.41047,0.72707,4.6,20,0.08,0.72,0.58
dish_1562168800,252.199,305.211,8.91625,42.67,4.47824,237.525,242,9.34268,36.3149,3.826
dish_1564687046,510.581,328.962,36.1717,15.1975,46.6639,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,448.635,263.577,23.3133,9.40855,46.7768,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,460.364,290.034,23.748,16.686,46.6164,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,319.631,192.527,19.7155,21.3014,27.3094,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,41.6232,114.769,0.230605,11.3037,0.735612,14.04,39,0.039,3.51,0.195
dish_1559850283,271.363,64.3528,22.3941,10.3792,10.7573,271.707,47,23.265,10.669,10.528
dish_1566502505,673.698,413.942,34.5295,55.931,44.0744,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,134.143,127.286,3.75165,1.77877,21.0805,504.4,371,17.632,9.06,74.731
dish_1561739265,516.812,559.743,18.2074,68.0237,26.7182,292.04,308,9.989,41.127,10.689
dish_1558373159,731.841,332.223,52.1698,25.4263,49.3658,1013.34,334,79.118,30.505,60.625
dish_1565035830,265.956,311.423,5.57225,13.6015,38.9797,340.128,414,6.475,14.785,54.718
dish_1562788568,281.34,197.177,17.5834,21.3733,24.5891,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,653.275,299.285,48.3522,31.6641,33.1868,735.03,270,55.444,32.24,33.301
dish_1561739160,59.705,98.1115,0.356146,14.9898,0.808477,34.77,61,0.183,8.54,0.427
dish_1558549773,2.3476,22.2859,0.227437,1.41047,0.72707,2.3,10,0.04,0.36,0.29
dish_1561574394,127.244,151.09,9.66572,7.04956,4.46195,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,12.3474,68.4903,0.225801,3.42053,0.879767,10.98,61,0.122,2.379,0.549
dish_1563909469,81.9748,75.6164,6.78917,3.18158,1.50483,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,46.2801,70.6548,0.20382,12.7493,0.541695,51.06,74,0.148,13.32,0.518
dish_1565986733,295.923,314.444,18.8101,15.9506,27.3164,387.929,287,35.6928,9.92611,42.9748
dish_1558639555,206.58,354.622,2.71337,45.553,5.50151,156.049,320,1.278,38.18,2.725
dish_1558546558,271.363,64.3528,22.3941,10.3792,10.7573,254.364,44,21.78,9.988,9.856
dish_1563984242,285.01,478.217,3.31477,33.8833,27.7862,402.117,753,3.30239,36.8196,49.4078
dish_1559849097,326.277,302.951,12.6487,52.8232,6.34082,495.928,325,29.044,55.626,14.261
dish_1563566965,357.817,247.711,15.5123,43.0904,15.874,370.827,286,12.0885,56.2438,13.121
dish_1566849895,78.9148,111.101,4.87439,8.4584,0.996919,112.31,153,7.341,12.821,1.31
dish_1559157919,76.0984,82.1863,6.19783,2.70351,1.80424,37.0946,39,3.32846,1.52336,0.990958
dish_1558113477,271.363,64.3528,22.3941,10.3792,10.7573,289.05,50,24.75,11.35,11.2
dish_1559238993,59.705,98.1115,0.356146,14.9898,0.808477,61.56,108,0.324,15.12,0.756
dish_1562788506,83.2999,74.4278,1.64657,16.132,2.27335,114.588,108,2.592,23.76,3.348
dish_1562774129,165.663,167.899,4.0349,27.1398,2.41797,73.0835,77,2.8981,11.3361,1.539
dish_1559578551,120.244,25.0448,9.50824,0.380159,8.08137,124.43,23,9.66,0.322,8.51
dish_1562788536,167.612,110.309,5.38168,25.7791,4.34125,245.132,190,6.61,44.752,5.398
dish_1559233756,196.757,216.008,7.60288,25.5954,8.1887,189.85,222,5.242,30.418,6.142
dish_1564428181,412.455,313.043,20.9226,28.8389,27.7196,510.051,320,32.3234,20.955,34.3055
dish_1565118729,249.506,200.6,12.6152,10.6176,21.6586,435.493,248,24.2651,9.01755,41.903
dish_1566414291,218.575,186.593,9.04716,32.1365,5.96859,345.142,244,14.7944,46.0217,7.03522
dish_1561661347,78.2456,160.646,3.13073,8.45024,5.02884,50.67,132,1.632,7.215,3.426
dish_1563218408,174.39,72.611,8.06303,18.6167,7.12371,245.34,87,10.44,27.84,10.44
dish_1561661377,516.823,437.715,21.1879,19.5409,67.5378,306.334,294,8.97279,11.8548,43.7352
dish_1558639876,78.4544,235.948,0.461099,16.2569,3.4906,68.18,215,0.529,15.37,2.767
dish_1566849862,46.9604,40.7836,4.30821,2.71421,0.386968,77.05,67,7.169,4.221,0.536
dish_1566502573,867.741,551.455,40.8472,55.8958,76.7721,821.51,487,43.2062,60.7182,51.1893
dish_1562009810,22.5823,28.6985,0.234677,3.56387,1.83237,119.88,108,0.972,24.84,2.808
dish_1564675411,238.624,250.04,8.94812,3.91282,34.7622,235.531,308,7.033,2.708,35.193
dish_1560203424,475.981,208.851,24.9775,50.0637,16.5229,451.754,138,22.272,50.212,14.588
dish_1562790824,282.372,206.513,25.4736,7.85609,22.4288,437.072,368,49.8295,19.2739,49.8599
dish_1558030289,41.6232,114.769,0.230605,11.3037,0.735612,38.52,107,0.107,9.63,0.535
dish_1560444985,412.678,560.318,21.3139,43.2791,17.4109,198.938,264,10.0954,24.0756,5.12749
dish_1563984140,102.96,199.021,0.349718,1.92521,21.3834,245.44,472,0.944,3.304,47.2
dish_1561662160,90.7468,87.5724,6.57412,6.07265,2.59219,41.8383,36,3.37508,2.75282,0.63016
dish_1558641164,74.9829,145.28,0.3125,20.229,0.614542,80.08,154,0.308,21.56,0.462
dish_1558110335,120.244,25.0448,9.50824,0.380159,8.08137,37.87,7,2.94,0.098,2.59
dish_1565811061,307.467,341.668,6.34529,13.9465,45.0481,380.32,324,7.762,9.06,65.801
dish_1559844490,80.5857,128.467,0.318026,20.8508,0.871665,108.36,180,0.459,27.45,1.359
dish_1562786103,197.271,116.237,7.27028,28.1463,5.38686,93.081,57,3.363,13.965,2.337
dish_1563897087,156.577,286.762,1.10281,9.71368,23.6887,102.44,231,0.67,8.169,15.196
dish_1566590007,566.064,375.634,21.961,38.8189,52.8378,740.762,457,29.2331,57.951,61.7982
dish_1560975517,82.8963,155.008,2.97561,10.242,5.25154,42.39,99,1.858,4.608,3.064
dish_1557936645,24.2474,76.5868,0.314301,6.38222,0.764796,11.88,36,0.108,2.88,0.252
dish_1565020796,241.177,228.093,9.25545,3.65464,32.8295,90.6,99,3.542,0.749,12.06
dish_1559578579,156.192,93.39,9.45794,7.10716,9.65177,142.58,78,9.825,4.722,8.895
dish_1557862783,573.986,387.432,27.7403,0.877924,77.7028,442.98,258,24.919,3.85,50.416
dish_1560975601,396.781,347.235,16.2215,21.198,42.8088,233.936,253,8.42107,17.9459,22.7947
dish_1560367952,291.059,179.923,17.5869,20.2123,25.312,414.733,221,21.0739,45.9569,24.9389
dish_1563565454,639.489,588.346,41.4473,41.7567,49.2301,350.789,322,22.6869,26.5777,22.2346
dish_1562703408,543.188,342.957,25.2501,42.1757,38.2802,311.209,196,12.0492,32.8336,17.4077
dish_1564689138,266.528,270.166,18.6851,24.6982,6.50647,268.267,223,21.9736,15.5228,5.80121
dish_1563221086,493.737,335.559,24.8871,15.2312,49.4041,328.278,254,18.2271,12.3899,28.9173
dish_1567007814,164.662,320.834,0.562381,40.1285,3.04569,73,152,0.398,17.92,1.109
dish_1565896701,347.832,205.554,22.8017,5.32417,33.4268,294.473,184,18.1844,8.32206,25.7472
dish_1557937615,24.2474,76.5868,0.314301,6.38222,0.764796,6.93,21,0.063,1.68,0.147
dish_1564427455,312.555,220.761,21.151,4.32437,24.1455,354.26,218,23.956,4.212,31.222
dish_1564588859,199.783,262.08,6.22114,13.0006,21.7166,183.586,257,4.75445,9.57116,23.4361
dish_1561577848,388.733,266.947,14.3192,10.8446,49.5584,413.348,254,13.8416,6.03791,63.1229
dish_1563389600,428.946,259.369,27.8252,10.1465,37.0891,451.428,264,29.046,2.924,44.474
dish_1566316726,221.251,313.68,3.29399,17.4953,27.101,409.523,685,4.10161,25.3654,57.4902
dish_1562776465,118.876,152.403,2.09301,22.343,3.32949,173.432,212,4.40542,31.4916,3.63413
dish_1568401261,139.765,220.199,9.37142,13.8949,3.12967,530.393,443,26.3507,34.583,39.132
dish_1559841950,30.1153,70.8223,0.385357,5.63608,1.82373,11.2,32,0.128,2.24,0.768
dish_1558375667,271.363,64.3528,22.3941,10.3792,10.7573,687.939,119,58.905,27.013,26.656
dish_1566328805,477.045,347.968,14.6629,44.9791,40.5251,927.81,488,28.737,85.054,77.984
dish_1558114145,46.2801,70.6548,0.20382,12.7493,0.541695,57.27,83,0.166,14.94,0.581
dish_1562700593,443.307,452.326,32.1778,27.1247,38.8207,385.774,384,29.8068,18.612,37.0463
dish_1557937574,1.15728,30.5199,0.219683,2.30269,0.383397,5.59,13,0.065,1.196,0.182
dish_1561661324,32.7208,79.6095,1.55088,3.36169,2.22706,33,75,1.575,3.225,2.4
dish_1564588820,102.96,199.021,0.349718,1.92521,21.3834,81.12,156,0.312,1.092,15.6
dish_1566414225,84.9161,85.2882,2.33208,15.2914,1.61766,125.182,88,4.18641,17.9417,3.75922
dish_1568305257,438.915,243.639,36.0643,5.11861,25.0448,837.148,420,65.4969,9.31325,52.073
dish_1564773826,12.3474,68.4903,0.225801,3.42053,0.879767,10.08,56,0.112,2.184,0.504
dish_1562700496,17.8009,78.9754,0.307922,3.88027,1.41168,31,124,0.372,6.2,2.232
dish_1566850099,70.6256,65.2563,6.46129,2.04764,1.29214,113.058,112,10.6873,4.14074,1.52555
dish_1560975628,445.587,340.808,16.7482,38.3907,36.8526,348.273,296,12.4631,32.3509,27.6107
