dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,46.9739,150.771,0.203081,8.45796,2.7426,43.1,149,0.369,9.01,2.409
dish_1558639818,20.9535,58.6519,0.133546,4.7449,0.488226,20.06,59,0.118,4.72,0.472
dish_1558549605,65.3322,76.1818,0.125899,17.5205,0.948912,97.5,75,0.225,21,2.025
dish_1561663580,456.314,312.249,14.9901,7.87794,63.2016,432.063,307,9.84414,31.345,51.4323
dish_1565898402,346.089,231.41,18.2061,9.53499,37.6964,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,261.586,168.769,6.75641,2.3934,38.126,275.55,167,6.012,0,51.77
dish_1566838351,218.36,416.07,0.630465,43.8167,7.00762,190.01,417,0.822,48.034,2.49
dish_1567107839,222.668,153.593,10.6625,15.683,17.5952,174.284,156,16.4693,11.9807,18.763
dish_1558639787,28.1094,99.646,0.138852,4.80823,1.68719,24.75,99,0.297,4.95,1.782
dish_1562788601,476.494,287.232,25.0928,25.6779,38.2273,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,162.836,137.682,7.75421,4.64281,20.8165,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,360.932,171.82,26.0679,3.82596,24.9852,345.62,170,23.86,2.34,30.79
dish_1565896662,11.9728,59.0138,0.02716,3.51633,0.604977,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,771.805,552.444,29.9925,51.3774,68.7522,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,175.313,111.36,6.34623,24.7529,4.88605,179.63,110,6.49,26.95,4.51
dish_1565020926,442.161,487.897,15.5445,48.0671,28.8125,398.496,489,10.3793,56.516,21.4723
dish_1564689168,385.964,334.293,23.3537,31.4283,17.143,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,150.16,147.91,7.44267,6.1227,18.4982,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,14.0172,63.827,0.12035,2.22094,0.833472,11.52,64,0.128,2.496,0.576
dish_1558373008,252.575,70.6118,19.3216,1.75161,13.1616,251.558,73,19.929,3.066,14.089
dish_1561577947,649.398,426.507,30.2491,16.7614,69.6172,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,61.986,116.151,0.0699776,16.8376,0.235278,60.32,116,0.232,16.24,0.348
dish_1565894889,293.368,80.131,13.5479,32.8269,11.2866,257.813,74,11.168,33.295,6.641
dish_1561147944,29.1484,36.1157,2.34489,0.790455,0.359758,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,136.076,27.5915,11.2916,0.524413,9.35098,146.07,27,11.34,0.378,9.99
dish_1558641320,207.556,335.048,1.00499,44.706,3.69308,211.59,336,3.092,49.056,4.52
dish_1567007848,123.606,242.235,0.0938627,30.302,0.688897,100.3,243,0.58,24.836,1.655
dish_1565810969,3.78917,19.4943,0.137508,0.853414,0.496776,4.6,20,0.08,0.72,0.58
dish_1562168800,215.19,245.753,6.59249,35.4912,2.42592,237.525,242,9.34268,36.3149,3.826
dish_1564687046,547.203,307.207,34.9728,15.4074,44.2471,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,325.833,164.061,15.9591,7.59214,33.2596,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,351.853,205.552,18.4105,7.21671,38.7998,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,436.509,196.287,21.7692,28.2698,28.3095,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,12.3667,40.8623,0.0474027,3.98136,0.178062,14.04,39,0.039,3.51,0.195
dish_1559850283,261.988,48.2294,23.5031,11.0382,10.9447,271.707,47,23.265,10.669,10.528
dish_1566502505,435.277,276.402,20.9939,40.6899,22.0133,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,368.905,373.224,10.7886,8.12492,51.9237,504.4,371,17.632,9.06,74.731
dish_1561739265,280.837,301.771,10.2876,38.8025,9.81775,292.04,308,9.989,41.127,10.689
dish_1558373159,848.693,331.525,62.9229,17.4075,58.7278,1013.34,334,79.118,30.505,60.625
dish_1565035830,262.987,414.986,0.865838,16.4053,38.6706,340.128,414,6.475,14.785,54.718
