dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,42.7195,149,0.463994,9.63698,2.01486,43.1,149,0.369,9.01,2.409
dish_1558639818,19.5036,59,0.132036,4.58443,0.480265,20.06,59,0.118,4.72,0.472
dish_1558549605,96.1681,75,0.16813,20.8488,1.94542,97.5,75,0.225,21,2.025
dish_1561663580,459.587,307,13.9489,8.44496,71.7943,432.063,307,9.84414,31.345,51.4323
dish_1565898402,340.379,229,15.9486,10.5162,35.9072,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,276.303,167,6.61567,0.519542,49.5099,275.55,167,6.012,0,51.77
dish_1566838351,191.572,417,0.85367,48.8654,2.44426,190.01,417,0.822,48.034,2.49
dish_1567107839,170.721,156,15.3185,12.8883,17.1769,174.284,156,16.4693,11.9807,18.763
dish_1558639787,24.6294,99,0.332196,4.9391,1.74386,24.75,99,0.297,4.95,1.782
dish_1562788601,395.533,287,26.0626,25.522,35.5178,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,159.971,138,7.48512,4.46759,18.9637,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,324.851,170,22.0476,3.12144,27.516,345.62,170,23.86,2.34,30.79
dish_1565896662,18.8044,57,0.22609,3.47468,1.42776,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,853.164,552,31.3812,63.917,77.7914,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,175.215,110,6.64901,26.2408,4.5559,179.63,110,6.49,26.95,4.51
dish_1565020926,446.589,489,14.5915,49.9881,29.2878,398.496,489,10.3793,56.516,21.4723
dish_1564689168,308.988,339,19.7043,23.5513,13.1691,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,160.661,149,7.73736,5.4686,17.8212,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,11.5542,64,0.140819,2.56719,0.552209,11.52,64,0.128,2.496,0.576
dish_1558373008,248.6,73,19.777,2.80658,14.142,251.558,73,19.929,3.066,14.089
dish_1561577947,760.551,424,34.8418,7.75545,95.704,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,60.3444,116,0.220824,15.9914,0.395507,60.32,116,0.232,16.24,0.348
dish_1565894889,416.87,74,15.3999,58.8749,10.1638,257.813,74,11.168,33.295,6.641
dish_1561147944,35.3873,34,2.64864,2.78909,0.812931,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,141.995,27,11.148,0.266241,9.70345,146.07,27,11.34,0.378,9.99
dish_1558641320,178.681,336,2.31991,41.3721,3.5602,211.59,336,3.092,49.056,4.52
dish_1567007848,111.877,243,0.679597,26.9967,1.95884,100.3,243,0.58,24.836,1.655
dish_1565810969,4.57709,20,0.0788222,0.748676,0.537188,4.6,20,0.08,0.72,0.58
dish_1562168800,211.495,242,7.77742,35.1457,3.85813,237.525,242,9.34268,36.3149,3.826
