dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,44.536064,162.5587,0.56925344,9.194202,2.6528032,43.1,149.0,0.369,9.01,2.409
dish_1558639818,26.92874,78.18078,0.15082927,6.536693,0.71736836,20.06,59.0,0.118,4.72,0.472
dish_1558549605,82.7458,66.79183,0.1785883,19.151443,1.75992,97.5,75.0,0.225,21.0,2.025
dish_1561663580,368.82037,260.85513,15.544034,24.663881,34.260193,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,346.83847,205.34842,20.953032,11.331003,30.434519,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,251.09276,169.24693,8.229237,1.6185826,40.936974,275.55,167.0,6.012,0.0,51.77
dish_1566838351,161.35098,362.72073,0.9343359,39.814426,2.6587431,190.01,417.0,0.822,48.034,2.49
dish_1567107839,222.65845,155.0855,15.090119,6.160399,20.47798,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,27.221832,97.31223,0.20447233,5.1312137,2.2659502,24.75,99.0,0.297,4.95,1.782
dish_1562788601,459.666,306.04187,23.382488,39.95851,32.345978,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,159.46301,105.77747,7.4198337,14.441879,10.5248375,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,320.17624,178.8521,20.927841,5.0458217,29.837599,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,48.19737,58.25545,3.4732783,4.281771,1.0619953,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,646.345,477.95004,28.465218,42.475124,59.235302,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,129.21616,67.446365,6.1554494,13.357126,5.721088,179.63,110.0,6.49,26.95,4.51
dish_1565020926,333.63858,430.11557,9.554757,46.162975,19.894293,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,334.71103,307.71487,19.092676,30.20058,20.000473,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,172.7904,118.77837,8.00962,15.91963,11.300161,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,12.526536,81.66797,0.123341486,2.9220643,0.8656415,11.52,64.0,0.128,2.496,0.576
dish_1558373008,239.71706,68.93333,18.903244,3.047433,13.480508,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,519.2309,394.8342,27.363028,19.103155,51.696877,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,62.719334,124.29368,0.26459676,16.4696,0.56933403,60.32,116.0,0.232,16.24,0.348
dish_1565894889,179.46547,58.80431,8.852919,17.589163,7.8672504,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,55.371017,45.812107,4.5902925,2.871583,1.1547369,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,126.360916,23.573948,9.6379175,0.5701536,8.668785,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,203.29193,373.935,2.4003413,49.550846,4.349798,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,124.198296,270.7206,0.92693883,29.568169,2.0749297,100.3,243.0,0.58,24.836,1.655
dish_1565810969,5.0910373,51.159595,0.10885578,1.4062803,1.5471681,4.6,20.0,0.08,0.72,0.58
dish_1562168800,204.76958,246.7108,6.6125317,35.168102,3.5528007,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,456.4034,303.19937,28.405514,16.290339,38.40905,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,299.4029,186.37483,19.137436,8.388106,25.514616,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,338.39957,168.95415,20.317759,9.142965,30.037046,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,452.41483,179.38326,18.983988,41.629208,29.793163,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,9.303733,36.2551,0.06467198,2.5468986,0.34819508,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,255.12512,45.013424,21.444145,10.454085,10.196862,271.707,47.0,23.265,10.669,10.528
dish_1566502505,412.39664,301.56033,20.34492,33.371044,29.529383,454.51736,275.0,22.45969,33.1468,31.874937
dish_1565811091,468.0704,448.03162,25.24265,21.421741,45.29137,504.40002,371.0,17.632,9.06,74.731
dish_1561739265,316.72202,344.7309,11.021915,43.979946,13.012439,292.04,308.0,9.989,41.127003,10.689
dish_1558373159,893.04535,305.2623,67.80287,41.264145,38.790047,1013.33704,334.0,79.118,30.505001,60.625
dish_1565035830,327.26096,424.06735,9.949339,15.82357,43.365974,340.128,414.0,6.475,14.785001,54.718
