dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,49.1523,157.958,0.531815,9.77757,2.68613,43.1,149,0.369,9.01,2.409
dish_1558639818,24.6455,84.7241,0.155849,6.4338,0.675585,20.06,59,0.118,4.72,0.472
dish_1558549605,89.5273,69.1806,0.186696,20.4291,1.93713,97.5,75,0.225,21,2.025
dish_1561663580,344.339,254.915,13.7514,20.3742,35.3274,432.063,307,9.84414,31.345,51.4323
dish_1565898402,370.651,224.374,22.766,12.3845,30.9299,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,248.96,164.975,9.0362,1.75117,38.0251,275.55,167,6.012,0,51.77
dish_1566838351,169.751,357.153,1.16931,41.0516,2.18602,190.01,417,0.822,48.034,2.49
dish_1567107839,231.007,146.522,13.2838,5.53875,22.3887,174.284,156,16.4693,11.9807,18.763
dish_1558639787,27.8491,98.2542,0.298795,5.56199,1.81334,24.75,99,0.297,4.95,1.782
dish_1562788601,451.807,311.1,22.1867,38.6157,31.6145,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,145.272,106.815,5.24395,18.8631,6.77569,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,340.029,185.696,21.4776,5.55001,31.6746,345.62,170,23.86,2.34,30.79
dish_1565896662,64.7618,76.2467,4.71548,6.03295,1.25796,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,623.054,496.395,23.4844,43.0414,61.088,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,129.5,81.52,7.01478,10.0727,7.08479,179.63,110,6.49,26.95,4.51
dish_1565020926,346.114,441.27,9.39765,48.9772,19.7117,398.496,489,10.3793,56.516,21.4723
dish_1564689168,377.379,332.683,20.3378,31.3818,24.1206,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,156.153,127.897,5.73024,19.2468,8.29781,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,13.9966,83.6908,0.211011,3.21215,0.664141,11.52,64,0.128,2.496,0.576
dish_1558373008,246.041,68.0393,19.7241,3.27746,13.5971,251.558,73,19.929,3.066,14.089
dish_1561577947,548.404,376.337,28.0214,20.2268,53.329,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,70.4828,130.593,0.343232,18.3766,0.462734,60.32,116,0.232,16.24,0.348
dish_1565894889,150.694,59.3223,6.26048,18.0016,5.69506,257.813,74,11.168,33.295,6.641
dish_1561147944,48.1833,49.9109,4.02542,2.6477,1.20557,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,125.926,25.9426,9.42103,0.71498,8.67966,146.07,27,11.34,0.378,9.99
dish_1558641320,211.06,365.296,2.78148,49.8581,4.24981,211.59,336,3.092,49.056,4.52
dish_1567007848,129.858,269.454,1.02924,30.9202,1.7831,100.3,243,0.58,24.836,1.655
dish_1565810969,6.69784,47.6968,0.185448,1.54471,1.40465,4.6,20,0.08,0.72,0.58
dish_1562168800,191.094,256.76,5.63434,35.0314,2.71619,237.525,242,9.34268,36.3149,3.826
dish_1564687046,465.618,298.943,27.7021,16.9044,39.2755,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,322.078,195.189,20.2803,9.63867,26.1408,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,362.322,186.411,22.3881,8.83113,31.1054,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,447.14,188.285,18.1538,41.3027,29.5308,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,13.8979,39.0725,0.0726414,3.60036,0.266966,14.04,39,0.039,3.51,0.195
dish_1559850283,248.23,42.5078,21.0244,10.9248,9.39454,271.707,47,23.265,10.669,10.528
dish_1566502505,412.73,319.25,21.0959,33.5213,27.9152,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,446.358,466.172,19.9071,26.5102,44.4123,504.4,371,17.632,9.06,74.731
dish_1561739265,335.238,328.9,12.5769,44.648,12.4407,292.04,308,9.989,41.127,10.689
dish_1558373159,893.021,287.89,69.0813,43.4381,37.0972,1013.34,334,79.118,30.505,60.625
dish_1565035830,319.338,387.022,8.58718,15.3381,43.4308,340.128,414,6.475,14.785,54.718
dish_1562788568,345.173,261.805,14.946,36.5548,21.2257,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,883.223,269.556,68.6914,35.6521,39.4172,735.03,270,55.444,32.24,33.301
dish_1561739160,36.0798,64.6937,0.34601,8.25981,0.656829,34.77,61,0.183,8.54,0.427
dish_1558549773,2.67127,13.6245,0.0851345,0.508089,0.329353,2.3,10,0.04,0.36,0.29
dish_1561574394,71.6335,94.4852,5.33339,4.38954,2.9716,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,10.9026,66.129,0.147957,2.37064,0.534043,10.98,61,0.122,2.379,0.549
dish_1563909469,49.7142,61.6495,4.11626,2.64184,1.44074,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,48.8651,70.291,0.222948,12.3191,0.53452,51.06,74,0.148,13.32,0.518
dish_1565986733,409.974,254.66,27.5716,11.1916,36.4131,387.929,287,35.6928,9.92611,42.9748
dish_1558639555,180.158,321.72,1.84428,42.4881,3.77639,156.049,320,1.278,38.18,2.725
dish_1558546558,254.406,41.9534,21.8038,10.9379,9.6413,254.364,44,21.78,9.988,9.856
dish_1563984242,406.66,735.821,4.04576,40.4893,44.6698,402.117,753,3.30239,36.8196,49.4078
dish_1559849097,394.191,294.602,20.4035,50.569,10.3611,495.928,325,29.044,55.626,14.261
dish_1563566965,327.16,290.526,20.5663,27.6779,13.353,370.827,286,12.0885,56.2438,13.121
dish_1566849895,77.7825,120.836,3.39499,11.3384,1.55175,112.31,153,7.341,12.821,1.31
dish_1559157919,31.1465,43.6984,2.25595,2.38803,1.55261,37.0946,39,3.32846,1.52336,0.990958
dish_1558113477,276.644,47.2763,23.6922,11.696,10.5908,289.05,50,24.75,11.35,11.2
dish_1559238993,51.4338,97.2896,0.203399,12.9206,0.744983,61.56,108,0.324,15.12,0.756
dish_1562788506,105.57,106.557,2.8445,20.2693,2.88084,114.588,108,2.592,23.76,3.348
dish_1562774129,90.2821,104.616,5.57894,10.1889,1.29196,73.0835,77,2.8981,11.3361,1.539
dish_1559578551,126.575,26.5007,9.35212,0.489992,9.17978,124.43,23,9.66,0.322,8.51
dish_1562788536,282.592,211.734,13.0885,35.2806,11.0343,245.132,190,6.61,44.752,5.398
dish_1559233756,196.79,194.723,6.96462,26.7802,7.60479,189.85,222,5.242,30.418,6.142
dish_1564428181,465.458,284.505,26.1424,13.004,44.4927,510.051,320,32.3234,20.955,34.3055
dish_1565118729,389.919,214.924,23.363,8.31841,34.8494,435.493,248,24.2651,9.01755,41.903
dish_1568305225,425.769,175.57,30.7276,8.41657,25.7062,428.668,144,35.1369,4.89725,24.473
dish_1566414291,330.138,250.202,16.8651,37.2618,10.9187,345.142,244,14.7944,46.0217,7.03522
dish_1561661347,71.7761,149.303,3.07345,9.01865,4.58466,50.67,132,1.632,7.215,3.426
dish_1566501575,562.179,438.944,23.0473,20.7381,65.6441,251.694,54,15.552,26.892,3.348
dish_1563218408,257.539,96.2667,10.9522,28.1333,11.1529,245.34,87,10.44,27.84,10.44
dish_1561661377,289.572,284.079,14.4696,13.5905,29.7363,306.334,294,8.97279,11.8548,43.7352
dish_1558639876,90.3769,255.035,0.96593,19.6355,3.13689,68.18,215,0.529,15.37,2.767
dish_1566849862,70.479,55.8446,6.57139,3.79674,0.229841,77.05,67,7.169,4.221,0.536
dish_1566502573,641.921,514.113,26.3826,63.6235,46.7629,821.51,487,43.2062,60.7182,51.1893
dish_1562009810,125.2,103.874,2.83438,22.8956,2.9138,119.88,108,0.972,24.84,2.808
dish_1564675411,260.034,305.907,9.09411,4.33518,35.5844,235.531,308,7.033,2.708,35.193
dish_1560203424,419.341,128.043,20.3089,40.5463,18.6109,451.754,138,22.272,50.212,14.588
dish_1562790824,601.399,356.199,37.5395,22.6696,48.8724,437.072,368,49.8295,19.2739,49.8599
dish_1558030289,37.625,104.736,0.136587,9.82259,0.470293,38.52,107,0.107,9.63,0.535
dish_1560444985,167.96,269.347,6.45796,23.5657,6.33899,198.938,264,10.0954,24.0756,5.12749
dish_1563984140,222.132,411.386,0.764503,2.91044,42.3778,245.44,472,0.944,3.304,47.2
dish_1561662160,82.8899,60.6158,5.99114,4.91584,3.67806,41.8383,36,3.37508,2.75282,0.63016
dish_1558641164,79.469,142.522,0.354166,20.8056,0.521751,80.08,154,0.308,21.56,0.462
dish_1558110335,43.9371,7.98874,3.09591,0.855696,2.7409,37.87,7,2.94,0.098,2.59
dish_1565811061,192.888,313.897,8.24099,13.1475,19.7375,380.32,324,7.762,9.06,65.801
