dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,44.0168,159.808,0.400519,8.5052,2.75865,43.1,149,0.369,9.01,2.409
dish_1558639818,24.3085,83.5185,0.125527,6.07171,0.723909,20.06,59,0.118,4.72,0.472
dish_1558549605,86.8934,74.0524,-0.00762501,20.7976,1.90325,97.5,75,0.225,21,2.025
dish_1561663580,371.947,268.191,16.9934,25.5014,33.4608,432.063,307,9.84414,31.345,51.4323
dish_1565898402,335.885,217.51,21.2982,9.79204,29.8366,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,208.993,148.241,5.41653,-0.953443,38.3345,275.55,167,6.012,0,51.77
dish_1566838351,168.074,350.269,1.03954,40.8515,2.28428,190.01,417,0.822,48.034,2.49
dish_1567107839,220.618,138.614,12.4418,4.67255,23.019,174.284,156,16.4693,11.9807,18.763
dish_1558639787,26.4273,97.0145,0.196768,4.31415,2.27159,24.75,99,0.297,4.95,1.782
dish_1562788601,408.683,304.576,19.871,35.5128,29.1748,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,166.763,102.939,7.24632,10.7135,14.6071,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,296.825,189.171,19.486,7.07706,26.2823,345.62,170,23.86,2.34,30.79
dish_1565896662,62.3634,62.5424,4.5671,5.16406,0.771083,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,638.378,471.974,25.9621,44.6649,60.5114,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,99.7465,88.6971,5.45529,10.8172,2.89528,179.63,110,6.49,26.95,4.51
dish_1565020926,359.689,446.063,9.29181,46.6929,23.4426,398.496,489,10.3793,56.516,21.4723
dish_1564689168,375.226,334.924,22.3467,30.9632,19.2059,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,174.978,120.732,7.85404,10.9627,15.581,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,11.9568,82.9906,0.159304,2.76769,0.712739,11.52,64,0.128,2.496,0.576
dish_1558373008,231.275,64.8747,18.2334,3.20359,12.9325,251.558,73,19.929,3.066,14.089
dish_1561577947,478.678,354.891,22.9974,15.8566,52.2012,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,66.3062,133.504,0.249877,16.952,0.761724,60.32,116,0.232,16.24,0.348
dish_1565894889,151.398,56.2761,5.86277,18.0663,5.96514,257.813,74,11.168,33.295,6.641
dish_1561147944,62.8851,56.8752,5.45436,3.00601,1.29272,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,123.205,25.8491,9.07109,0.692951,8.88587,146.07,27,11.34,0.378,9.99
dish_1558641320,210.113,380.453,2.73492,50.1693,3.77695,211.59,336,3.092,49.056,4.52
dish_1567007848,127.379,253.122,1.66899,27.8222,2.19264,100.3,243,0.58,24.836,1.655
dish_1565810969,3.49212,47.355,0.145856,1.17036,1.38274,4.6,20,0.08,0.72,0.58
dish_1562168800,194.624,228.656,7.11613,32.1887,3.09765,237.525,242,9.34268,36.3149,3.826
dish_1564687046,420.914,299.671,24.5879,16.7778,36.0027,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,297.077,183.198,19.6246,8.17544,23.2565,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,315.541,178.846,19.4106,7.11109,29.1922,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,435.972,169.215,17.8131,40.6607,27.5831,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,13.2094,40.2441,0.0301434,3.29503,0.44387,14.04,39,0.039,3.51,0.195
dish_1559850283,253.126,41.8444,22.1106,9.99041,9.93037,271.707,47,23.265,10.669,10.528
dish_1566502505,394.716,306.565,21.8929,30.8256,26.628,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,465.367,457.126,23.3338,23.9991,43.3018,504.4,371,17.632,9.06,74.731
dish_1561739265,328.941,336.02,12.3836,42.2419,13.776,292.04,308,9.989,41.127,10.689
dish_1558373159,876.002,278.984,68.4977,38.4292,38.0964,1013.34,334,79.118,30.505,60.625
dish_1565035830,291.744,383.815,6.70022,13.0103,43.989,340.128,414,6.475,14.785,54.718
dish_1562788568,344.215,253.373,16.8799,31.1612,21.2631,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,806.877,246.166,62.4184,32.6916,35.522,735.03,270,55.444,32.24,33.301
dish_1561739160,40.6908,64.6153,0.472723,8.83534,0.64722,34.77,61,0.183,8.54,0.427
dish_1558549773,4.04305,18.3476,0.0710723,0.85705,0.384611,2.3,10,0.04,0.36,0.29
dish_1561574394,67.3388,93.695,5.51147,3.78118,2.72072,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,8.60054,61.2437,0.123292,2.0854,0.410499,10.98,61,0.122,2.379,0.549
dish_1563909469,57.929,73.2788,4.9808,3.05047,1.49782,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,53.3197,74.0111,0.109631,14.007,0.487656,51.06,74,0.148,13.32,0.518
