dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,45.341793,152.78516,0.4059078,9.99372,2.0803285,43.1,149.0,0.369,9.01,2.409
dish_1558639818,29.890816,86.037285,0.19636779,6.829126,0.6252698,20.06,59.0,0.118,4.72,0.472
dish_1558549605,83.51987,65.553764,0.19823197,18.393963,1.6579746,97.5,75.0,0.225,21.0,2.025
dish_1561663580,458.6191,316.42087,22.927414,33.427784,40.751842,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,288.90964,220.10033,18.66574,10.205084,25.076546,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,246.21133,161.29485,7.5449333,0.36053267,41.713367,275.55,167.0,6.012,0.0,51.77
dish_1566838351,142.23601,320.70282,0.9310486,35.44073,2.2411354,190.01,417.0,0.822,48.034,2.49
dish_1567107839,230.03339,142.02478,15.728682,6.216635,19.697657,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,25.709854,102.74179,0.28612038,4.933517,2.094684,24.75,99.0,0.297,4.95,1.782
dish_1562788601,431.6995,284.90308,21.924458,34.506992,32.294518,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,194.60822,127.38205,9.461282,8.024677,18.676691,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,299.49362,173.87575,19.79689,3.7333593,28.666553,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,69.42428,73.09417,5.411871,5.4186306,1.0748188,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,654.1701,499.38013,29.81809,47.234222,61.135834,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,62.49357,45.40514,2.4831736,7.0024176,3.0790606,179.63,110.0,6.49,26.95,4.51
dish_1565020926,320.52097,419.76868,7.183731,51.300385,17.865786,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,313.93414,319.9248,19.368961,22.146574,20.371153,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,214.34607,150.61064,10.424694,7.991699,21.962732,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,15.981145,86.04614,0.14616698,3.484033,0.70705694,11.52,64.0,0.128,2.496,0.576
dish_1558373008,255.94858,75.02015,20.34132,3.4939117,13.7820835,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,459.5689,376.66443,20.925037,16.672743,51.655704,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,67.42192,130.68098,0.22682299,17.794907,0.3786297,60.32,116.0,0.232,16.24,0.348
dish_1565894889,139.00981,55.83885,5.871218,17.164343,4.593813,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,53.691254,52.86025,4.743043,2.8973422,0.7554002,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,89.38621,17.231155,6.758274,0.2787589,6.1707497,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,175.28168,333.3484,1.3543347,44.99091,3.2050164,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,118.23628,263.41888,0.478728,29.510542,1.9651681,100.3,243.0,0.58,24.836,1.655
dish_1565810969,1.6129948,16.582064,0.022921884,0.36239532,0.53777385,4.6,20.0,0.08,0.72,0.58
dish_1562168800,189.77309,249.31084,5.460091,34.519188,2.348253,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,404.18036,273.02106,26.412086,13.738953,33.03211,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,292.7469,194.19904,19.444412,9.766824,22.333149,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,322.93164,190.45415,20.69253,7.191832,28.826462,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,398.80878,175.54753,16.927269,38.02752,25.221731,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,22.017822,55.745026,0.1238945,5.095374,0.36263734,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,284.5832,53.459473,24.291433,11.599796,10.443644,271.707,47.0,23.265,10.669,10.528
dish_1566502505,345.36047,285.13605,15.568226,31.317177,25.989555,454.51736,275.0,22.45969,33.1468,31.874937
dish_1565811091,463.86508,433.71735,26.992132,20.37624,41.18764,504.40002,371.0,17.632,9.06,74.731
dish_1561739265,306.49234,338.99905,9.060918,42.567413,13.656638,292.04,308.0,9.989,41.127003,10.689
dish_1558373159,948.9328,323.1784,72.60834,45.240234,40.161205,1013.33704,334.0,79.118,30.505001,60.625
dish_1565035830,296.51233,395.20093,7.867978,15.742889,40.412605,340.128,414.0,6.475,14.785001,54.718
dish_1562788568,352.6092,262.25952,17.917278,33.884415,22.643095,289.20337,230.0,11.735167,46.917168,11.430407
dish_1558376483,782.7946,254.02614,57.63708,32.136646,34.919838,735.03,270.0,55.444,32.24,33.301003
dish_1561739160,41.908886,66.27488,0.46340913,9.269571,0.56100583,34.77,61.0,0.183,8.54,0.427
dish_1558549773,2.1815434,11.221144,0.028813923,0.35536957,0.30448067,2.3,10.0,0.04,0.36,0.29
dish_1561574394,82.88286,120.66524,6.318357,6.0443306,2.9471838,61.502373,82.0,4.80367,3.438416,2.367952
dish_1558461760,11.642661,63.1229,0.115978986,2.4724145,0.55099034,10.98,61.0,0.122,2.379,0.549
