dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,39.8084,134.349,0.383886,8.45919,1.76122,43.1,149,0.369,9.01,2.409,29.6305,0.285737,6.29642,1.31093,28.9262,0.247651,6.04698,1.61678
dish_1558639818,27.091,80.1696,0.158211,6.26707,0.667224,20.06,59,0.118,4.72,0.472,33.7921,0.197345,7.81726,0.832266,34,0.2,8,0.8
dish_1558549605,84.6375,63.8586,0.125433,18.7209,1.63672,97.5,75,0.225,21,2.025,132.539,0.196423,29.3162,2.56304,130,0.3,28,2.7
dish_1561663580,409.285,289.541,17.5741,32.4037,38.1472,432.063,307,9.84414,31.345,51.4323,141.356,6.06962,11.1914,13.175,140.737,3.20656,10.2101,16.7532
dish_1565898402,339.625,228.579,21.1733,10.527,28.6662,384.799,229,19.5441,9.46281,39.4244,148.581,9.26299,4.6054,12.541,168.035,8.53454,4.13223,17.2159
dish_1566328724,224.923,147.547,8.19827,0.268755,36.2114,275.55,167,6.012,0,51.77,152.441,5.55637,0.182148,24.5423,165,3.6,0,31
dish_1566838351,139.897,319.443,0.873494,35.241,1.99214,190.01,417,0.822,48.034,2.49,43.7939,0.273443,11.032,0.62363,45.5659,0.197122,11.5189,0.597122
dish_1567107839,224.498,147.331,17.1451,5.42116,21.6562,174.284,156,16.4693,11.9807,18.763,152.377,11.6372,3.67959,14.699,111.721,10.5573,7.67994,12.0276
dish_1558639787,25.1757,100.796,0.29894,4.97483,1.86741,24.75,99,0.297,4.95,1.782,24.9768,0.296578,4.93552,1.85266,25,0.3,5,1.8
dish_1562788601,417.819,277.003,19.8945,33.7279,29.7824,413.17,287,19.1392,48.7664,23.1469,150.836,7.18205,12.176,10.7517,143.962,6.66869,16.9918,8.06511
dish_1560456326,173.838,106.261,8.20867,9.81834,14.8664,206.873,138,7.52219,3.79161,29.7421,163.595,7.72497,9.2398,13.9904,149.908,5.45086,2.74755,21.5522
dish_1564427430,309.919,176.895,21.8462,3.22441,26.2398,345.62,170,23.86,2.34,30.79,175.199,12.3498,1.82278,14.8336,203.306,14.0353,1.37647,18.1118
dish_1565896662,52.8078,49.3392,4.05639,4.56131,0.503865,19.38,57,0.2565,3.6195,1.4535,107.03,8.22144,9.2448,1.02123,34,0.45,6.35,2.55
dish_1566414342,645.504,474.589,30.7959,46.8104,51.9619,846.367,552,31.5787,53.3433,83.5779,136.013,6.48897,9.86337,10.9488,153.327,5.72078,9.66364,15.1409
dish_1562617703,122.348,93.1287,3.67442,16.7084,5.36908,179.63,110,6.49,26.95,4.51,131.375,3.94553,17.9411,5.76523,163.3,5.9,24.5,4.1
dish_1565020926,329.794,411.557,11.241,45.8466,17.7125,398.496,489,10.3793,56.516,21.4723,80.1333,2.73134,11.1398,4.30376,81.4921,2.12255,11.5575,4.39107
dish_1564689168,329.145,315.358,17.1605,29.9663,18.3024,352.947,339,27.5416,17.7268,15.0812,104.372,5.4416,9.50231,5.80368,104.114,8.12435,5.22915,4.44873
dish_1560456348,185.315,129.719,8.79046,10.2517,16.4527,210.283,149,7.53319,4.56161,29.9401,142.86,6.77656,7.90301,12.6834,141.129,5.05583,3.06149,20.094
dish_1558641287,15.538,84.5242,0.167413,3.26125,0.745004,11.52,64,0.128,2.496,0.576,18.3829,0.198065,3.85836,0.881408,18,0.2,3.9,0.9
dish_1558373008,244.931,71.4317,19.2647,3.07522,13.7127,251.558,73,19.929,3.066,14.089,342.889,26.9694,4.30512,19.197,344.6,27.3,4.2,19.3
dish_1561577947,462.015,340.945,19.0798,16.5719,49.409,623.204,424,33.7829,12.8826,67.2026,135.51,5.59616,4.86058,14.4918,146.982,7.96768,3.03835,15.8497
dish_1558639440,67.6074,130.773,0.262783,17.9223,0.405518,60.32,116,0.232,16.24,0.348,51.6982,0.200946,13.7049,0.310092,52,0.2,14,0.3
dish_1565894889,157.032,63.2943,5.47483,21.0532,6.02947,257.813,74,11.168,33.295,6.641,248.099,8.64981,33.2623,9.52609,348.396,15.0919,44.9932,8.97432
dish_1561147944,54.4167,50.0462,4.58548,3.29119,0.964059,42.371,34,3.64301,2.25893,0.820393,108.733,9.16249,6.57629,1.92634,124.621,10.7147,6.64393,2.41292
dish_1557937079,104.212,20.4416,8.07261,0.390112,7.08568,146.07,27,11.34,0.378,9.99,509.802,39.491,1.90842,34.663,541,42,1.4,37
dish_1558641320,185.993,353.988,2.16216,44.7791,3.88748,211.59,336,3.092,49.056,4.52,52.5423,0.6108,12.6499,1.09819,62.9732,0.920238,14.6,1.34524
dish_1567007848,130.76,262.719,1.00305,29.6358,2.42149,100.3,243,0.58,24.836,1.655,49.7718,0.381797,11.2804,0.921702,41.2757,0.238683,10.2206,0.68107
dish_1565810969,8.54441,42.3968,0.070304,1.54973,1.51921,4.6,20,0.08,0.72,0.58,20.1534,0.165824,3.65529,3.5833,23,0.4,3.6,2.9
