dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,50.52625,164.02138,0.6242338,9.875051,2.7828186,43.1,149.0,0.369,9.01,2.409
dish_1558639818,26.352446,81.28697,0.11169116,6.362404,0.5979713,20.06,59.0,0.118,4.72,0.472
dish_1558549605,85.710945,65.940216,0.14441407,18.21719,1.6337184,97.5,75.0,0.225,21.0,2.025
dish_1561663580,361.28134,245.68718,14.179244,23.025059,37.20784,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,309.29886,213.81029,18.54564,11.32781,27.584969,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,245.5386,158.13991,7.401152,0.036489207,42.72572,275.55,167.0,6.012,0.0,51.77
dish_1566838351,155.70909,355.9626,1.204917,38.570015,2.1837907,190.01,417.0,0.822,48.034,2.49
dish_1567107839,212.06421,147.23593,14.87421,5.142798,23.383526,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,26.825762,102.5639,0.24481943,5.2793665,1.9996856,24.75,99.0,0.297,4.95,1.782
dish_1562788601,410.07764,284.58466,20.283854,35.703106,29.5277,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,171.57028,99.99898,8.21802,10.513779,15.446062,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,332.84003,179.58644,24.092924,3.7099974,29.358175,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,43.122025,66.46457,2.9245257,5.040104,0.8933275,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,598.169,459.27026,23.664293,42.579754,55.49904,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,106.22227,77.4935,4.2139916,10.959458,5.240137,179.63,110.0,6.49,26.95,4.51
dish_1565020926,328.4835,438.11087,9.1290045,48.929054,17.31978,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,325.27475,343.8673,18.589853,28.308773,17.898254,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,172.44417,115.212425,8.645649,9.653918,16.2787,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,14.26597,93.09909,0.21487045,3.2246053,0.7496359,11.52,64.0,0.128,2.496,0.576
dish_1558373008,217.24799,67.14114,16.679201,2.8626919,12.556499,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,467.7325,374.86102,21.983112,16.400696,50.955116,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,62.15101,123.36584,0.27871957,16.382793,0.25837618,60.32,116.0,0.232,16.24,0.348
dish_1565894889,166.52454,61.546715,6.8518906,19.446882,6.41903,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,67.58997,57.30736,5.409369,4.181411,0.9339615,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,141.15785,27.891954,10.988002,0.4155039,9.760268,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,197.1387,366.13388,2.489224,47.58097,3.5058863,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,120.90028,259.026,1.2451667,28.045698,1.9504755,100.3,243.0,0.58,24.836,1.655
dish_1565810969,7.2268643,55.888607,0.007096109,1.5918722,1.4655147,4.6,20.0,0.08,0.72,0.58
dish_1562168800,189.4306,243.28319,5.128947,33.71801,2.783131,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,432.842,300.27158,25.903128,17.0549,37.00104,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,314.19064,200.24548,19.817612,10.654217,23.928938,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,291.0313,172.71126,17.542934,9.04717,25.994318,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,383.3018,175.18138,15.099786,37.528503,28.208773,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,10.985021,35.11745,-0.074887015,3.0735266,0.25634962,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,262.18948,44.222553,22.133198,10.971195,10.117868,271.707,47.0,23.265,10.669,10.528
dish_1566502505,380.36252,292.72363,19.693995,33.204914,23.95717,454.51736,275.0,22.45969,33.1468,31.874937
dish_1565811091,474.8301,477.58264,24.551102,21.830238,45.624027,504.40002,371.0,17.632,9.06,74.731
dish_1561739265,327.43353,341.334,10.650498,44.109848,12.417345,292.04,308.0,9.989,41.127003,10.689
dish_1558373159,838.5863,296.66608,64.375824,39.661743,35.744976,1013.33704,334.0,79.118,30.505001,60.625
dish_1565035830,321.27484,383.04865,8.344722,15.994491,44.011276,340.128,414.0,6.475,14.785001,54.718
dish_1562788568,276.66812,245.47365,11.544567,31.509438,15.943904,289.20337,230.0,11.735167,46.917168,11.430407
dish_1558376483,846.40735,266.03287,65.7388,31.769129,38.828106,735.03,270.0,55.444,32.24,33.301003
dish_1561739160,35.469074,61.31114,0.40100494,8.260604,0.3363313,34.77,61.0,0.183,8.54,0.427
dish_1558549773,2.8247669,12.462115,0.0036492338,0.41198608,0.33870763,2.3,10.0,0.04,0.36,0.29
dish_1561574394,67.221504,87.73071,5.2592163,3.6176672,2.595261,61.502373,82.0,4.80367,3.438416,2.367952
dish_1558461760,11.094719,67.38397,0.19081426,2.4517875,0.5923672,10.98,61.0,0.122,2.379,0.549
dish_1563909469,51.6805,71.910446,3.6683898,4.2015367,1.5474131,72.402824,64.0,6.906353,2.248366,1.364915
dish_1558376938,53.624424,75.087105,0.2147049,14.013455,0.44377792,51.06,74.0,0.148,13.320001,0.518
dish_1565986733,349.39713,259.7954,30.9,10.464253,36.657593,387.92938,287.0,35.692814,9.92611,42.974815
dish_1558639555,167.37497,324.12158,2.0643396,37.87591,3.9634273,156.04901,320.0,1.278,38.18,2.725
dish_1558546558,265.71475,44.06513,22.384192,10.794433,10.36364,254.36401,44.0,21.78,9.988,9.856
dish_1563984242,397.77258,710.0134,4.9819274,40.310955,42.93136,402.11703,753.0,3.30239,36.81961,49.40776
dish_1559849097,384.27582,295.30307,19.880404,49.28457,9.831896,495.928,325.0,29.044003,55.626003,14.261001
dish_1563566965,311.16434,274.57568,17.567965,28.62407,10.952532,370.82703,286.0,12.088502,56.243797,13.121026
dish_1566849895,73.06941,127.267105,3.5031302,10.106246,1.1877575,112.31,153.0,7.341,12.821001,1.31
dish_1559157919,38.872044,34.519695,3.7056391,1.6373291,1.0198438,37.094574,39.0,3.328461,1.523364,0.990958
dish_1558113477,263.47272,47.245853,22.26945,10.988332,10.331872,289.05002,50.0,24.75,11.35,11.200001
dish_1559238993,51.41199,101.600174,0.17589109,12.55871,0.77400404,61.559998,108.0,0.324,15.12,0.756
dish_1562788506,90.82271,97.916,2.3760927,18.761324,2.2223206,114.588,108.0,2.592,23.76,3.348
dish_1562774129,91.03513,102.06065,5.941498,9.020415,1.5911323,73.08355,77.0,2.898097,11.336127,1.539
dish_1559578551,130.24779,24.897974,9.577051,0.65839034,9.273528,124.42999,23.0,9.66,0.322,8.51
dish_1562788536,232.65121,203.64186,9.736469,29.617195,8.809875,245.132,190.0,6.61,44.752,5.398
dish_1559233756,192.72629,196.48248,6.5844445,26.676533,7.583606,189.85,222.0,5.242,30.418,6.142
dish_1564428181,465.92285,278.3659,25.402426,12.788257,43.937332,510.0507,320.0,32.323368,20.955044,34.30546
dish_1565118729,435.84726,218.30952,26.25232,8.807443,37.76145,435.4933,248.0,24.26512,9.017551,41.90299
dish_1568305225,407.28503,189.1758,31.002356,7.8479786,24.112331,428.6678,144.0,35.136887,4.897249,24.472982
dish_1566414291,296.621,250.6196,13.754504,33.8274,12.056375,345.14212,244.0,14.794408,46.021748,7.035223
dish_1561661347,66.68568,148.90839,2.8351126,8.769997,4.0623693,50.67,132.0,1.632,7.215,3.426
dish_1566501575,591.816,477.4414,16.350454,18.223663,84.462,251.69398,54.0,15.551999,26.892,3.348
dish_1563218408,226.83461,86.46243,9.122062,25.936806,9.4202585,245.34,87.0,10.44,27.84,10.44
dish_1561661377,279.4362,286.40515,17.178114,13.926765,26.37058,306.33368,294.0,8.972795,11.854835,43.735157
dish_1558639876,90.17174,269.55295,0.8530538,19.551247,3.38927,68.18,215.0,0.529,15.370001,2.767
dish_1566849862,75.326164,57.21924,6.921572,3.5902479,0.2050581,77.049995,67.0,7.169,4.221,0.536
dish_1566502573,550.8018,487.8941,24.775665,55.780083,39.052834,821.5102,487.0,43.20623,60.718185,51.18927
dish_1562009810,128.00418,96.31253,2.5911343,19.626797,3.6344116,119.880005,108.0,0.972,24.84,2.808
dish_1564675411,228.1868,280.7091,7.3003235,4.3712482,32.49346,235.531,308.0,7.033,2.708,35.193
dish_1560203424,382.71695,120.63011,18.783142,36.233025,16.857763,451.754,138.0,22.272,50.211998,14.587999
dish_1562790824,621.11615,373.29828,46.698566,19.007298,49.76442,437.0717,368.0,49.829514,19.273878,49.85992
dish_1558030289,35.351322,109.16563,0.15028137,9.037456,0.586715,38.52,107.0,0.107,9.63,0.535
dish_1560444985,146.48164,256.053,5.308048,21.425663,5.702771,198.93787,264.0,10.095443,24.075623,5.127491
dish_1563984140,213.41058,397.4165,1.072255,3.5094998,39.669106,245.43999,472.0,0.944,3.304,47.2
dish_1561662160,95.19541,66.01092,6.1229033,6.3972187,4.286833,41.83832,36.0,3.37508,2.752816,0.63016
dish_1558641164,75.39958,145.01732,0.2504684,20.479078,0.19897747,80.079994,154.0,0.308,21.56,0.462
dish_1558110335,36.35056,9.697547,2.6282673,0.8112667,2.3707638,37.87,7.0,2.94,0.098,2.59
dish_1565811061,256.72086,382.21313,11.914177,17.751999,24.141157,380.32,324.0,7.762,9.06,65.801
dish_1559844490,100.36507,180.08595,0.626011,25.589264,1.2558243,108.36,180.0,0.459,27.45,1.359
dish_1562786103,129.4693,91.75823,5.9493823,9.181665,8.717734,93.081,57.0,3.363,13.965,2.337
dish_1563897087,114.86984,205.24977,4.793053,13.272797,8.028054,102.44,231.0,0.67,8.169001,15.196
dish_1566590007,844.2636,465.0291,38.92758,44.13263,76.19986,740.762,457.0,29.2331,57.950996,61.79825
dish_1560975517,41.4061,99.80275,0.87386227,6.586471,3.129748,42.39,99.0,1.858,4.608,3.064
dish_1557936645,14.342705,40.006065,0.20103192,3.4555233,0.22365552,11.88,36.0,0.108,2.88,0.252
dish_1565020796,140.75879,114.902664,6.7508235,1.6175941,15.888844,90.6,99.0,3.542,0.749,12.06
dish_1559578579,152.75494,83.79493,9.850181,5.824383,10.172172,142.57999,78.0,9.825,4.722,8.895
dish_1557862783,426.02957,281.66983,20.935545,10.878306,41.97876,442.97998,258.0,24.919,3.85,50.416
dish_1560975601,297.35806,303.19623,13.403688,16.465363,31.108023,233.93564,253.0,8.421075,17.945927,22.794699
dish_1560367952,211.1135,185.1686,13.701705,17.892494,8.986389,414.73315,221.0,21.073912,45.956913,24.938904
dish_1563565454,245.20853,242.40645,12.469756,19.774786,18.755388,350.78882,322.0,22.686897,26.577688,22.234623
dish_1562703408,302.08572,186.45512,13.1558895,26.207455,17.93055,311.20917,196.0,12.049189,32.83361,17.407734
dish_1564689138,219.16254,231.23384,12.531543,22.147383,7.760666,268.267,223.0,21.973553,15.522832,5.801213
dish_1563221086,354.35654,276.5918,21.60708,15.323871,25.390207,328.27762,254.0,18.22709,12.389885,28.917324
dish_1567007814,76.56029,154.27705,0.6238511,18.339329,1.0560949,73.0,152.0,0.398,17.92,1.109
dish_1565896701,330.3633,196.49622,20.268934,11.183202,23.852022,294.47345,184.0,18.184381,8.322058,25.74716
dish_1557937615,8.548043,22.520407,0.22951943,1.6306994,0.16787054,6.93,21.0,0.063,1.68,0.147
dish_1564427455,338.0344,251.85777,21.931099,10.898654,24.524103,354.26004,218.0,23.956001,4.212,31.222
dish_1564588859,212.45993,238.60997,6.4597163,14.235142,23.98818,183.58643,257.0,4.754447,9.571161,23.436096
dish_1561577848,298.5711,216.53545,10.79851,6.4385214,45.496872,413.34787,254.0,13.841578,6.037907,63.12289
dish_1563389600,309.8436,257.88757,16.81722,7.9011464,30.631483,451.428,264.0,29.046,2.924,44.474
dish_1566316726,353.08432,579.1276,4.1098065,25.351955,45.47941,409.5229,685.0,4.10161,25.36539,57.490242
dish_1562776465,141.37686,183.72792,2.2803717,26.155052,3.7845275,173.43245,212.0,4.405418,31.491592,3.634132
dish_1568401261,412.5004,434.0374,5.8179736,27.112965,57.094135,530.3934,443.0,26.350721,34.582966,39.13196
dish_1559841950,11.586888,34.521885,0.12022075,2.4815195,0.789584,11.2,32.0,0.128,2.24,0.768
dish_1558375667,508.08676,92.92577,43.088234,20.732012,20.644007,687.939,119.0,58.905,27.013,26.656
dish_1558639482,49.73206,46.3119,1.222457,10.939273,1.2965829,30.769,29.0,0.696,6.38,0.899
dish_1566328805,785.5356,448.0501,28.729502,67.184296,63.2734,927.81,488.0,28.737,85.054,77.984
dish_1558114145,56.88487,79.67947,0.17038605,14.978055,0.46568537,57.27,83.0,0.166,14.940001,0.581
dish_1562700593,444.9387,393.78412,25.785828,19.879482,37.39543,385.77393,384.0,29.806803,18.611984,37.046314
dish_1557937574,8.910867,12.339327,0.3071733,1.3578286,0.2693447,5.59,13.0,0.065,1.196,0.182
dish_1561661324,31.687763,81.79093,1.0907787,4.2089567,2.414734,33.0,75.0,1.575,3.225,2.4
dish_1564588820,82.423035,148.61674,0.7984774,2.2824605,13.517751,81.119995,156.0,0.312,1.092,15.6
dish_1566414225,107.48106,96.67633,6.867725,5.5978518,10.580897,125.18213,88.0,4.186408,17.941746,3.759223
dish_1568305257,743.8419,415.69812,54.202793,10.273208,46.714417,837.14777,420.0,65.49689,9.31325,52.072983
dish_1564773826,11.243192,52.823708,0.21811274,2.4729884,0.46207634,10.08,56.0,0.112,2.184,0.504
dish_1562700496,34.208652,136.46823,0.42671657,6.890578,2.4455276,31.0,124.0,0.372,6.2,2.232
dish_1566850099,112.73857,118.88015,8.231772,7.683544,2.732079,113.05797,112.0,10.687347,4.140735,1.525551
dish_1560975628,435.06442,324.43884,17.80968,35.200912,34.941334,348.27264,296.0,12.463076,32.350925,27.610699
dish_1558461431,1.8390298,7.6852345,0.025238119,0.37531012,0.22282091,1.15,5.0,0.02,0.18,0.145
dish_1558635618,234.1821,371.64914,1.9809885,52.416866,7.537326,220.254,334.0,2.439,49.7,5.606
dish_1561148021,350.98752,227.33916,16.63887,24.6664,25.735617,361.7654,216.0,19.948797,23.61156,22.204132
dish_1566328745,262.9031,204.91261,6.3891644,0.82950795,48.491505,282.03,203.0,6.084,1.404,52.094
dish_1558373074,73.24993,144.35832,0.53595936,14.438878,2.6265028,73.84,142.0,0.284,0.426,19.88
dish_1561662869,240.2873,181.55455,8.643239,11.517645,31.292837,284.34552,192.0,9.242703,10.282766,38.791027
dish_1558544663,115.72759,191.96513,1.8967589,17.644283,7.448331,141.44,208.0,2.912,24.96,4.992
dish_1564588919,316.71857,405.604,6.9530573,41.06735,21.809618,335.94418,452.0,7.606813,41.001797,25.09324
dish_1563909580,494.28763,329.5355,17.192583,65.17407,18.99482,544.3115,361.0,20.122177,74.14412,18.481764
dish_1565894858,27.477919,27.920683,1.3915986,3.0270245,1.201284,132.84,27.0,6.75,17.55,1.377
dish_1564689078,53.957367,40.658047,4.8599715,2.159396,0.5067302,72.36078,55.0,6.584693,2.958964,1.450291
dish_1566414412,649.68134,536.0321,35.023994,36.126625,55.544453,920.1204,658.0,37.812386,57.062336,85.33485
dish_1566502537,447.65018,345.2677,22.703466,33.967644,33.20175,517.6442,315.0,24.27223,34.292435,41.827816
dish_1558718587,12.589878,61.03607,0.08962939,3.0562978,1.0167458,10.25,41.0,0.123,2.05,0.738
dish_1563551164,256.02338,244.24742,6.3711433,33.123123,14.095336,339.75607,270.0,8.327854,46.75715,17.75674
dish_1558720236,768.24646,379.829,55.870804,53.83368,28.923891,887.82306,407.0,66.44,60.461,31.913002
dish_1562776497,283.81302,275.69788,14.760112,23.031338,13.806619,291.83246,292.0,13.205418,32.77159,11.634132
dish_1563565289,89.890236,99.76318,2.8226776,18.101751,2.4840744,93.368,88.0,2.112,19.36,2.728
dish_1559849412,328.871,54.92013,28.67065,12.962626,12.962592,352.64102,61.0,30.195,13.847,13.664001
dish_1559934477,19.05284,47.120693,0.7364605,2.3840227,1.3732443,25.08,57.0,1.197,2.451,1.824
dish_1557936599,19.403238,51.92689,0.295954,3.789318,1.2791853,22.05,63.0,0.252,4.41,1.512
dish_1563565354,244.12367,193.60777,13.581659,16.987019,22.160933,272.3152,193.0,15.777068,23.045525,20.039701
dish_1561405411,305.1616,254.43309,16.381552,28.081543,18.393467,332.06348,282.0,8.511059,25.67544,37.227947
dish_1566502472,152.6137,152.43794,8.105407,19.721533,4.0313005,132.91904,119.0,7.735376,15.924625,3.416664
dish_1566838317,103.710335,253.20166,0.74073356,24.998837,1.3395847,114.2,284.0,0.423,29.413998,1.559
dish_1565123881,408.7492,403.53076,20.015444,34.263126,26.854849,406.82175,515.0,19.355543,31.0019,30.063168
dish_1563551134,231.62952,152.65663,6.289054,27.965862,15.037132,246.91998,173.0,5.962,29.723001,16.8104
dish_1558718906,443.196,271.04816,28.989439,43.02185,15.568093,282.58002,247.0,14.228001,36.891,9.815001
dish_1562963289,326.46854,158.58931,11.634881,40.58836,14.80373,349.91797,180.0,12.685999,43.364002,15.52
dish_1562790775,89.150085,74.86229,7.627596,4.127755,1.5802258,75.686295,40.0,7.803151,1.519515,0.394182
dish_1560801041,367.37897,312.1383,15.787549,28.55341,27.265451,432.24426,292.0,10.663426,63.24589,25.670122
dish_1565123816,263.99518,108.532776,12.473733,16.988407,18.661486,250.91673,110.0,12.352043,13.950899,19.241669
dish_1558031351,15.112825,46.212196,0.14116879,3.3384202,0.3760433,12.3,41.0,0.041,3.116,0.246
dish_1559841979,36.415375,85.915474,0.34015307,8.823948,1.0857744,39.289997,85.0,0.287,9.13,1.192
dish_1560203400,274.24072,86.31809,12.413263,29.145954,11.342959,293.28,104.0,12.48,33.28,12.48
dish_1563294987,108.95704,20.444098,8.400195,0.5831264,7.406516,97.38,18.0,7.56,0.252,6.66
dish_1563208412,73.388794,41.362667,5.28833,0.75274664,6.461261,62.4,39.0,3.9,1.17,5.46
dish_1557862696,26.43522,77.26106,0.1127577,3.8433845,2.4776034,19.25,77.0,0.231,3.85,1.386
dish_1561739212,186.31577,267.2103,2.6956172,26.383282,11.977061,134.01001,214.0,0.325,23.797,8.347
dish_1564675380,79.172264,11.485782,6.0443892,0.51775765,5.369216,87.331,23.0,6.463,0.713,6.693
dish_1564773903,232.36426,306.341,11.57563,23.898817,16.03435,316.82755,336.0,16.086779,25.091196,19.580328
dish_1558376768,71.11393,136.24915,0.6365523,14.730274,1.7989933,74.36,143.0,0.286,0.429,20.02
dish_1563897047,195.74919,140.94936,7.161988,17.918404,14.270627,66.04,127.0,0.254,0.889,12.7
dish_1562172561,154.40259,301.07904,0.34103173,2.9763045,29.726362,150.79999,290.0,0.58,2.03,29.0
dish_1563551194,358.12186,313.06403,11.304718,38.05652,25.361166,471.64355,400.0,14.045855,57.67092,27.842804
dish_1558113430,21.875608,29.127888,1.1621994,1.8542004,0.7251632,7.84,28.0,0.112,1.484,0.616
dish_1565035774,70.34632,199.98799,1.1354634,11.444659,4.5562,57.5,185.0,0.441,12.25,3.129
dish_1563551105,179.29395,61.959236,5.747767,25.980726,6.7166786,194.4,72.0,5.76,29.016,6.7104
dish_1566850142,428.8622,308.98315,22.359295,16.999239,37.653667,464.95117,284.0,31.75317,9.052546,35.226067
dish_1561574368,21.433151,55.908886,0.54810214,2.6984622,1.7520815,22.0,50.0,1.05,2.15,1.6
