dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,46.431664,159.61073,0.6106546,9.966076,2.3479493,43.1,149.0,0.369,9.01,2.409
dish_1558639818,25.304543,72.96733,0.12162986,6.0168734,0.5981982,20.06,59.0,0.118,4.72,0.472
dish_1558549605,81.64584,64.65411,0.2697812,17.579079,1.7360187,97.5,75.0,0.225,21.0,2.025
dish_1561663580,383.7546,278.15744,16.191278,30.12151,37.620644,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,329.55753,236.38316,21.520859,12.075017,27.573702,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,210.24263,134.05571,5.575136,0.05645816,38.511776,275.55,167.0,6.012,0.0,51.77
dish_1566838351,151.18329,334.8114,1.0945895,37.548084,1.9884503,190.01,417.0,0.822,48.034,2.49
dish_1567107839,199.32687,147.94872,14.819941,5.5675464,21.322931,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,26.26803,111.10528,0.29267398,5.42552,1.9827087,24.75,99.0,0.297,4.95,1.782
dish_1562788601,454.93845,305.81747,21.28594,37.73341,33.096947,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,126.56915,83.935616,6.0151424,9.358604,9.629839,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,329.1923,185.74313,23.544062,3.975404,27.28697,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,37.680264,46.805897,2.461437,3.8771257,0.6976622,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,694.0813,503.64722,30.177889,47.307796,59.360886,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,104.32387,64.9979,3.9717944,13.889103,3.1496134,179.63,110.0,6.49,26.95,4.51
dish_1565020926,362.44318,418.11008,11.741114,47.990135,20.257282,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,333.00903,329.51987,20.661755,23.454973,21.293259,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,144.14818,114.799484,7.510609,7.9361033,12.660187,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,15.115803,84.571945,0.13148911,3.2188063,0.7791701,11.52,64.0,0.128,2.496,0.576
dish_1558373008,262.08307,74.66551,20.749537,2.7353675,14.9088,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,490.04437,378.63956,23.151377,18.237164,48.698692,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,67.92856,127.54575,0.263239,17.712011,0.43150437,60.32,116.0,0.232,16.24,0.348
dish_1565894889,157.44037,60.800877,6.236748,17.19083,7.4649568,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,56.696266,51.597366,4.8442903,3.3137798,1.0230365,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,154.29973,29.400446,12.046781,0.37493333,10.190492,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,184.52979,353.10947,2.1224732,45.67478,3.8306665,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,126.476974,255.2652,1.2912804,28.876822,1.8014051,100.3,243.0,0.58,24.836,1.655
dish_1565810969,8.907327,47.020172,0.15252347,1.227497,1.4527723,4.6,20.0,0.08,0.72,0.58
dish_1562168800,192.7514,241.2138,6.528944,31.465208,3.3567126,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,440.80905,324.60837,31.761778,17.104097,36.392067,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,284.09085,186.5076,17.547712,9.099096,21.353464,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,351.83066,194.85953,21.987583,8.518325,30.840925,370.67145,202.0,18.842781,7.620061,38.950523
