dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,42.81953,158.99109,0.7633496,7.430806,2.6994085,43.1,149.0,0.369,9.01,2.409
dish_1558639818,24.383255,75.553734,0.24473089,5.36069,0.46252567,20.06,59.0,0.118,4.72,0.472
dish_1558549605,75.75587,60.68465,-0.0495154,17.290667,1.1287827,97.5,75.0,0.225,21.0,2.025
dish_1561663580,345.4141,246.77719,15.454619,28.715612,27.140785,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,340.67075,239.6887,23.395294,16.187128,26.994751,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,197.97101,147.50842,6.5354443,1.3025588,31.298708,275.55,167.0,6.012,0.0,51.77
dish_1566838351,161.11966,366.00473,1.0203838,39.52087,2.6231642,190.01,417.0,0.822,48.034,2.49
dish_1567107839,228.69829,147.99408,14.216064,5.855359,24.963173,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,22.137665,89.36082,0.5998817,4.5334835,1.350075,24.75,99.0,0.297,4.95,1.782
dish_1562788601,435.6072,314.0371,22.683517,35.83929,30.204079,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,174.1069,104.8045,9.406606,11.256752,13.589421,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,339.6995,181.50342,25.515614,4.734241,29.126957,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,71.83633,62.458607,6.835918,4.1293554,1.3178946,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,605.9084,485.6241,25.042059,39.86232,57.24146,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,133.59056,101.32719,8.055979,8.800044,7.534875,179.63,110.0,6.49,26.95,4.51
dish_1565020926,334.441,417.58798,9.921411,46.11131,17.455173,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,386.355,338.16287,26.15273,30.984882,18.575817,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,183.64171,127.96104,10.227368,11.58018,15.661764,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,13.482804,94.02311,0.2054924,3.0861585,0.75360864,11.52,64.0,0.128,2.496,0.576
dish_1558373008,270.20453,74.4974,22.64557,3.036908,14.654492,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,495.58347,410.8311,22.864126,20.296175,54.454746,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,66.78829,143.45027,0.13882327,17.414833,0.3574561,60.32,116.0,0.232,16.24,0.348
dish_1565894889,161.2874,58.30392,6.895687,18.02624,6.640033,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,74.35587,58.88268,7.0504913,4.2145095,1.1285284,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,115.30485,24.206705,8.8427,0.005885195,8.413406,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,200.43156,384.1019,2.4307911,48.17171,3.5395956,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,127.78193,278.316,0.8079293,30.768457,2.150144,100.3,243.0,0.58,24.836,1.655
dish_1565810969,8.027932,46.490726,-0.13648684,0.88952583,1.2518196,4.6,20.0,0.08,0.72,0.58
