dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,44.43854,152.65076,0.44442412,9.666017,2.2047102,43.1,149.0,0.369,9.01,2.409
dish_1558639818,28.696312,80.72128,0.16283797,6.455432,0.6181387,20.06,59.0,0.118,4.72,0.472
dish_1558549605,88.44071,68.298004,0.17730092,19.035881,1.7333149,97.5,75.0,0.225,21.0,2.025
dish_1561663580,356.96094,265.86063,13.19975,34.06173,30.357946,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,356.3297,246.5754,20.401047,12.013154,31.84204,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,216.69899,138.78798,8.086956,0.2371986,34.67276,275.55,167.0,6.012,0.0,51.77
dish_1566838351,157.90645,360.17676,0.89729065,39.997154,1.9895662,190.01,417.0,0.822,48.034,2.49
dish_1567107839,203.913,140.1788,12.578185,5.532082,21.736399,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,31.71645,112.422264,0.35440552,5.7053437,2.1071703,24.75,99.0,0.297,4.95,1.782
dish_1562788601,433.50143,301.57007,20.3706,37.90513,29.809385,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,170.07715,102.78504,8.363415,7.754061,15.771219,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,365.78888,198.87732,26.21139,4.333733,29.930153,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,54.969166,55.598583,4.1223445,4.4159126,1.1090943,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,601.92114,465.86368,31.132147,41.562687,51.34276,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,128.17905,77.542915,4.270581,17.922792,3.6882236,179.63,110.0,6.49,26.95,4.51
dish_1565020926,424.55237,464.56876,16.001823,48.41171,24.763784,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,325.4606,329.88718,19.586971,25.640537,19.993078,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,161.15587,112.00779,7.9706783,8.115353,14.749042,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,15.967909,92.21694,0.19646794,3.398103,0.819315,11.52,64.0,0.128,2.496,0.576
dish_1558373008,270.04248,75.08122,21.756416,2.9487276,14.939674,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,497.145,353.72842,22.30732,15.136449,52.59289,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,64.93013,125.619026,0.25154674,16.839014,0.36789578,60.32,116.0,0.232,16.24,0.348
dish_1565894889,117.31219,50.226685,4.957507,13.79334,4.770186,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,52.27201,49.17359,4.327094,3.0586572,0.8459542,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,139.23697,25.263693,10.850256,0.25273693,9.471574,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,192.93166,359.1132,2.0618088,47.360912,3.6222231,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,133.98912,267.56366,1.3221325,30.472279,1.9013524,100.3,243.0,0.58,24.836,1.655
dish_1565810969,7.302554,42.467705,0.05247452,1.3863974,1.2027856,4.6,20.0,0.08,0.72,0.58
dish_1562168800,182.48416,227.12566,6.603163,29.723684,2.6195126,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,453.39008,313.7742,30.12215,17.384895,35.351845,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,270.13745,183.43588,15.9548645,7.402351,23.078135,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,416.46594,216.03165,24.789513,9.091885,38.202656,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,406.36716,181.3806,16.793982,37.420265,27.404236,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,14.689198,39.060135,0.06721414,3.3057425,0.30331537,14.040001,39.0,0.039,3.51,0.195
