dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,48.328773,171.20132,0.6416452,9.472922,2.639572,43.1,149.0,0.369,9.01,2.409
dish_1558639818,23.50683,74.2172,-0.016433436,5.5792913,0.4771622,20.06,59.0,0.118,4.72,0.472
dish_1558549605,84.44105,66.345825,0.12545106,18.44156,1.6549242,97.5,75.0,0.225,21.0,2.025
dish_1561663580,331.48227,250.064,14.688969,19.173555,35.307167,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,354.16748,228.64226,21.784021,12.019051,31.603851,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,253.43597,166.14638,7.961169,0.29262424,41.882442,275.55,167.0,6.012,0.0,51.77
dish_1566838351,176.76152,378.3803,0.67337507,43.80679,2.959596,190.01,417.0,0.822,48.034,2.49
dish_1567107839,178.47661,150.79683,16.017881,5.2129397,20.918083,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,23.901653,101.322105,0.099617094,4.7446094,2.02013,24.75,99.0,0.297,4.95,1.782
dish_1562788601,435.08502,306.74356,23.274076,35.107807,32.495342,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,186.11662,111.36354,7.613439,8.241341,19.629505,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,353.4355,175.04607,25.27041,3.0238087,28.776003,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,54.498726,69.57554,4.1067214,4.0829463,1.2738364,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,623.5128,502.34763,23.75065,41.95092,63.911076,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,87.58058,68.175575,3.63549,11.563381,2.9200475,179.63,110.0,6.49,26.95,4.51
dish_1565020926,342.0437,447.83136,8.916067,47.61379,19.431671,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,356.49545,314.70462,19.441595,32.24165,23.330023,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,192.06581,124.44503,7.8648353,9.659196,19.70459,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,13.020754,85.76362,0.010544684,3.0247872,0.8818685,11.52,64.0,0.128,2.496,0.576
dish_1558373008,240.97408,72.294044,18.7612,3.0783746,13.414423,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,496.4578,384.3013,23.914162,15.809132,51.070206,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,70.65841,137.82674,0.065250635,19.109556,0.35037217,60.32,116.0,0.232,16.24,0.348
dish_1565894889,157.662,63.12641,5.9304404,19.930593,5.765639,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,57.09137,53.43978,4.5709867,2.8149128,1.1930276,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,127.94451,24.972391,9.819629,0.24143586,9.038724,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,200.95369,365.59048,2.3122506,48.873245,3.9599333,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,123.93433,269.70865,0.81193084,29.950369,1.8094783,100.3,243.0,0.58,24.836,1.655
dish_1565810969,2.221659,57.587425,-0.74785817,1.2642937,1.5404013,4.6,20.0,0.08,0.72,0.58
dish_1562168800,199.16269,241.58122,5.3864226,35.11877,3.1602368,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,470.3003,314.50092,27.470718,18.231794,39.688164,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,320.5462,199.32338,20.56127,8.048022,24.7204,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,346.95364,190.52556,21.09355,10.07052,30.709166,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,420.05136,176.42961,17.873907,38.956615,28.08866,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,13.342609,34.22883,-0.1851768,3.376105,0.34844017,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,247.75493,45.402134,21.444658,9.756699,9.648011,271.707,47.0,23.265,10.669,10.528
dish_1566502505,388.63364,293.51077,16.440657,33.878674,28.320505,454.51736,275.0,22.45969,33.1468,31.874937
dish_1565811091,401.17587,412.06442,20.374372,17.204752,39.13708,504.40002,371.0,17.632,9.06,74.731
dish_1561739265,321.28043,345.0746,11.869192,42.003994,12.622331,292.04,308.0,9.989,41.127003,10.689
dish_1558373159,786.1812,305.64218,60.27177,38.348057,33.682915,1013.33704,334.0,79.118,30.505001,60.625
dish_1565035830,313.9122,409.90442,9.380068,15.023982,42.073677,340.128,414.0,6.475,14.785001,54.718
dish_1562788568,319.9119,262.61935,15.329649,30.71084,22.060295,289.20337,230.0,11.735167,46.917168,11.430407
dish_1558376483,783.29364,270.44235,60.247723,29.420631,35.71238,735.03,270.0,55.444,32.24,33.301003
dish_1561739160,41.42679,61.967022,0.6384591,8.437007,0.76573044,34.77,61.0,0.183,8.54,0.427
dish_1558549773,3.7637274,14.210902,0.045443643,0.5929013,0.2719227,2.3,10.0,0.04,0.36,0.29
dish_1561574394,57.837456,86.931694,4.094457,3.8197298,2.6179807,61.502373,82.0,4.80367,3.438416,2.367952
dish_1558461760,10.675552,59.750946,0.098245084,2.080434,0.5735797,10.98,61.0,0.122,2.379,0.549
dish_1563909469,56.560055,71.353966,4.553572,3.0732963,1.673733,72.402824,64.0,6.906353,2.248366,1.364915
dish_1558376938,48.83864,67.05949,0.0065857433,12.641314,0.37243053,51.06,74.0,0.148,13.320001,0.518
dish_1565986733,329.4338,251.62376,26.861113,10.380196,35.982285,387.92938,287.0,35.692814,9.92611,42.974815
dish_1558639555,176.95242,328.96457,1.8460661,41.44157,3.1348333,156.04901,320.0,1.278,38.18,2.725
dish_1558546558,240.89496,39.53016,20.584343,9.670088,9.151325,254.36401,44.0,21.78,9.988,9.856
dish_1563984242,396.5706,710.74695,4.8352056,38.56278,43.14854,402.11703,753.0,3.30239,36.81961,49.40776
dish_1559849097,365.6777,306.25534,18.052416,49.679005,8.848734,495.928,325.0,29.044003,55.626003,14.261001
dish_1563566965,314.29526,271.50397,19.932125,26.059456,11.224903,370.82703,286.0,12.088502,56.243797,13.121026
dish_1566849895,70.28298,130.23013,3.3024619,9.929819,1.5380131,112.31,153.0,7.341,12.821001,1.31
dish_1559157919,34.93657,35.587807,2.6232405,2.0920708,1.2009469,37.094574,39.0,3.328461,1.523364,0.990958
dish_1558113477,276.60556,48.916004,23.934767,10.459569,10.816937,289.05002,50.0,24.75,11.35,11.200001
dish_1559238993,50.40998,101.84231,0.1471206,11.840009,0.85629827,61.559998,108.0,0.324,15.12,0.756
dish_1562788506,98.94564,103.4179,2.2815857,20.713905,2.4559007,114.588,108.0,2.592,23.76,3.348
dish_1562774129,74.676765,94.60985,3.9556022,9.1255,1.4457374,73.08355,77.0,2.898097,11.336127,1.539
dish_1559578551,118.965965,25.249935,9.270636,0.70722115,8.285917,124.42999,23.0,9.66,0.322,8.51
dish_1562788536,251.62589,206.19559,12.99238,28.765055,11.493669,245.132,190.0,6.61,44.752,5.398
dish_1559233756,183.00755,199.13678,4.8090854,26.636759,7.1665235,189.85,222.0,5.242,30.418,6.142
dish_1564428181,466.1209,272.8569,24.777494,13.316471,43.998306,510.0507,320.0,32.323368,20.955044,34.30546
dish_1565118729,430.26202,215.24123,24.6359,9.77944,36.173164,435.4933,248.0,24.26512,9.017551,41.90299
dish_1568305225,422.79095,182.00652,31.13131,8.981966,23.319916,428.6678,144.0,35.136887,4.897249,24.472982
dish_1566414291,307.6794,266.39456,15.784824,33.205723,11.656234,345.14212,244.0,14.794408,46.021748,7.035223
dish_1561661347,64.29183,149.78926,2.8360276,8.353046,3.8466353,50.67,132.0,1.632,7.215,3.426
dish_1566501575,588.28613,450.8527,22.153482,22.498373,68.32314,251.69398,54.0,15.551999,26.892,3.348
dish_1563218408,251.07762,93.44545,10.5892515,28.194738,10.552575,245.34,87.0,10.44,27.84,10.44
dish_1561661377,258.98218,292.2881,12.855987,12.258341,28.669472,306.33368,294.0,8.972795,11.854835,43.735157
dish_1558639876,85.105156,255.54527,0.6706389,17.764265,3.1313162,68.18,215.0,0.529,15.370001,2.767
dish_1566849862,57.81767,58.982098,5.5947986,3.4003713,0.14952281,77.049995,67.0,7.169,4.221,0.536
dish_1566502573,625.0116,462.5226,21.689003,66.674644,44.44936,821.5102,487.0,43.20623,60.718185,51.18927
dish_1562009810,104.37553,97.56046,2.9053235,16.778482,2.8655584,119.880005,108.0,0.972,24.84,2.808
dish_1564675411,249.92052,295.31436,8.146421,5.7397113,33.48123,235.531,308.0,7.033,2.708,35.193
dish_1560203424,428.7891,135.16241,20.378626,43.30286,17.147678,451.754,138.0,22.272,50.211998,14.587999
dish_1562790824,525.7467,349.5148,39.15764,19.319965,42.692497,437.0717,368.0,49.829514,19.273878,49.85992
dish_1558030289,35.132133,106.05656,0.0890204,9.183033,0.49390408,38.52,107.0,0.107,9.63,0.535
dish_1560444985,178.04228,256.3136,7.4760203,22.422958,5.9471593,198.93787,264.0,10.095443,24.075623,5.127491
dish_1563984140,203.95398,398.34384,0.18730763,2.4865916,40.087433,245.43999,472.0,0.944,3.304,47.2
dish_1561662160,78.805176,53.077316,4.5720024,6.6667676,3.076265,41.83832,36.0,3.37508,2.752816,0.63016
dish_1558641164,76.79145,146.50621,0.08623311,20.911795,0.25186095,80.079994,154.0,0.308,21.56,0.462
dish_1558110335,42.116245,8.695527,2.937401,0.98197454,2.2066834,37.87,7.0,2.94,0.098,2.59
dish_1565811061,200.21349,316.0356,10.460098,13.008816,16.204758,380.32,324.0,7.762,9.06,65.801
dish_1559844490,99.322075,178.84735,0.21984437,25.056973,1.3765206,108.36,180.0,0.459,27.45,1.359
dish_1562786103,100.76768,89.42513,3.8438966,12.637482,4.0807548,93.081,57.0,3.363,13.965,2.337
dish_1563897087,134.08174,205.73958,5.778365,14.000162,9.254604,102.44,231.0,0.67,8.169001,15.196
dish_1566590007,748.9501,444.68768,36.304993,43.535122,64.45079,740.762,457.0,29.2331,57.950996,61.79825
dish_1560975517,33.760227,99.22037,0.92315364,5.1890955,2.7891684,42.39,99.0,1.858,4.608,3.064
dish_1557936645,15.237718,37.715885,0.17389974,3.0712068,0.3326296,11.88,36.0,0.108,2.88,0.252
dish_1565020796,135.16704,120.86501,6.4620004,1.8302166,15.661062,90.6,99.0,3.542,0.749,12.06
dish_1559578579,148.93922,80.7935,9.436903,6.3447356,9.185039,142.57999,78.0,9.825,4.722,8.895
dish_1557862783,443.77127,280.9108,22.173943,11.099268,43.381126,442.97998,258.0,24.919,3.85,50.416
dish_1560975601,302.95935,298.75293,13.2503195,16.51011,32.06121,233.93564,253.0,8.421075,17.945927,22.794699
dish_1560367952,166.49144,160.84354,9.529371,15.402426,7.4187384,414.73315,221.0,21.073912,45.956913,24.938904
dish_1563565454,247.85258,241.44981,12.371054,18.39915,17.83696,350.78882,322.0,22.686897,26.577688,22.234623
dish_1562703408,299.18732,196.72151,12.875695,27.425655,17.454094,311.20917,196.0,12.049189,32.83361,17.407734
dish_1564689138,257.9354,200.99913,10.991746,30.723648,12.855929,268.267,223.0,21.973553,15.522832,5.801213
dish_1563221086,368.61343,283.96054,22.113588,14.636345,27.869076,328.27762,254.0,18.22709,12.389885,28.917324
dish_1567007814,75.556,151.28941,0.8082119,17.180784,0.9369295,73.0,152.0,0.398,17.92,1.109
dish_1565896701,356.11142,200.47237,22.383385,10.07315,26.367949,294.47345,184.0,18.184381,8.322058,25.74716
dish_1557937615,10.578192,26.265823,0.09528391,1.8898566,0.28447562,6.93,21.0,0.063,1.68,0.147
dish_1564427455,373.62717,260.6825,25.047943,9.863717,30.04565,354.26004,218.0,23.956001,4.212,31.222
