dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,49.154297,163.86563,0.5973369,10.206537,2.3938856,43.1,149.0,0.369,9.01,2.409
dish_1558639818,28.976496,82.97983,0.16711812,6.6344514,0.7057146,20.06,59.0,0.118,4.72,0.472
dish_1558549605,90.63919,69.74146,0.20923619,19.558979,2.064526,97.5,75.0,0.225,21.0,2.025
dish_1561663580,385.97897,262.68008,14.121073,31.621206,36.635784,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,309.48386,232.15463,19.128645,12.373369,26.247744,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,220.68953,149.49219,6.953783,0.29313603,38.639126,275.55,167.0,6.012,0.0,51.77
dish_1566838351,159.54117,373.22418,1.1123558,40.871212,2.521402,190.01,417.0,0.822,48.034,2.49
dish_1567107839,184.13223,131.62576,14.057625,4.1555233,19.837076,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,25.771778,98.18877,0.2817339,5.040369,1.9589262,24.75,99.0,0.297,4.95,1.782
dish_1562788601,442.9709,292.86765,21.687933,36.73306,31.47208,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,191.10298,119.03302,9.288307,6.7409625,19.330631,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,334.98065,196.52705,24.017807,4.304774,30.064764,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,64.38019,68.59576,4.88337,5.2764063,0.927613,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,650.0687,507.56055,28.175087,44.247116,63.27365,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,81.56188,66.488434,3.7067153,9.551704,2.870615,179.63,110.0,6.49,26.95,4.51
dish_1565020926,388.6095,436.04132,13.645297,44.288815,23.392841,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,332.07993,328.86844,21.15396,28.353386,18.466917,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,181.48816,131.77881,9.024908,7.218296,18.111885,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,17.216576,89.20308,0.16469069,3.6184213,0.8660421,11.52,64.0,0.128,2.496,0.576
dish_1558373008,238.04071,68.83768,19.045404,2.7911642,13.439215,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,560.4997,405.32614,23.199636,26.25468,57.430645,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,68.702995,130.4027,0.29089838,17.995842,0.39860412,60.32,116.0,0.232,16.24,0.348
dish_1565894889,129.45094,56.211094,5.430239,14.757327,5.74716,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,50.246513,47.384987,4.17708,2.709546,0.9709598,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,150.3375,28.897976,11.614072,0.4204292,10.658073,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,191.29884,359.33566,2.0403824,46.338573,3.8998415,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,139.75974,283.77,1.16231,32.84337,2.0709414,100.3,243.0,0.58,24.836,1.655
