dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,52.62557,166.92769,0.5953235,10.014184,2.7560935,43.1,149.0,0.369,9.01,2.409
dish_1558639818,25.09613,81.465416,0.13012289,6.4942465,0.5959976,20.06,59.0,0.118,4.72,0.472
dish_1558549605,87.29008,68.05871,0.20050116,19.321539,1.7252616,97.5,75.0,0.225,21.0,2.025
dish_1561663580,321.3327,224.77281,11.353556,21.734068,33.99922,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,372.0634,224.17018,24.159998,10.8751135,30.430462,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,224.41136,150.06578,6.122741,0.5630234,38.96221,275.55,167.0,6.012,0.0,51.77
dish_1566838351,149.59561,344.9583,0.38631788,37.737247,1.8294957,190.01,417.0,0.822,48.034,2.49
dish_1567107839,211.84271,141.61586,14.153628,5.653569,21.454268,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,27.566093,96.38726,0.1517618,4.9799714,2.205024,24.75,99.0,0.297,4.95,1.782
dish_1562788601,457.9657,321.36264,22.165192,41.348366,32.6525,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,160.6904,107.03241,7.946808,13.940557,10.330415,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,315.49564,196.5209,18.31665,4.634239,32.35946,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,50.286423,62.301582,4.1953096,3.7235787,0.6154719,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,601.504,454.66995,23.628345,42.804745,55.99863,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,94.3948,95.11775,3.095959,12.032899,4.5153155,179.63,110.0,6.49,26.95,4.51
dish_1565020926,375.15845,437.28452,11.289679,47.239613,23.366863,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,356.80487,351.84216,17.973633,33.93091,21.549442,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,169.49707,122.16376,8.295432,13.435668,12.515652,210.28276,149.0,7.533189,4.561613,29.940079
