dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,55.76571,164.63156,0.7847533,10.516699,2.4102998,43.1,149.0,0.369,9.01,2.409
dish_1558639818,31.770945,91.51859,0.19942985,7.2365937,0.788985,20.06,59.0,0.118,4.72,0.472
dish_1558549605,82.96621,63.346573,0.14656794,18.187004,1.7720679,97.5,75.0,0.225,21.0,2.025
dish_1561663580,352.57132,251.36266,13.984728,28.508516,32.244736,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,357.53683,251.81657,22.442612,12.016648,31.9722,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,251.53691,157.28665,7.6620345,0.23187,44.4759,275.55,167.0,6.012,0.0,51.77
dish_1566838351,142.89723,325.13342,0.8095979,36.11033,2.0033455,190.01,417.0,0.822,48.034,2.49
dish_1567107839,188.5805,132.58144,16.364265,5.2923765,19.535858,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,26.866552,102.75965,0.3481169,5.047674,1.9439249,24.75,99.0,0.297,4.95,1.782
dish_1562788601,514.6587,335.56314,24.934216,40.117935,39.10075,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,161.23334,101.909294,7.803378,7.8988132,14.924891,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,338.51575,191.9196,23.440918,4.1141376,29.897661,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,63.48595,57.801792,4.9759636,4.749456,0.781146,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,561.5426,430.5445,24.975647,43.500187,46.76356,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,56.72613,56.743576,2.0793147,5.93602,3.5860431,179.63,110.0,6.49,26.95,4.51
dish_1565020926,352.00204,416.5569,11.593728,45.818535,21.043484,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,308.63107,343.44202,19.617096,25.089495,19.875586,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,156.8606,115.24299,7.834477,7.428467,14.337414,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,15.608432,80.79343,0.16775608,3.1634223,0.79812247,11.52,64.0,0.128,2.496,0.576
dish_1558373008,213.06458,63.3675,16.946056,2.8630593,11.976252,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,492.39923,362.88214,19.399862,17.951017,54.822227,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,65.90706,126.65296,0.29463264,16.917587,0.47567105,60.32,116.0,0.232,16.24,0.348
dish_1565894889,215.86322,97.18268,7.794935,27.369299,8.680678,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,67.46265,60.547127,5.8799586,3.3854003,1.1912775,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,97.04397,19.097998,7.447711,0.32693696,6.7622466,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,180.49931,354.1261,1.5641148,45.18583,3.896323,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,130.86572,244.54541,1.481618,28.254568,2.3123183,100.3,243.0,0.58,24.836,1.655
dish_1565810969,5.8516493,65.30472,0.08523593,1.4052376,1.9840082,4.6,20.0,0.08,0.72,0.58
dish_1562168800,223.58875,280.8203,8.580066,36.21068,3.3856645,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,450.98157,305.7828,27.01091,15.364427,37.867767,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,314.6871,210.71443,20.673738,8.9656,25.029716,298.8776,170.0,17.89109,6.509885,26.901321
