dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,52.160736,178.16548,0.77934694,9.459648,2.7495534,43.1,149.0,0.369,9.01,2.409
dish_1558639818,27.596659,81.171715,0.22711939,6.812401,0.59068185,20.06,59.0,0.118,4.72,0.472
dish_1558549605,83.86902,64.39275,-0.0317454,18.530321,1.4033128,97.5,75.0,0.225,21.0,2.025
dish_1561663580,304.51593,219.62157,13.661127,18.58912,32.38145,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,345.45316,231.79918,22.895597,9.227496,30.210524,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,247.27649,163.95494,7.357002,-0.39597735,42.699764,275.55,167.0,6.012,0.0,51.77
dish_1566838351,148.66536,346.63718,0.78735423,38.33126,1.6980629,190.01,417.0,0.822,48.034,2.49
dish_1567107839,196.56529,141.23778,14.38558,5.521684,21.296701,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,26.097355,91.38836,0.44719365,5.300166,1.9270217,24.75,99.0,0.297,4.95,1.782
dish_1562788601,430.12433,345.39114,21.69115,44.117958,30.32285,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,192.13972,119.37494,9.639987,8.243125,18.424328,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,337.90732,181.8588,22.37183,3.4576218,32.55464,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,42.61802,49.692066,3.0876176,3.9840913,0.92898506,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,552.757,466.33844,23.451437,38.206406,52.216908,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,97.385376,96.32138,4.4572234,6.9062166,6.687378,179.63,110.0,6.49,26.95,4.51
dish_1565020926,353.34024,439.6555,9.9149885,49.765038,20.047546,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,351.60242,330.7143,21.30977,30.654291,18.506186,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,207.28267,137.33952,10.442684,9.891632,19.989584,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,12.915099,88.21463,0.20838627,3.026878,0.7646935,11.52,64.0,0.128,2.496,0.576
dish_1558373008,242.65094,63.999092,19.355644,2.7958393,12.933767,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,478.0902,382.20734,23.457035,15.208209,51.88954,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,63.39971,122.01814,0.38466033,16.861387,0.33283973,60.32,116.0,0.232,16.24,0.348
dish_1565894889,175.10335,84.35762,6.759528,22.064695,6.327901,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,61.58609,53.76281,4.6009,3.686538,1.7607394,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,121.42305,20.699232,9.443363,0.027992712,8.428695,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,204.95564,371.33688,2.6235404,48.913364,3.8809621,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,111.039215,240.94902,0.9368634,27.223623,1.2455462,100.3,243.0,0.58,24.836,1.655
dish_1565810969,7.507247,62.785667,0.2872522,1.5681474,1.6564012,4.6,20.0,0.08,0.72,0.58
dish_1562168800,205.94438,259.1739,7.0415664,35.372013,3.0834434,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,471.46945,305.37454,27.248545,18.960474,41.341816,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,292.4271,204.03511,19.354511,8.072051,23.333055,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,340.223,189.23792,21.747412,7.71127,30.302195,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,444.8434,195.76323,18.942991,41.30896,31.303988,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,15.466407,36.308975,0.0035233675,4.1159554,0.21545166,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,254.91684,44.78076,21.647259,10.854435,9.886651,271.707,47.0,23.265,10.669,10.528
dish_1566502505,379.21408,271.16037,19.859848,31.267736,24.51146,454.51736,275.0,22.45969,33.1468,31.874937
dish_1565811091,373.69876,364.04202,19.575747,27.002527,27.770514,504.40002,371.0,17.632,9.06,74.731
dish_1561739265,323.92136,342.87265,9.953232,45.86551,11.216066,292.04,308.0,9.989,41.127003,10.689
dish_1558373159,854.4093,292.02615,65.29428,38.26542,37.453896,1013.33704,334.0,79.118,30.505001,60.625
dish_1565035830,305.68417,408.5286,9.737898,15.633018,40.659924,340.128,414.0,6.475,14.785001,54.718
dish_1562788568,312.7506,261.03354,14.719289,36.146297,18.394686,289.20337,230.0,11.735167,46.917168,11.430407
dish_1558376483,858.9234,279.98932,66.42197,33.442562,38.70621,735.03,270.0,55.444,32.24,33.301003
dish_1561739160,36.160927,64.11521,0.29788807,8.601659,0.6210083,34.77,61.0,0.183,8.54,0.427
dish_1558549773,2.4999652,9.676304,0.053754624,0.32162318,0.21451896,2.3,10.0,0.04,0.36,0.29
dish_1561574394,63.30599,96.721985,4.7871294,3.818306,2.706443,61.502373,82.0,4.80367,3.438416,2.367952
dish_1558461760,10.29786,62.52797,0.19349745,2.315097,0.5423637,10.98,61.0,0.122,2.379,0.549
dish_1563909469,42.838844,60.426357,3.9841046,2.221153,0.9772941,72.402824,64.0,6.906353,2.248366,1.364915
dish_1558376938,53.812405,68.943115,0.36071113,13.6811905,0.51617855,51.06,74.0,0.148,13.320001,0.518
dish_1565986733,337.13766,248.97585,29.848616,12.104722,36.602978,387.92938,287.0,35.692814,9.92611,42.974815
dish_1558639555,182.18483,345.9585,1.8807105,43.227917,3.8401613,156.04901,320.0,1.278,38.18,2.725
dish_1558546558,242.09315,38.78444,20.936813,9.226055,9.389233,254.36401,44.0,21.78,9.988,9.856
dish_1563984242,421.61807,736.41223,5.19712,40.546024,47.159985,402.11703,753.0,3.30239,36.81961,49.40776
dish_1559849097,381.89886,303.72183,19.451385,51.42501,9.5700865,495.928,325.0,29.044003,55.626003,14.261001
dish_1563566965,312.86066,304.1995,22.091808,23.096064,10.182209,370.82703,286.0,12.088502,56.243797,13.121026
dish_1566849895,78.73494,135.24585,3.2633994,11.787458,1.5503871,112.31,153.0,7.341,12.821001,1.31
dish_1559157919,36.2219,48.852364,2.7893953,2.836856,0.821331,37.094574,39.0,3.328461,1.523364,0.990958
dish_1558113477,269.29367,45.997883,23.225582,11.064378,10.505495,289.05002,50.0,24.75,11.35,11.200001
dish_1559238993,50.17955,106.47107,0.39043334,12.653948,0.42292035,61.559998,108.0,0.324,15.12,0.756
dish_1562788506,88.9029,90.05174,2.1200025,18.876905,2.0462406,114.588,108.0,2.592,23.76,3.348
dish_1562774129,85.97785,111.87395,5.36925,9.591554,1.1516083,73.08355,77.0,2.898097,11.336127,1.539
dish_1559578551,115.19711,19.820263,8.949521,0.22685811,8.180721,124.42999,23.0,9.66,0.322,8.51
dish_1562788536,210.79845,197.73961,7.8176875,34.200294,7.2770767,245.132,190.0,6.61,44.752,5.398
dish_1559233756,186.82286,172.36928,6.8632655,24.91534,7.3854046,189.85,222.0,5.242,30.418,6.142
dish_1564428181,443.88196,272.6257,26.075394,12.595468,39.009426,510.0507,320.0,32.323368,20.955044,34.30546
dish_1565118729,437.0765,225.8,25.188297,8.244285,40.42117,435.4933,248.0,24.26512,9.017551,41.90299
dish_1568305225,407.90125,196.45381,29.954378,7.1366234,25.755583,428.6678,144.0,35.136887,4.897249,24.472982
dish_1566414291,304.46432,264.77475,16.558815,35.69527,9.314089,345.14212,244.0,14.794408,46.021748,7.035223
dish_1561661347,72.63296,157.94838,3.0495102,9.755263,4.081505,50.67,132.0,1.632,7.215,3.426
dish_1566501575,533.60516,454.72238,14.983543,17.002596,76.34655,251.69398,54.0,15.551999,26.892,3.348
dish_1563218408,250.2393,103.12102,11.736854,25.623507,11.016403,245.34,87.0,10.44,27.84,10.44
dish_1561661377,256.88104,274.16898,17.76941,15.133233,23.618362,306.33368,294.0,8.972795,11.854835,43.735157
dish_1558639876,88.08535,265.65326,0.94934726,20.36321,3.18331,68.18,215.0,0.529,15.370001,2.767
dish_1566849862,74.530716,66.06937,6.2687497,3.6600459,0.5544154,77.049995,67.0,7.169,4.221,0.536
dish_1566502573,604.34515,462.66116,27.659237,55.541782,44.236813,821.5102,487.0,43.20623,60.718185,51.18927
dish_1562009810,113.93022,89.65904,2.2623038,18.622786,3.8232045,119.880005,108.0,0.972,24.84,2.808
dish_1564675411,265.68927,308.77612,9.272406,7.533058,33.374393,235.531,308.0,7.033,2.708,35.193
dish_1560203424,425.97714,125.78255,21.896612,41.247246,16.622896,451.754,138.0,22.272,50.211998,14.587999
dish_1562790824,598.1148,383.25757,44.556694,18.036043,48.21283,437.0717,368.0,49.829514,19.273878,49.85992
dish_1558030289,39.265507,118.157135,0.3039973,9.463736,0.5794271,38.52,107.0,0.107,9.63,0.535
dish_1560444985,183.11554,284.9031,9.117001,20.824598,8.147709,198.93787,264.0,10.095443,24.075623,5.127491
dish_1563984140,201.9172,378.7086,1.1398203,1.5261527,38.791897,245.43999,472.0,0.944,3.304,47.2
dish_1561662160,102.74463,87.252,6.999788,7.2300167,3.5700114,41.83832,36.0,3.37508,2.752816,0.63016
dish_1558641164,72.94494,141.5668,0.43569824,20.026886,0.28071743,80.079994,154.0,0.308,21.56,0.462
dish_1558110335,47.518353,9.728898,3.628044,0.5253176,2.8036375,37.87,7.0,2.94,0.098,2.59
dish_1565811061,215.09224,301.08688,12.305691,15.320896,16.139708,380.32,324.0,7.762,9.06,65.801
dish_1559844490,96.754715,179.10956,0.674901,25.236626,1.244861,108.36,180.0,0.459,27.45,1.359
dish_1562786103,122.09984,151.96819,3.5577734,16.339314,5.398033,93.081,57.0,3.363,13.965,2.337
dish_1563897087,106.1491,218.65556,3.2077634,15.539544,7.2709827,102.44,231.0,0.67,8.169001,15.196
dish_1566590007,801.3381,473.92624,36.11103,45.19371,72.71893,740.762,457.0,29.2331,57.950996,61.79825
dish_1560975517,50.1816,109.48532,1.1671597,7.3643613,3.6992176,42.39,99.0,1.858,4.608,3.064
dish_1557936645,12.511766,35.290653,0.1638628,3.0849416,0.32951275,11.88,36.0,0.108,2.88,0.252
dish_1565020796,149.72272,122.947754,7.475275,0.823519,17.673319,90.6,99.0,3.542,0.749,12.06
dish_1559578579,144.46281,75.454315,9.450558,5.451026,9.232605,142.57999,78.0,9.825,4.722,8.895
dish_1557862783,425.76956,287.01715,22.193699,10.85496,42.509106,442.97998,258.0,24.919,3.85,50.416
