dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,47.238754,157.8909,0.80029523,9.308674,2.2755404,43.1,149.0,0.369,9.01,2.409
dish_1558639818,24.110924,68.623634,0.15537721,5.5637274,0.5761549,20.06,59.0,0.118,4.72,0.472
dish_1558549605,76.39568,59.100082,0.16899776,17.049646,1.3155392,97.5,75.0,0.225,21.0,2.025
dish_1561663580,344.9755,245.83731,14.692527,28.302185,32.031387,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,343.89133,236.56659,23.360447,10.133887,29.467491,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,203.11176,136.43813,5.6155505,0.24082816,35.72822,275.55,167.0,6.012,0.0,51.77
dish_1566838351,153.55728,368.0576,1.0894607,39.05613,2.3592455,190.01,417.0,0.822,48.034,2.49
dish_1567107839,190.28287,131.36145,12.307455,5.5390315,19.282215,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,24.66393,106.2349,0.40035668,5.0189567,1.7764026,24.75,99.0,0.297,4.95,1.782
dish_1562788601,443.97128,301.7012,20.784979,40.281612,29.199125,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,164.25354,103.98969,7.2974043,9.477012,15.131512,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,360.71384,209.38019,25.408447,3.1892922,30.77049,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,47.432148,43.913414,3.6753376,3.6651218,0.86966306,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,596.49426,451.22043,29.32103,40.448116,53.88257,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,160.97194,104.14835,4.597844,24.85896,4.4738708,179.63,110.0,6.49,26.95,4.51
dish_1565020926,334.4944,436.8657,10.134327,44.561207,20.433313,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,286.5666,329.85278,18.468002,21.03117,15.019931,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,167.04506,121.26084,7.668474,8.642259,16.06678,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,15.175465,85.09168,0.1913567,3.228015,0.6637547,11.52,64.0,0.128,2.496,0.576
dish_1558373008,257.42603,72.24149,20.721592,2.7941732,14.210967,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,568.034,418.83316,21.085293,18.048983,65.9899,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,64.54441,128.22525,0.26453555,17.347486,0.3970703,60.32,116.0,0.232,16.24,0.348
dish_1565894889,194.16266,78.08793,6.698696,26.93382,6.829296,257.813,74.0,11.167999,33.295,6.641
