dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,49.189236,166.2033,0.5881368,9.606445,2.6354022,43.1,149.0,0.369,9.01,2.409
dish_1558639818,25.860247,77.37902,0.19979997,5.825682,0.5872147,20.06,59.0,0.118,4.72,0.472
dish_1558549605,79.14401,62.60566,0.010786013,16.971361,1.4852694,97.5,75.0,0.225,21.0,2.025
dish_1561663580,299.22552,218.39897,15.57655,19.562143,28.225655,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,372.91537,231.1658,22.1335,11.261894,32.132423,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,265.90457,167.29013,9.757509,0.10176809,41.607285,275.55,167.0,6.012,0.0,51.77
dish_1566838351,161.68881,363.14645,0.914425,39.619488,2.0881565,190.01,417.0,0.822,48.034,2.49
dish_1567107839,206.30139,145.74333,13.656994,6.63064,22.379526,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,25.706232,101.81644,0.32005253,4.4153705,1.9698502,24.75,99.0,0.297,4.95,1.782
dish_1562788601,424.11743,331.71857,21.681355,37.031578,31.06256,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,184.36612,116.42087,8.623795,9.866841,17.042866,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,306.2549,191.61186,18.42643,4.5988507,30.88703,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,52.709545,56.831043,4.10399,3.8673794,0.60497326,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,613.2907,465.56497,28.090378,40.993607,56.888226,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,121.73276,88.16525,5.2594013,13.011091,5.0640216,179.63,110.0,6.49,26.95,4.51
dish_1565020926,378.3128,494.18405,11.378381,46.69383,24.397963,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,334.25327,352.3658,23.26979,22.07603,19.337297,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,188.97678,130.02963,8.702566,10.875627,17.470585,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,14.224194,80.66097,0.12106026,3.0749438,0.5636835,11.52,64.0,0.128,2.496,0.576
dish_1558373008,242.17654,68.859695,19.19535,3.273218,13.346962,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,532.37634,366.2388,25.095934,18.518768,52.964905,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,66.33452,125.70079,0.24153148,17.372774,0.38866156,60.32,116.0,0.232,16.24,0.348
dish_1565894889,183.21658,80.697876,6.4843125,23.966417,7.210647,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,48.14975,51.350346,3.9607368,3.2622576,0.78113484,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,126.049644,23.707802,9.454546,0.21307711,9.31327,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,201.08438,362.84036,2.8625946,47.5374,3.9223065,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,118.61162,252.32451,1.0279995,27.751642,1.7444426,100.3,243.0,0.58,24.836,1.655
dish_1565810969,12.637912,63.39343,0.20018129,2.1258962,1.9931321,4.6,20.0,0.08,0.72,0.58
dish_1562168800,219.9762,265.0563,8.312067,34.459766,3.8043222,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,437.21072,313.0967,28.926874,14.961295,39.23604,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,295.14572,198.96031,19.277096,8.769061,23.862944,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,352.301,190.63316,21.699753,8.997713,30.030378,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,465.10092,194.82646,20.201508,45.17123,29.044798,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,13.899235,40.43821,0.09752739,3.2874265,0.22365572,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,263.5036,46.89243,22.52615,10.815196,10.268871,271.707,47.0,23.265,10.669,10.528
dish_1566502505,390.77368,284.35464,18.87425,35.3517,26.748323,454.51736,275.0,22.45969,33.1468,31.874937
