dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,46.854195,173.10283,0.4427321,10.511267,2.4046547,43.1,149.0,0.369,9.01,2.409
dish_1558639818,29.265253,83.35585,0.14511803,6.7033796,0.6560181,20.06,59.0,0.118,4.72,0.472
dish_1558549605,87.291756,66.432526,0.10632195,19.271988,1.900467,97.5,75.0,0.225,21.0,2.025
dish_1561663580,323.89835,232.66254,14.599588,24.449064,30.376072,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,352.38696,248.60985,21.544357,11.68401,30.71849,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,241.05914,148.68468,8.809598,0.21112505,38.24466,275.55,167.0,6.012,0.0,51.77
dish_1566838351,168.68556,365.49973,0.8496647,41.867306,2.206083,190.01,417.0,0.822,48.034,2.49
dish_1567107839,221.02715,143.24988,15.124879,5.41333,23.405117,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,27.17608,104.85116,0.3102388,5.0461345,1.874492,24.75,99.0,0.297,4.95,1.782
dish_1562788601,492.4738,331.59805,21.97989,38.852455,37.345116,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,168.93498,105.71906,7.9035964,7.398499,16.35673,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,330.7358,192.33742,22.495901,2.9829984,29.002613,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,43.391064,42.035168,3.7420416,2.726566,0.6501016,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,665.2371,495.36783,30.367409,44.28538,59.34851,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,118.68768,75.061935,4.8926334,13.993479,3.9975016,179.63,110.0,6.49,26.95,4.51
dish_1565020926,359.3436,426.98337,10.110425,46.4929,19.889786,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,303.04147,331.59174,19.66502,23.054008,17.718683,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,162.55302,116.240944,7.5900245,7.277294,16.11709,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,16.919191,88.59417,0.16682859,3.5723524,0.8606765,11.52,64.0,0.128,2.496,0.576
dish_1558373008,276.9199,78.34892,21.84053,3.078124,15.329026,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,545.66254,423.70834,25.39911,21.763374,54.083477,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,66.75578,126.38134,0.24619545,17.419031,0.427284,60.32,116.0,0.232,16.24,0.348
dish_1565894889,147.61902,69.22794,5.1067348,19.817377,6.0588336,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,43.0869,40.403934,3.7194433,2.1142395,0.76548743,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,140.46295,26.141724,10.867348,0.29141587,9.4815855,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,196.67584,368.41238,2.1700733,46.17869,4.218818,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,125.56198,252.74359,1.1357957,28.698689,1.9248855,100.3,243.0,0.58,24.836,1.655
dish_1565810969,13.949647,72.96547,0.1195597,2.5788128,2.1042454,4.6,20.0,0.08,0.72,0.58
dish_1562168800,220.32846,257.75406,7.9270935,34.673298,3.300089,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,443.75882,300.54282,26.835833,15.047184,37.13298,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,293.36533,204.90208,17.753578,9.47536,23.243158,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,377.93973,209.36868,22.466963,9.485671,34.42173,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,383.347,172.94728,16.399677,33.086426,26.291224,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,19.149223,45.093174,0.091907114,4.2482796,0.43470046,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,284.41336,51.248028,24.372648,11.2975855,10.964496,271.707,47.0,23.265,10.669,10.528
dish_1566502505,354.75656,275.5913,16.607918,29.947044,25.4319,454.51736,275.0,22.45969,33.1468,31.874937
dish_1565811091,404.86285,403.60626,21.1775,18.93329,35.512997,504.40002,371.0,17.632,9.06,74.731
dish_1561739265,290.22595,350.1133,6.3326135,45.058258,12.973035,292.04,308.0,9.989,41.127003,10.689
dish_1558373159,946.57446,302.33865,72.754326,37.8969,44.011997,1013.33704,334.0,79.118,30.505001,60.625
dish_1565035830,284.55612,405.16672,6.6544275,13.92519,41.068592,340.128,414.0,6.475,14.785001,54.718
dish_1562788568,321.6555,256.30762,13.989096,33.12824,20.807549,289.20337,230.0,11.735167,46.917168,11.430407
dish_1558376483,931.8976,296.91818,70.41223,33.23048,44.31096,735.03,270.0,55.444,32.24,33.301003
dish_1561739160,37.13342,62.79414,0.5531857,7.5482783,0.4733042,34.77,61.0,0.183,8.54,0.427
dish_1558549773,2.5488832,9.390408,0.030603051,0.3788967,0.30410963,2.3,10.0,0.04,0.36,0.29
dish_1561574394,65.67668,94.34203,4.7665424,4.589273,2.0190766,61.502373,82.0,4.80367,3.438416,2.367952
dish_1558461760,12.145862,58.79603,0.12293084,2.4373493,0.51277715,10.98,61.0,0.122,2.379,0.549
dish_1563909469,47.756138,43.535526,4.4514723,1.8768687,0.77278894,72.402824,64.0,6.906353,2.248366,1.364915
dish_1558376938,51.236385,73.34118,0.14027816,13.124811,0.53411484,51.06,74.0,0.148,13.320001,0.518
dish_1565986733,334.53366,249.22392,31.293102,10.211165,35.44855,387.92938,287.0,35.692814,9.92611,42.974815
dish_1558639555,194.68576,349.33792,1.6534238,45.45903,3.7735074,156.04901,320.0,1.278,38.18,2.725
dish_1558546558,268.11386,48.927242,23.005457,10.563923,10.415183,254.36401,44.0,21.78,9.988,9.856
dish_1563984242,405.49405,706.6577,5.1530695,37.60854,45.268112,402.11703,753.0,3.30239,36.81961,49.40776
dish_1559849097,445.05896,306.87955,23.26646,52.454536,10.891714,495.928,325.0,29.044003,55.626003,14.261001
dish_1563566965,315.58627,295.33722,21.225676,23.79927,13.006805,370.82703,286.0,12.088502,56.243797,13.121026
dish_1566849895,92.679955,138.27626,4.8081803,12.234667,1.2340139,112.31,153.0,7.341,12.821001,1.31
dish_1559157919,31.244911,46.41232,2.2594178,2.180379,1.2344072,37.094574,39.0,3.328461,1.523364,0.990958
dish_1558113477,271.0831,47.260788,23.111116,10.634732,10.417841,289.05002,50.0,24.75,11.35,11.200001
dish_1559238993,51.36884,99.2782,0.24350698,12.19254,0.8745831,61.559998,108.0,0.324,15.12,0.756
dish_1562788506,92.94525,94.31687,1.7000172,19.67266,2.6104264,114.588,108.0,2.592,23.76,3.348
dish_1562774129,101.377655,114.62513,7.1018524,8.736962,1.763441,73.08355,77.0,2.898097,11.336127,1.539
dish_1559578551,125.41184,23.292389,9.550519,0.33466193,8.687201,124.42999,23.0,9.66,0.322,8.51
dish_1562788536,240.86606,211.84662,8.317176,36.071766,9.692482,245.132,190.0,6.61,44.752,5.398
dish_1559233756,189.53099,197.52538,5.918466,26.019514,7.0829887,189.85,222.0,5.242,30.418,6.142
dish_1564428181,389.17148,252.64355,22.047512,11.743442,34.4898,510.0507,320.0,32.323368,20.955044,34.30546
dish_1565118729,406.4928,219.89906,23.413477,8.815609,35.040558,435.4933,248.0,24.26512,9.017551,41.90299
dish_1568305225,379.7355,178.70872,28.327599,6.688095,23.651192,428.6678,144.0,35.136887,4.897249,24.472982
dish_1566414291,333.12735,270.44327,18.15408,35.701054,11.4570875,345.14212,244.0,14.794408,46.021748,7.035223
dish_1561661347,76.73133,152.30951,3.3141575,9.686217,4.279822,50.67,132.0,1.632,7.215,3.426
dish_1566501575,501.54703,463.82803,7.1357484,22.634851,75.963524,251.69398,54.0,15.551999,26.892,3.348
dish_1563218408,274.68848,108.90201,11.210986,31.507307,11.161643,245.34,87.0,10.44,27.84,10.44
dish_1561661377,237.18561,277.322,13.397713,16.169052,23.880678,306.33368,294.0,8.972795,11.854835,43.735157
dish_1558639876,85.16282,256.19583,0.64363295,19.383753,3.0094335,68.18,215.0,0.529,15.370001,2.767
dish_1566849862,79.65188,69.223404,7.276893,4.449753,0.46807185,77.049995,67.0,7.169,4.221,0.536
dish_1566502573,640.0346,469.6549,27.80693,58.47114,46.96379,821.5102,487.0,43.20623,60.718185,51.18927
dish_1562009810,97.27038,77.489174,1.4253998,18.21896,2.1191475,119.880005,108.0,0.972,24.84,2.808
dish_1564675411,234.28152,317.50494,5.405029,4.3391604,33.888885,235.531,308.0,7.033,2.708,35.193
dish_1560203424,459.76266,147.8827,24.505215,38.64161,20.057123,451.754,138.0,22.272,50.211998,14.587999
dish_1562790824,589.0596,378.53607,42.673885,17.652193,49.831615,437.0717,368.0,49.829514,19.273878,49.85992
dish_1558030289,44.15676,119.660446,0.102051765,10.865923,0.60878396,38.52,107.0,0.107,9.63,0.535
dish_1560444985,174.22433,278.73413,6.282553,24.114153,6.1026793,198.93787,264.0,10.095443,24.075623,5.127491
dish_1563984140,191.0847,366.20908,0.6873825,1.8499161,37.205063,245.43999,472.0,0.944,3.304,47.2
dish_1561662160,114.202385,81.643265,8.866769,5.5480547,4.702695,41.83832,36.0,3.37508,2.752816,0.63016
dish_1558641164,76.07087,145.46199,0.21343726,20.504658,0.45769173,80.079994,154.0,0.308,21.56,0.462
dish_1558110335,10.724374,2.2064557,0.8334139,0.07323776,0.6883845,37.87,7.0,2.94,0.098,2.59
dish_1565811061,184.75441,293.0098,7.587795,16.057611,14.079917,380.32,324.0,7.762,9.06,65.801
dish_1559844490,100.59361,180.78638,0.53226924,24.828615,1.4659368,108.36,180.0,0.459,27.45,1.359
dish_1562786103,126.26962,88.05601,4.4407506,17.172918,4.082938,93.081,57.0,3.363,13.965,2.337
dish_1563897087,100.692444,183.59113,2.602284,12.660625,6.984687,102.44,231.0,0.67,8.169001,15.196
dish_1566590007,932.90356,498.96667,42.369827,44.315186,89.33455,740.762,457.0,29.2331,57.950996,61.79825
dish_1560975517,40.498478,97.50917,1.172189,5.4515715,2.868405,42.39,99.0,1.858,4.608,3.064
dish_1557936645,11.3291025,33.548088,0.090334035,2.5820365,0.22539672,11.88,36.0,0.108,2.88,0.252
dish_1565020796,144.996,102.261604,7.3092604,1.4468718,14.599278,90.6,99.0,3.542,0.749,12.06
dish_1559578579,122.48142,72.1746,7.4627724,5.938948,7.567841,142.57999,78.0,9.825,4.722,8.895
dish_1557862783,402.99985,280.6199,19.936066,6.9645166,44.577007,442.97998,258.0,24.919,3.85,50.416
dish_1560975601,279.26526,292.0873,11.934007,15.92294,29.396763,233.93564,253.0,8.421075,17.945927,22.794699
dish_1560367952,121.90856,129.29163,7.498747,8.614343,6.7207537,414.73315,221.0,21.073912,45.956913,24.938904
dish_1563565454,302.27054,287.65744,14.178637,23.850126,24.3617,350.78882,322.0,22.686897,26.577688,22.234623
dish_1562703408,325.6803,196.37102,13.846831,31.938923,18.206585,311.20917,196.0,12.049189,32.83361,17.407734
dish_1564689138,251.14418,231.50099,15.329133,23.079113,9.12193,268.267,223.0,21.973553,15.522832,5.801213
dish_1563221086,345.89688,269.2338,20.644278,15.051139,24.60882,328.27762,254.0,18.22709,12.389885,28.917324
dish_1567007814,82.46464,161.42409,0.6916123,19.086529,1.4000418,73.0,152.0,0.398,17.92,1.109
dish_1565896701,309.59198,175.19493,20.235231,9.665272,21.732416,294.47345,184.0,18.184381,8.322058,25.74716
dish_1557937615,8.285097,21.117191,0.09468153,1.7323904,0.1488484,6.93,21.0,0.063,1.68,0.147
dish_1564427455,326.67545,260.80063,21.745281,8.974496,25.855547,354.26004,218.0,23.956001,4.212,31.222
dish_1564588859,190.3859,234.0123,4.648084,11.191529,23.381756,183.58643,257.0,4.754447,9.571161,23.436096
dish_1561577848,358.3818,247.22588,15.49173,8.746607,47.838444,413.34787,254.0,13.841578,6.037907,63.12289
dish_1563389600,349.56198,273.90558,21.911943,4.791462,35.00027,451.428,264.0,29.046,2.924,44.474
dish_1566316726,352.0187,567.0308,4.525102,22.380962,44.868465,409.5229,685.0,4.10161,25.36539,57.490242
dish_1562776465,121.11457,168.86552,2.1701794,21.694426,3.9720325,173.43245,212.0,4.405418,31.491592,3.634132
dish_1568401261,410.04126,411.62015,7.835225,27.027882,56.32907,530.3934,443.0,26.350721,34.582966,39.13196
dish_1559841950,17.104393,38.790493,0.15289566,3.2071404,0.96592104,11.2,32.0,0.128,2.24,0.768
dish_1558375667,469.3287,82.550224,39.739777,18.631355,17.994486,687.939,119.0,58.905,27.013,26.656
dish_1558639482,53.35118,50.967915,1.1067795,11.076477,1.6019505,30.769,29.0,0.696,6.38,0.899
dish_1566328805,822.89417,489.76236,31.323032,68.126755,64.38614,927.81,488.0,28.737,85.054,77.984
dish_1558114145,54.697628,78.835945,0.13435644,14.024566,0.5833122,57.27,83.0,0.166,14.940001,0.581
dish_1562700593,456.53058,393.15668,28.0477,21.594744,38.314926,385.77393,384.0,29.806803,18.611984,37.046314
dish_1557937574,9.261662,11.894088,0.42356613,1.2555037,0.14373729,5.59,13.0,0.065,1.196,0.182
dish_1561661324,37.008865,78.043365,1.51967,3.8910246,2.5791516,33.0,75.0,1.575,3.225,2.4
dish_1564588820,68.338196,147.363,0.3027605,1.8298655,12.948242,81.119995,156.0,0.312,1.092,15.6
dish_1566414225,122.004456,108.83665,9.332547,5.632326,12.545632,125.18213,88.0,4.186408,17.941746,3.759223
dish_1568305257,705.7961,388.82382,52.869854,8.644737,44.210915,837.14777,420.0,65.49689,9.31325,52.072983
dish_1564773826,15.846432,56.956383,0.18405083,3.6010525,0.5663035,10.08,56.0,0.112,2.184,0.504
dish_1562700496,34.82719,125.047905,0.40571386,7.0092506,2.2194774,31.0,124.0,0.372,6.2,2.232
dish_1566850099,119.3854,98.92042,10.16124,6.2423496,1.8741857,113.05797,112.0,10.687347,4.140735,1.525551
dish_1560975628,416.20505,344.9584,18.379183,34.49347,31.245485,348.27264,296.0,12.463076,32.350925,27.610699
dish_1558461431,2.6839101,10.0556,0.034450375,0.39651868,0.29247108,1.15,5.0,0.02,0.18,0.145
dish_1558635618,255.48668,363.83325,3.2087684,55.53659,6.8263335,220.254,334.0,2.439,49.7,5.606
dish_1561148021,282.23175,199.91713,15.384106,20.039429,18.312593,361.7654,216.0,19.948797,23.61156,22.204132
dish_1566328745,249.43016,207.49998,7.390422,1.7047855,41.536564,282.03,203.0,6.084,1.404,52.094
dish_1558373074,72.32535,138.68965,0.2140847,13.215305,1.7180291,73.84,142.0,0.284,0.426,19.88
dish_1561662869,230.03764,169.57445,8.369702,10.661875,29.482536,284.34552,192.0,9.242703,10.282766,38.791027
dish_1558544663,103.9049,156.40001,1.259052,15.4995775,5.8671694,141.44,208.0,2.912,24.96,4.992
dish_1564588919,326.82675,401.9464,7.32132,41.79173,22.906445,335.94418,452.0,7.606813,41.001797,25.09324
dish_1563909580,469.50336,331.78638,16.591078,61.459034,17.779966,544.3115,361.0,20.122177,74.14412,18.481764
dish_1565894858,18.694134,15.827461,0.7576233,2.6399503,0.42777663,132.84,27.0,6.75,17.55,1.377
dish_1564689078,44.203503,38.551113,3.8458753,2.090462,0.72946376,72.36078,55.0,6.584693,2.958964,1.450291
dish_1566414412,672.3861,528.23615,40.314636,36.214046,55.633636,920.1204,658.0,37.812386,57.062336,85.33485
dish_1566502537,421.40976,318.79663,19.227795,30.44007,35.486866,517.6442,315.0,24.27223,34.292435,41.827816
dish_1558718587,15.50712,61.80945,0.18027367,3.1098483,1.1063517,10.25,41.0,0.123,2.05,0.738
dish_1563551164,331.55948,248.397,8.953061,41.08457,16.32734,339.75607,270.0,8.327854,46.75715,17.75674
dish_1558720236,774.4202,439.96188,56.875572,56.118664,30.214266,887.82306,407.0,66.44,60.461,31.913002
dish_1562776497,280.89587,267.42584,15.017674,20.603308,14.50412,291.83246,292.0,13.205418,32.77159,11.634132
dish_1563565289,79.74722,83.87667,2.3218095,15.107944,2.2678835,93.368,88.0,2.112,19.36,2.728
dish_1559849412,369.41812,65.41195,31.548138,14.566843,14.094151,352.64102,61.0,30.195,13.847,13.664001
dish_1559934477,19.471344,42.46791,0.85823226,1.9136456,1.3593141,25.08,57.0,1.197,2.451,1.824
dish_1557936599,19.601929,52.540295,0.24295431,3.6479974,1.2577305,22.05,63.0,0.252,4.41,1.512
dish_1563565354,269.74988,207.55144,14.20097,17.503736,26.709063,272.3152,193.0,15.777068,23.045525,20.039701
dish_1561405411,296.63788,237.14777,16.423773,25.192982,19.649057,332.06348,282.0,8.511059,25.67544,37.227947
dish_1566502472,135.79112,133.83968,8.239336,15.473236,2.9960356,132.91904,119.0,7.735376,15.924625,3.416664
dish_1566838317,121.054955,291.2375,0.6089396,29.294079,1.7302967,114.2,284.0,0.423,29.413998,1.559
dish_1565123881,393.785,366.54208,17.049341,32.158077,26.611824,406.82175,515.0,19.355543,31.0019,30.063168
dish_1563551134,291.9258,175.47057,7.4945827,34.52025,16.714241,246.91998,173.0,5.962,29.723001,16.8104
dish_1558718906,422.67563,295.51526,27.256687,41.131046,15.633025,282.58002,247.0,14.228001,36.891,9.815001
dish_1562963289,306.00742,161.94852,11.110653,37.841995,13.171032,349.91797,180.0,12.685999,43.364002,15.52
dish_1562790775,90.666504,78.520424,7.8839173,4.0073414,1.7101068,75.686295,40.0,7.803151,1.519515,0.394182
dish_1560801041,431.80414,318.2923,17.698565,25.41632,36.84728,432.24426,292.0,10.663426,63.24589,25.670122
dish_1565123816,258.73096,117.889366,12.392461,16.139128,19.026833,250.91673,110.0,12.352043,13.950899,19.241669
dish_1558031351,17.001587,53.59967,0.049991228,4.205555,0.36035225,12.3,41.0,0.041,3.116,0.246
dish_1559841979,47.521496,96.76861,0.28411978,10.440351,1.4751639,39.289997,85.0,0.287,9.13,1.192
dish_1560203400,316.36328,98.08899,16.068295,28.694754,13.179792,293.28,104.0,12.48,33.28,12.48
dish_1563294987,103.661835,21.665188,7.9391084,0.5208854,7.109654,97.38,18.0,7.56,0.252,6.66
dish_1563208412,71.190796,47.431316,4.6181426,1.5669049,5.8937745,62.4,39.0,3.9,1.17,5.46
dish_1557862696,22.40224,90.90226,0.16347812,4.254968,1.8051344,19.25,77.0,0.231,3.85,1.386
dish_1561739212,184.9373,253.08661,2.5317605,27.847406,10.836736,134.01001,214.0,0.325,23.797,8.347
dish_1564675380,64.22248,16.511858,4.6950884,0.87996393,4.4184165,87.331,23.0,6.463,0.713,6.693
dish_1564773903,222.43825,303.36252,11.651506,23.662926,16.797749,316.82755,336.0,16.086779,25.091196,19.580328
dish_1558376768,71.98994,137.082,0.23242936,15.307886,1.0035645,74.36,143.0,0.286,0.429,20.02
dish_1563897047,208.84746,133.06439,7.696999,25.232285,11.439549,66.04,127.0,0.254,0.889,12.7
dish_1562172561,149.19403,291.9185,0.6624361,1.6832155,28.847185,150.79999,290.0,0.58,2.03,29.0
dish_1563551194,442.4944,338.05838,15.460503,44.51265,27.557768,471.64355,400.0,14.045855,57.67092,27.842804
dish_1558113430,13.803459,34.049805,0.46106806,1.3474365,0.9568173,7.84,28.0,0.112,1.484,0.616
dish_1565035774,63.88087,217.22258,0.95230675,12.343553,3.5325665,57.5,185.0,0.441,12.25,3.129
dish_1563551105,171.57605,64.67075,5.3941064,23.900286,6.274916,194.4,72.0,5.76,29.016,6.7104
dish_1566850142,481.22516,318.26016,28.083155,14.904524,38.971745,464.95117,284.0,31.75317,9.052546,35.226067
dish_1561574368,15.926822,36.421352,0.52954787,1.8342736,1.1579684,22.0,50.0,1.05,2.15,1.6
dish_1562085672,227.57918,107.1941,7.3734746,29.354551,9.681705,122.084,46.0,1.932,19.458,6.21
dish_1560526472,115.18306,131.17491,7.8560762,10.459198,2.0532453,113.672775,114.0,8.28813,9.571251,2.058025
dish_1566328776,808.40076,437.7679,31.17926,62.03455,65.11094,901.81006,436.0,28.685,78.294,77.724
dish_1566501594,607.3498,513.9183,12.252738,24.300444,87.8522,508.04898,109.0,31.391998,54.281998,6.758
dish_1560368019,574.1806,368.06717,23.966047,48.69064,38.186195,436.96594,301.0,21.659855,49.96254,26.125687
dish_1561393764,264.03534,158.95876,18.207104,6.4805403,17.88054,280.8,182.0,20.096,5.524,19.066
dish_1558641200,14.784704,35.583244,0.06939558,3.5933073,0.30380136,3.28,8.0,0.016,0.8,0.072
dish_1558639412,33.008595,93.43123,0.17345724,7.3835053,0.7008272,32.98,97.0,0.194,7.76,0.776
dish_1565123783,99.852715,40.03906,3.378806,12.681921,4.2249193,93.064995,35.0,3.29,11.725,3.92
dish_1559157777,3.2167697,13.546213,0.032621253,0.5670499,0.37547597,2.53,11.0,0.044,0.396,0.319
dish_1567785739,130.7619,167.44315,6.290935,18.329695,1.9549327,168.57646,177.0,9.348528,21.464273,1.382379
dish_1564588889,219.08244,322.0222,3.6869335,23.627102,21.849607,234.49443,346.0,5.021447,22.387161,24.059095
dish_1561667207,211.57045,109.35223,7.2322664,22.176842,11.547023,249.44484,121.0,11.420783,13.358226,22.073404
dish_1559850314,275.53345,84.24906,22.069101,14.556789,10.272364,296.617,100.0,23.317999,17.029,11.005
