dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,52.28279,178.59705,0.7656033,9.759623,2.4043105,43.1,149.0,0.369,9.01,2.409
dish_1558639818,24.724344,72.93597,0.19350158,5.8559594,0.6487259,20.06,59.0,0.118,4.72,0.472
dish_1558549605,89.41709,68.40394,0.266627,18.692936,1.7811625,97.5,75.0,0.225,21.0,2.025
dish_1561663580,319.02493,215.35051,13.354789,21.080463,30.948431,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,361.65085,240.02374,21.038973,11.876566,31.686537,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,242.09671,158.80171,6.7969875,0.33477077,42.806656,275.55,167.0,6.012,0.0,51.77
dish_1566838351,156.78824,352.85556,0.7980734,38.57953,2.545314,190.01,417.0,0.822,48.034,2.49
dish_1567107839,190.09781,140.8987,15.3216715,5.5145583,21.374624,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,26.164732,101.07276,0.32994106,4.7890744,1.8953308,24.75,99.0,0.297,4.95,1.782
dish_1562788601,446.62515,328.291,24.077219,37.06716,32.30878,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,196.30988,123.51903,8.314179,7.6245866,20.905037,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,315.23605,189.18048,17.966217,5.5314727,31.836346,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,46.39062,55.94918,3.1167727,4.3722816,0.70096225,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,613.0982,474.6485,25.176273,40.635098,59.165524,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,127.7824,87.78396,5.3479285,14.869402,5.677057,179.63,110.0,6.49,26.95,4.51
dish_1565020926,341.0483,457.3747,7.942657,50.164387,18.954374,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,371.88434,365.58487,20.050198,34.501347,21.862509,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,201.1227,137.48462,9.067729,8.772243,20.030975,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,14.049101,88.21163,0.119981125,3.057956,0.7034471,11.52,64.0,0.128,2.496,0.576
dish_1558373008,232.45152,60.506832,18.520918,3.1909897,12.598377,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,508.7521,370.48227,25.66836,20.096193,50.05941,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,67.1129,134.65192,0.181969,17.838264,0.46735922,60.32,116.0,0.232,16.24,0.348
dish_1565894889,167.55188,81.68121,6.2485313,21.718067,6.075998,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,55.48958,53.35058,3.8683805,3.7382276,1.4839985,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,126.34903,23.891699,9.18942,0.8498541,8.752832,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,214.84572,392.59845,3.1151574,52.09934,3.8272903,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,121.367386,253.4271,1.3245343,27.881382,1.4081542,100.3,243.0,0.58,24.836,1.655
dish_1565810969,3.4229307,51.661964,-0.087760046,1.0324198,1.0717187,4.6,20.0,0.08,0.72,0.58
dish_1562168800,207.1161,260.35294,7.2466073,34.40119,3.2672899,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,435.2478,303.71857,27.007925,16.867023,35.55243,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,296.86896,204.80174,19.065886,8.233951,24.783918,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,336.68497,194.57361,19.229364,9.63874,29.600662,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,450.22772,186.57387,18.795301,41.781937,29.658676,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,12.831734,36.600044,-0.0555286,3.4764307,0.4805237,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,280.0569,50.08138,23.677893,11.378145,10.550282,271.707,47.0,23.265,10.669,10.528
dish_1566502505,391.31693,293.48636,20.286724,31.548397,26.266455,454.51736,275.0,22.45969,33.1468,31.874937
dish_1565811091,420.35797,414.79337,21.617638,22.821507,42.60151,504.40002,371.0,17.632,9.06,74.731
dish_1561739265,331.39377,370.32492,11.269881,44.449436,13.883417,292.04,308.0,9.989,41.127003,10.689
dish_1558373159,833.0129,291.0514,64.93247,38.351902,36.619865,1013.33704,334.0,79.118,30.505001,60.625
dish_1565035830,307.65598,397.3975,8.913241,14.7212105,41.459877,340.128,414.0,6.475,14.785001,54.718
dish_1562788568,302.70743,254.34341,14.227234,32.851406,19.016111,289.20337,230.0,11.735167,46.917168,11.430407
dish_1558376483,818.0876,304.01254,62.566444,30.804726,39.361885,735.03,270.0,55.444,32.24,33.301003
dish_1561739160,45.388565,70.75247,0.6008816,9.920131,0.7062326,34.77,61.0,0.183,8.54,0.427
