dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,52.788265,169.4638,0.49048,11.012818,2.806755,43.1,149.0,0.369,9.01,2.409
dish_1558639818,24.989752,71.7245,0.15305728,5.7070074,0.56864274,20.06,59.0,0.118,4.72,0.472
dish_1558549605,87.69124,70.68689,0.13092656,19.028254,1.9091643,97.5,75.0,0.225,21.0,2.025
dish_1561663580,326.5029,224.32155,15.006908,21.086313,31.681162,432.06342,307.0,9.844143,31.344984,51.43228
dish_1565898402,328.64832,236.30267,18.703455,10.656164,29.903286,384.79922,229.0,19.544107,9.462811,39.424374
dish_1566328724,243.03412,151.00171,9.143318,0.37059757,38.452553,275.55,167.0,6.012,0.0,51.77
dish_1566838351,141.9944,348.86322,0.6579411,37.868412,2.7640045,190.01,417.0,0.822,48.034,2.49
dish_1567107839,225.43987,149.07552,17.672626,3.547225,22.303286,174.28448,156.0,16.46933,11.980703,18.763048
dish_1558639787,24.899664,96.04567,0.2522144,4.8804564,1.8845934,24.75,99.0,0.297,4.95,1.782
dish_1562788601,486.19025,334.1889,22.980705,41.361053,35.328354,413.17014,287.0,19.139153,48.7664,23.146877
dish_1560456326,195.04979,115.547165,9.674557,7.153919,18.251904,206.87276,138.0,7.522188,3.791613,29.742077
dish_1564427430,328.42233,176.37663,23.444344,3.0688553,28.629723,345.62003,170.0,23.86,2.34,30.79
dish_1565896662,69.77001,65.57916,5.2783756,5.6145024,0.8041945,19.380001,57.0,0.2565,3.6195,1.4535
dish_1566414342,583.0006,438.0637,26.423532,37.820236,51.635326,846.36707,552.0,31.578682,53.343304,83.57795
dish_1562617703,100.65949,71.13164,3.8047242,13.403652,3.4355655,179.63,110.0,6.49,26.95,4.51
dish_1565020926,353.5046,429.86877,10.74366,44.92113,24.318306,398.49612,489.0,10.379284,56.51596,21.472317
dish_1564689168,375.3351,357.932,22.281317,29.750849,23.894037,352.947,339.0,27.541552,17.726831,15.081212
dish_1560456348,185.85902,124.386505,9.079264,7.488103,17.430925,210.28276,149.0,7.533189,4.561613,29.940079
dish_1558641287,14.655457,81.56258,0.15480493,3.184098,0.7243111,11.52,64.0,0.128,2.496,0.576
dish_1558373008,252.51913,75.02054,20.381216,3.0862086,14.681604,251.55801,73.0,19.929,3.066,14.089001
dish_1561577947,519.23083,404.14078,22.641708,21.035507,54.733627,623.2043,424.0,33.782948,12.882619,67.20264
dish_1558639440,69.00095,135.23465,0.28181753,18.349947,0.4462584,60.32,116.0,0.232,16.24,0.348
dish_1565894889,174.80586,78.23955,7.462675,20.430422,6.926185,257.813,74.0,11.167999,33.295,6.641
dish_1561147944,50.424683,45.00913,4.1776533,2.8360932,0.93498236,42.371025,34.0,3.643008,2.258935,0.820393
dish_1557937079,106.16498,20.373758,8.27537,0.31698638,7.4113245,146.06999,27.0,11.339999,0.378,9.99
dish_1558641320,191.37184,369.4497,2.175212,45.44952,4.528702,211.59,336.0,3.092,49.055996,4.52
dish_1567007848,122.34454,254.21407,1.0703319,28.56659,2.2473414,100.3,243.0,0.58,24.836,1.655
dish_1565810969,3.8520112,37.87611,0.026706517,1.3131192,0.991213,4.6,20.0,0.08,0.72,0.58
dish_1562168800,222.79132,272.47168,7.8728886,35.71634,3.558223,237.52483,242.0,9.342677,36.3149,3.826
dish_1564687046,428.7063,303.65784,27.198753,18.031155,34.747444,374.79385,308.0,29.070162,20.45834,33.685577
dish_1563221054,317.4828,217.36702,20.651766,9.783274,24.243803,298.8776,170.0,17.89109,6.509885,26.901321
dish_1565898361,347.85864,199.28706,20.3741,8.338749,31.770786,370.67145,202.0,18.842781,7.620061,38.950523
dish_1560367926,420.37497,186.303,17.648687,38.446987,28.941696,408.52313,194.0,20.965912,44.984913,24.155903
dish_1560444869,23.201956,45.64508,0.23093267,4.353674,0.6994561,14.040001,39.0,0.039,3.51,0.195
dish_1559850283,245.84747,44.953026,21.298733,9.799033,9.460962,271.707,47.0,23.265,10.669,10.528
dish_1566502505,312.6628,268.14233,12.424244,38.321255,17.402285,454.51736,275.0,22.45969,33.1468,31.874937
dish_1565811091,481.62503,400.05423,25.067776,24.915855,40.396507,504.40002,371.0,17.632,9.06,74.731
dish_1561739265,299.78528,370.0572,8.878892,39.08643,16.009275,292.04,308.0,9.989,41.127003,10.689
dish_1558373159,904.32495,299.93207,69.95379,39.993786,41.414352,1013.33704,334.0,79.118,30.505001,60.625
dish_1565035830,300.51532,407.83472,9.968304,16.977203,38.57613,340.128,414.0,6.475,14.785001,54.718
dish_1562788568,347.89886,269.0691,16.56971,32.48111,24.54794,289.20337,230.0,11.735167,46.917168,11.430407
dish_1558376483,970.43414,330.4827,74.23291,39.305676,45.841007,735.03,270.0,55.444,32.24,33.301003
dish_1561739160,30.652105,52.038445,0.3879861,6.536488,0.38348767,34.77,61.0,0.183,8.54,0.427
dish_1558549773,2.5946722,9.708801,0.033457633,0.39242876,0.28475606,2.3,10.0,0.04,0.36,0.29
dish_1561574394,68.06758,100.192215,4.689841,5.286486,3.1487637,61.502373,82.0,4.80367,3.438416,2.367952
dish_1558461760,12.688314,66.44957,0.11641111,2.5545833,0.6398476,10.98,61.0,0.122,2.379,0.549
dish_1563909469,47.482914,50.427402,4.2621384,1.9683897,0.9635577,72.402824,64.0,6.906353,2.248366,1.364915
dish_1558376938,52.183884,76.39865,0.14618637,13.473663,0.4796663,51.06,74.0,0.148,13.320001,0.518
dish_1565986733,343.03964,236.80927,29.704485,12.0154085,35.20886,387.92938,287.0,35.692814,9.92611,42.974815
dish_1558639555,167.89691,338.88913,1.0863154,41.72165,3.189556,156.04901,320.0,1.278,38.18,2.725
dish_1558546558,238.49644,42.345966,20.805315,9.216684,9.439909,254.36401,44.0,21.78,9.988,9.856
dish_1563984242,415.1575,718.0194,4.411263,38.374928,49.60994,402.11703,753.0,3.30239,36.81961,49.40776
dish_1559849097,442.98685,315.8748,23.324306,53.129982,11.999874,495.928,325.0,29.044003,55.626003,14.261001
dish_1563566965,292.08212,297.85126,19.214638,19.875559,15.002988,370.82703,286.0,12.088502,56.243797,13.121026
dish_1566849895,89.22085,150.7689,4.0667133,12.045377,1.7156895,112.31,153.0,7.341,12.821001,1.31
