dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,43.7068,150.356,0.48834,8.75302,2.17302,43.1,149,0.369,9.01,2.409
dish_1558639818,24.2339,70.3604,0.142259,5.76006,0.501916,20.06,59,0.118,4.72,0.472
dish_1558549605,79.8345,64.6158,0.155982,17.787,1.69148,97.5,75,0.225,21,2.025
dish_1561663580,323.178,215.178,13.4104,16.9218,35.7281,432.063,307,9.84414,31.345,51.4323
dish_1565898402,381.161,246.565,24.0007,11.1447,33.712,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,225.602,147.561,7.92813,0.154779,35.1926,275.55,167,6.012,0,51.77
dish_1566838351,162.467,332.361,0.981946,39.4013,2.32654,190.01,417,0.822,48.034,2.49
dish_1567107839,221.537,150.678,15.1392,6.47449,21.8471,174.284,156,16.4693,11.9807,18.763
dish_1558639787,22.9494,91.8889,0.340793,4.71749,1.59826,24.75,99,0.297,4.95,1.782
dish_1562788601,445.83,301.843,22.4744,34.1861,34.1306,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,208.542,132.95,9.12813,6.27986,26.2074,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,313.445,171.429,20.7248,3.19945,27.7714,345.62,170,23.86,2.34,30.79
dish_1565896662,67.1601,70.431,5.2759,5.19541,1.00657,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,615.478,473.13,24.2036,39.1492,60.4878,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,140.226,86.2036,6.16538,10.7001,9.13953,179.63,110,6.49,26.95,4.51
dish_1565020926,344.539,423.778,9.02248,45.4246,20.7746,398.496,489,10.3793,56.516,21.4723
dish_1564689168,338.262,325.797,19.8306,31.5082,17.4168,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,207.014,144.017,8.92158,6.67957,25.7673,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,16.0201,85.8752,0.213391,3.39852,0.764191,11.52,64,0.128,2.496,0.576
dish_1558373008,236.944,68.9678,18.7952,3.56599,12.9167,251.558,73,19.929,3.066,14.089
dish_1561577947,538.253,392.442,24.8085,16.8272,59.1746,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,67.0661,130.371,0.30429,17.7058,0.45682,60.32,116,0.232,16.24,0.348
dish_1565894889,155.667,72.1524,5.50934,20.0827,6.01788,257.813,74,11.168,33.295,6.641
dish_1561147944,50.8358,49.9458,4.68271,2.10077,0.784184,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,113.306,23.922,8.51694,0.020726,7.86026,146.07,27,11.34,0.378,9.99
dish_1558641320,205.018,359.449,2.36361,49.3088,4.04814,211.59,336,3.092,49.056,4.52
dish_1567007848,134.69,259.13,1.19259,31.8934,2.01073,100.3,243,0.58,24.836,1.655
dish_1565810969,11.9046,64.9344,0.252968,1.97817,1.85396,4.6,20,0.08,0.72,0.58
dish_1562168800,187.064,244.685,4.77845,33.5448,3.03529,237.525,242,9.34268,36.3149,3.826
dish_1564687046,385.57,289.489,20.2893,19.6848,32.3908,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,338.215,210.997,21.5427,9.2348,27.687,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,369.702,205.08,23.4395,8.80063,33.2373,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,426.573,176.114,19.9339,40.8891,26.1752,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,13.6682,36.6665,0.0727974,3.1291,0.257984,14.04,39,0.039,3.51,0.195
dish_1559850283,257.07,44.641,21.8308,10.478,9.82232,271.707,47,23.265,10.669,10.528
dish_1566502505,403.199,292.859,19.6464,28.5841,29.7588,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,350.154,340.122,16.9272,15.2088,36.9584,504.4,371,17.632,9.06,74.731
dish_1561739265,304.664,286.323,10.6411,42.3186,10.1627,292.04,308,9.989,41.127,10.689
dish_1558373159,837.611,277.32,64.8613,40.4305,34.1764,1013.34,334,79.118,30.505,60.625
dish_1565035830,330.06,440.801,8.3474,15.8622,44.6351,340.128,414,6.475,14.785,54.718
dish_1562788568,291.536,230.353,14.3336,28.507,18.2736,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,809.194,281.989,61.6473,34.7502,37.0762,735.03,270,55.444,32.24,33.301
dish_1561739160,37.4815,65.1877,0.229968,9.0938,0.555369,34.77,61,0.183,8.54,0.427
dish_1558549773,3.75925,10.177,0.0896046,0.492826,0.305658,2.3,10,0.04,0.36,0.29
dish_1561574394,63.1636,94.2763,4.82537,4.06472,2.52542,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,9.96882,55.3025,0.134009,2.09215,0.502534,10.98,61,0.122,2.379,0.549
dish_1563909469,48.4798,63.5322,4.17722,2.66264,1.4466,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,48.9996,70.0003,0.181253,12.5966,0.496497,51.06,74,0.148,13.32,0.518
dish_1565986733,363.12,239.65,28.3786,10.9865,34.2459,387.929,287,35.6928,9.92611,42.9748
dish_1558639555,180.51,339.681,1.67337,43.8547,3.49557,156.049,320,1.278,38.18,2.725
dish_1558546558,241.425,42.8842,20.6944,9.69507,9.53167,254.364,44,21.78,9.988,9.856
dish_1563984242,366.859,675.146,3.92599,33.8853,42.7912,402.117,753,3.30239,36.8196,49.4078
dish_1559849097,354.773,279.727,16.7472,47.4127,9.76369,495.928,325,29.044,55.626,14.261
dish_1563566965,318.742,324.411,22.0744,24.1861,14.0246,370.827,286,12.0885,56.2438,13.121
dish_1566849895,73.6098,121.173,3.49084,10.3152,1.12394,112.31,153,7.341,12.821,1.31
dish_1559157919,33.195,43.1578,2.8371,2.03136,1.06006,37.0946,39,3.32846,1.52336,0.990958
dish_1558113477,272.611,50.5323,23.5703,10.6726,10.9457,289.05,50,24.75,11.35,11.2
dish_1559238993,50.6634,92.6087,0.279605,12.6103,0.736497,61.56,108,0.324,15.12,0.756
dish_1562788506,100.676,99.7934,2.70953,19.4785,2.72649,114.588,108,2.592,23.76,3.348
dish_1562774129,97.6999,119.432,6.64783,9.89354,1.52786,73.0835,77,2.8981,11.3361,1.539
dish_1559578551,121.718,21.2485,9.45543,0.181037,8.49501,124.43,23,9.66,0.322,8.51
dish_1562788536,201.541,173.193,8.68609,27.1567,7.65568,245.132,190,6.61,44.752,5.398
dish_1559233756,166.034,184.49,5.93839,22.7308,6.26976,189.85,222,5.242,30.418,6.142
dish_1564428181,475.548,282.367,28.4539,12.8474,41.6518,510.051,320,32.3234,20.955,34.3055
dish_1565118729,417.117,218.873,24.2014,9.73457,37.3758,435.493,248,24.2651,9.01755,41.903
dish_1566414291,324.48,275.879,15.0334,28.1156,21.8584,345.142,244,14.7944,46.0217,7.03522
dish_1561661347,70.5445,149.296,3.06508,8.55709,4.26732,50.67,132,1.632,7.215,3.426
dish_1563218408,260.292,96.0782,11.7478,28.0098,10.8454,245.34,87,10.44,27.84,10.44
dish_1561661377,243.424,274.68,11.1033,15.8782,25.2034,306.334,294,8.97279,11.8548,43.7352
