dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,46.2322,164.834,0.607345,9.27044,2.34993,43.1,149,0.369,9.01,2.409,28.0478,0.368459,5.62411,1.42564,28.9262,0.247651,6.04698,1.61678
dish_1558639818,25.9281,78.5801,0.157191,6.16283,0.623502,20.06,59,0.118,4.72,0.472,32.9958,0.200039,7.84274,0.79346,34,0.2,8,0.8
dish_1558549605,73.5867,58.2947,0.151955,15.99,1.54974,97.5,75,0.225,21,2.025,126.232,0.260667,27.4296,2.65846,130,0.3,28,2.7
dish_1561663580,324.443,227.977,11.815,21.8732,38.3488,432.063,307,9.84414,31.345,51.4323,142.314,5.18253,9.59448,16.8213,140.737,3.20656,10.2101,16.7532
dish_1565898402,366.06,240.579,23.3522,10.7064,32.2433,384.799,229,19.5441,9.46281,39.4244,152.158,9.70667,4.45028,13.4024,168.035,8.53454,4.13223,17.2159
dish_1566328724,272.475,163.701,10.2136,0.311735,41.9518,275.55,167,6.012,0,51.77,166.446,6.23915,0.190429,25.627,165,3.6,0,31
dish_1566838351,168.894,377.455,0.930335,42.0509,2.63504,190.01,417,0.822,48.034,2.49,44.7456,0.246476,11.1406,0.698108,45.5659,0.197122,11.5189,0.597122
dish_1567107839,175.804,137.272,15.1969,4.80886,17.9914,174.284,156,16.4693,11.9807,18.763,128.07,11.0707,3.50316,13.1064,111.721,10.5573,7.67994,12.0276
dish_1558639787,25.5661,103.335,0.335612,5.20531,1.81521,24.75,99,0.297,4.95,1.782,24.7409,0.324779,5.03729,1.75662,25,0.3,5,1.8
dish_1562788601,457.374,310.454,21.8873,35.2354,35.0747,413.17,287,19.1392,48.7664,23.1469,147.324,7.05008,11.3496,11.2978,143.962,6.66869,16.9918,8.06511
dish_1560456326,207.445,142.849,9.75329,7.61059,23.7211,206.873,138,7.52219,3.79161,29.7421,145.22,6.82768,5.32771,16.6057,149.908,5.45086,2.74755,21.5522
dish_1564427430,344.771,194.036,23.0337,4.55656,29.2954,345.62,170,23.86,2.34,30.79,177.684,11.8708,2.34831,15.0979,203.306,14.0353,1.37647,18.1118
dish_1565896662,77.698,91.0756,5.37386,7.2391,1.41034,19.38,57,0.2565,3.6195,1.4535,85.3115,5.90044,7.94844,1.54854,34,0.45,6.35,2.55
dish_1566414342,617.948,490.652,28.2792,37.3776,65.0172,846.367,552,31.5787,53.3433,83.5779,125.944,5.76361,7.61794,13.2512,153.327,5.72078,9.66364,15.1409
dish_1562617703,74.1129,51.58,1.94761,11.5607,2.30483,179.63,110,6.49,26.95,4.51,143.685,3.77591,22.4132,4.46845,163.3,5.9,24.5,4.1
dish_1565020926,343.499,419.8,10.5218,42.9918,22.2907,398.496,489,10.3793,56.516,21.4723,81.8244,2.50637,10.241,5.30984,81.4921,2.12255,11.5575,4.39107
dish_1564689168,390.123,366.13,21.894,34.6642,18.7555,352.947,339,27.5416,17.7268,15.0812,106.553,5.97984,9.46772,5.12262,104.114,8.12435,5.22915,4.44873
dish_1560456348,200.279,155.505,8.95533,8.2086,23.0146,210.283,149,7.53319,4.56161,29.9401,128.793,5.75888,5.27869,14.7999,141.129,5.05583,3.06149,20.094
dish_1558641287,15.8323,88.4422,0.184762,3.46757,0.774015,11.52,64,0.128,2.496,0.576,17.9013,0.208907,3.92072,0.875165,18,0.2,3.9,0.9
dish_1558373008,228.266,67.8353,18.1673,2.99461,12.5077,251.558,73,19.929,3.066,14.089,336.501,26.7814,4.41453,18.4383,344.6,27.3,4.2,19.3
dish_1561577947,532.577,386.307,22.4461,21.1882,54.474,623.204,424,33.7829,12.8826,67.2026,137.864,5.81045,5.48481,14.1012,146.982,7.96768,3.03835,15.8497
