dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,39.5706,144.978,0.508903,7.96784,2.1556,43.1,149,0.369,9.01,2.409
dish_1558639818,26.6751,82.5742,0.164423,6.34551,0.656802,20.06,59,0.118,4.72,0.472
dish_1558549605,85.3679,66.8944,0.212226,18.5151,1.56506,97.5,75,0.225,21,2.025
dish_1561663580,312.763,219.145,11.4506,23.6566,31.3548,432.063,307,9.84414,31.345,51.4323
dish_1565898402,355.286,249.174,24.1068,11.8206,31.9736,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,237.807,149.305,8.09962,0.318177,39.1873,275.55,167,6.012,0,51.77
dish_1566838351,174.098,370.302,1.05171,41.4854,2.58795,190.01,417,0.822,48.034,2.49
dish_1567107839,191.693,145.508,14.7299,4.59094,22.3052,174.284,156,16.4693,11.9807,18.763
dish_1558639787,24.9418,99.0019,0.353479,4.93275,1.69178,24.75,99,0.297,4.95,1.782
dish_1562788601,411.386,299.004,20.1995,32.5603,31.9312,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,188.543,121.532,10.7587,5.68171,20.2189,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,336.341,189.753,23.6688,3.76898,27.9075,345.62,170,23.86,2.34,30.79
dish_1565896662,53.6813,75.4137,3.08213,5.98689,1.18097,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,597.149,461.765,23.663,39.0323,58.3141,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,122.05,94.8488,5.13188,8.91751,8.96714,179.63,110,6.49,26.95,4.51
dish_1565020926,354.008,426.862,9.93576,44.6523,22.5475,398.496,489,10.3793,56.516,21.4723
dish_1564689168,354.147,306.779,19.6964,31.9768,17.3448,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,188.165,131.123,10.1359,5.90184,20.7847,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,17.515,92.2008,0.167526,3.87581,0.862595,11.52,64,0.128,2.496,0.576
dish_1558373008,235.77,66.3322,18.8365,3.22108,12.3679,251.558,73,19.929,3.066,14.089
dish_1561577947,547.435,380.138,24.2841,18.5662,56.9268,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,68.3521,128.638,0.287846,18.2756,0.4148,60.32,116,0.232,16.24,0.348
dish_1565894889,154.24,61.723,5.82162,19.1389,6.29758,257.813,74,11.168,33.295,6.641
dish_1561147944,48.0229,43.4805,4.54725,1.80119,0.564128,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,130.737,25.0271,10.1351,0.15225,8.92301,146.07,27,11.34,0.378,9.99
dish_1558641320,200.61,372.021,2.75479,48.1406,4.05447,211.59,336,3.092,49.056,4.52
dish_1567007848,133.764,266.365,1.08604,31.1189,2.2002,100.3,243,0.58,24.836,1.655
dish_1565810969,11.136,65.8252,0.328739,2.17819,1.91303,4.6,20,0.08,0.72,0.58
dish_1562168800,178.633,244.802,4.24191,33.8927,3.44872,237.525,242,9.34268,36.3149,3.826
dish_1564687046,361.417,285.225,24.5788,16.7765,31.775,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,335.044,204.288,19.9114,8.82729,27.8186,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,355.773,215.258,23.6291,8.98882,33.2649,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,410.848,171.073,18.3149,37.6403,25.8373,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,11.6922,37.0526,0.0852671,2.54763,0.232692,14.04,39,0.039,3.51,0.195
dish_1559850283,246.417,44.5794,21.0489,10.2611,9.22624,271.707,47,23.265,10.669,10.528
dish_1566502505,399.509,290.465,19.8653,30.3159,27.8679,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,377.298,400.247,17.4196,18.7787,43.1552,504.4,371,17.632,9.06,74.731
dish_1561739265,294.794,294.415,9.55984,41.7012,10.7299,292.04,308,9.989,41.127,10.689
dish_1558373159,888.919,286.241,69.7186,38.6777,38.1718,1013.34,334,79.118,30.505,60.625
dish_1565035830,324.489,438.113,8.64127,15.2187,44.0046,340.128,414,6.475,14.785,54.718
dish_1562788568,270.494,233.933,11.21,31.0257,18.2542,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,792.847,284.446,60.0393,35.3308,35.6178,735.03,270,55.444,32.24,33.301
dish_1561739160,34.0441,60.9537,0.208844,8.13182,0.354963,34.77,61,0.183,8.54,0.427
dish_1558549773,3.38166,11.0892,0.0268809,0.516127,0.319533,2.3,10,0.04,0.36,0.29
dish_1561574394,68.5222,94.3756,4.74124,4.66165,2.72818,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,11.6912,61.46,0.116393,2.49737,0.590722,10.98,61,0.122,2.379,0.549
dish_1563909469,57.0876,58.8692,4.42641,2.9301,1.18065,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,48.2128,69.2814,0.159388,12.3362,0.483755,51.06,74,0.148,13.32,0.518
dish_1565986733,337.116,252.886,30.5477,10.8663,35.1515,387.929,287,35.6928,9.92611,42.9748
dish_1558639555,183.231,347.778,2.19179,43.423,3.80127,156.049,320,1.278,38.18,2.725
dish_1558546558,258.243,44.4215,22.137,10.3138,9.80671,254.364,44,21.78,9.988,9.856
dish_1563984242,384.911,694.411,3.62423,37.39,44.0144,402.117,753,3.30239,36.8196,49.4078
dish_1559849097,353.707,292.645,16.7857,48.1321,8.75767,495.928,325,29.044,55.626,14.261
dish_1563566965,357.449,313.326,21.6325,29.5496,16.6862,370.827,286,12.0885,56.2438,13.121
dish_1566849895,73.599,127.814,3.75964,10.5685,1.26769,112.31,153,7.341,12.821,1.31
dish_1559157919,32.4919,34.5637,2.75885,1.20456,1.07833,37.0946,39,3.32846,1.52336,0.990958
dish_1558113477,273.121,48.1628,23.3606,11.3213,10.4602,289.05,50,24.75,11.35,11.2
dish_1559238993,48.0126,90.4379,0.247273,11.7385,0.601692,61.56,108,0.324,15.12,0.756
dish_1562788506,97.9195,98.9045,2.63953,19.9206,2.4789,114.588,108,2.592,23.76,3.348
dish_1562774129,82.0321,91.7492,4.4626,9.55899,1.43984,73.0835,77,2.8981,11.3361,1.539
dish_1559578551,122.168,21.4604,9.61618,0.296208,8.64593,124.43,23,9.66,0.322,8.51
dish_1562788536,191.387,181.312,6.84949,30.2238,7.57888,245.132,190,6.61,44.752,5.398
dish_1559233756,164.128,193.04,4.42291,26.3372,5.2425,189.85,222,5.242,30.418,6.142
dish_1564428181,481.448,301.308,31.1947,12.5184,40.0125,510.051,320,32.3234,20.955,34.3055
dish_1565118729,407.672,207.614,23.8533,8.22728,36.4642,435.493,248,24.2651,9.01755,41.903
dish_1568305225,395.315,166.182,29.3367,7.89195,21.9592,428.668,144,35.1369,4.89725,24.473
