dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,42.2794,152.134,0.715105,8.55029,2.2576,43.1,149,0.369,9.01,2.409,27.7909,0.470049,5.62023,1.48395,28.9262,0.247651,6.04698,1.61678
dish_1558639818,25.2711,73.6998,0.144171,5.87835,0.561907,20.06,59,0.118,4.72,0.472,34.2892,0.195619,7.97607,0.762426,34,0.2,8,0.8
dish_1558549605,79.3521,64.3023,0.198913,17.4396,1.59322,97.5,75,0.225,21,2.025,123.405,0.309341,27.1213,2.4777,130,0.3,28,2.7
dish_1561663580,338.515,234.607,13.0343,23.5507,35.9188,432.063,307,9.84414,31.345,51.4323,144.29,5.5558,10.0383,15.3102,140.737,3.20656,10.2101,16.7532
dish_1565898402,398.13,250.988,25.8339,11.9913,34.305,384.799,229,19.5441,9.46281,39.4244,158.625,10.2929,4.77764,13.668,168.035,8.53454,4.13223,17.2159
dish_1566328724,268.533,153.676,9.25657,0.0950103,44.2539,275.55,167,6.012,0,51.77,174.74,6.02343,0.061825,28.7969,165,3.6,0,31
dish_1566838351,173.097,371.058,1.41643,41.2728,2.45713,190.01,417,0.822,48.034,2.49,46.6495,0.381727,11.123,0.662195,45.5659,0.197122,11.5189,0.597122
dish_1567107839,184.247,142.151,15.8527,5.1845,20.876,174.284,156,16.4693,11.9807,18.763,129.614,11.152,3.64719,14.6858,111.721,10.5573,7.67994,12.0276
dish_1558639787,25.4311,101.414,0.310154,5.07504,1.79538,24.75,99,0.297,4.95,1.782,25.0766,0.305831,5.00429,1.77035,25,0.3,5,1.8
dish_1562788601,473.54,312.793,24.6132,37.4894,35.7372,413.17,287,19.1392,48.7664,23.1469,151.391,7.86882,11.9853,11.4252,143.962,6.66869,16.9918,8.06511
dish_1560456326,197.927,132.785,8.20545,4.60961,25.8951,206.873,138,7.52219,3.79161,29.7421,149.058,6.17949,3.47148,19.5015,149.908,5.45086,2.74755,21.5522
dish_1564427430,390.652,191.793,29.2273,3.88565,29.6502,345.62,170,23.86,2.34,30.79,203.685,15.239,2.02596,15.4595,203.306,14.0353,1.37647,18.1118
