dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,42.3688,152.988,0.710062,9.02763,1.59532,43.1,149,0.369,9.01,2.409
dish_1558639818,26.3508,78.6218,0.200537,6.40231,0.587378,20.06,59,0.118,4.72,0.472
dish_1558549605,87.1633,67.5942,0.209897,19.2196,1.38589,97.5,75,0.225,21,2.025
dish_1561663580,340.13,218.987,11.7613,20.528,38.3066,432.063,307,9.84414,31.345,51.4323
dish_1565898402,363.337,243.608,26.1132,10.9518,34.2631,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,220.507,141.401,7.05515,0.211162,39.5675,275.55,167,6.012,0,51.77
dish_1566838351,169.163,338.82,1.23046,40.4333,2.12864,190.01,417,0.822,48.034,2.49
dish_1567107839,199.805,147.452,17.0178,5.72636,23.4455,174.284,156,16.4693,11.9807,18.763
dish_1558639787,25.0113,94.0704,0.347271,5.07016,1.5694,24.75,99,0.297,4.95,1.782
dish_1562788601,426.392,291.651,21.4239,31.389,32.2378,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,187.575,112.619,10.0594,5.00106,21.7825,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,325.196,175.594,23.0831,3.16912,28.2779,345.62,170,23.86,2.34,30.79
dish_1565896662,69.1026,59.0434,6.11766,3.98313,1.02124,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,613.159,464.579,25.1141,41.923,58.3525,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,105.005,84.2015,4.96713,8.11323,6.66631,179.63,110,6.49,26.95,4.51
dish_1565020926,361.567,414.818,10.479,48.6136,20.2774,398.496,489,10.3793,56.516,21.4723
dish_1564689168,351.57,336.521,20.1536,34.6213,14.732,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,186.977,128.12,10.5394,5.9464,21.4267,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,16.0697,84.645,0.258197,3.60879,0.83527,11.52,64,0.128,2.496,0.576
dish_1558373008,237.907,67.9083,19.2577,3.50269,12.4768,251.558,73,19.929,3.066,14.089
dish_1561577947,549.655,388.598,26.7853,20.4258,57.0802,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,67.6833,129.279,0.352326,17.9701,0.33982,60.32,116,0.232,16.24,0.348
dish_1565894889,163.46,75.7462,4.86428,23.0846,5.81658,257.813,74,11.168,33.295,6.641
dish_1561147944,48.1462,47.0512,4.92371,1.84601,0.644561,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,131.256,24.5697,10.2867,-0.0477426,9.48781,146.07,27,11.34,0.378,9.99
dish_1558641320,208.158,373.068,2.81375,49.2559,4.02212,211.59,336,3.092,49.056,4.52
dish_1567007848,137.53,264.415,1.24584,31.1365,1.82726,100.3,243,0.58,24.836,1.655
dish_1565810969,12.7125,65.9574,0.551924,2.17886,2.11123,4.6,20,0.08,0.72,0.58
dish_1562168800,191.175,240.007,5.02135,33.9981,3.39652,237.525,242,9.34268,36.3149,3.826
dish_1564687046,380.134,277.777,23.274,16.6256,33.125,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,337.25,197.077,21.2281,9.02291,27.5217,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,360.586,207.342,25.0961,8.26153,34.7955,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,399.738,166.471,17.9098,37.712,24.7011,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,13.1256,36.8311,0.169539,2.87772,0.165098,14.04,39,0.039,3.51,0.195
dish_1559850283,254.379,43.7684,21.4837,10.5509,9.48327,271.707,47,23.265,10.669,10.528
dish_1566502505,405.61,291.457,21.1517,30.2591,28.3975,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,328.615,375.39,16.7655,17.9359,39.9542,504.4,371,17.632,9.06,74.731
dish_1561739265,312.016,322.165,8.87089,45.9511,10.8682,292.04,308,9.989,41.127,10.689
dish_1558373159,903.358,290.675,70.0739,41.5833,37.7817,1013.34,334,79.118,30.505,60.625
dish_1565035830,311.212,415.28,9.61746,15.4354,43.7722,340.128,414,6.475,14.785,54.718
dish_1562788568,268.679,229.906,11.7617,31.317,16.4506,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,823.307,279.141,63.1442,34.3026,37.7691,735.03,270,55.444,32.24,33.301
dish_1561739160,39.2298,65.8574,0.438955,8.7178,0.471892,34.77,61,0.183,8.54,0.427
dish_1558549773,4.27855,11.1012,-0.0205348,0.619447,0.331836,2.3,10,0.04,0.36,0.29
dish_1561574394,70.83,81.3731,5.92722,3.94085,2.4224,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,12.7124,61.1875,0.19125,2.5698,0.578373,10.98,61,0.122,2.379,0.549
dish_1563909469,51.6197,51.0739,4.43055,2.94194,1.3813,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,53.9054,72.7037,0.295239,13.44,0.498135,51.06,74,0.148,13.32,0.518
dish_1565986733,359.663,268.187,34.4674,11.2478,38.4368,387.929,287,35.6928,9.92611,42.9748
dish_1558639555,192.054,358.484,1.90928,45.5483,3.5555,156.049,320,1.278,38.18,2.725
dish_1558546558,261.754,44.0525,22.0496,10.9679,10.3597,254.364,44,21.78,9.988,9.856
dish_1563984242,394.595,691.97,5.3621,35.8443,46.4446,402.117,753,3.30239,36.8196,49.4078
dish_1559849097,381.068,287.704,18.4037,49.5211,9.59034,495.928,325,29.044,55.626,14.261
dish_1563566965,343.598,294.161,23.5435,27.7685,12.5937,370.827,286,12.0885,56.2438,13.121
dish_1566849895,68.5883,121.705,3.16197,10.5008,1.08146,112.31,153,7.341,12.821,1.31
dish_1559157919,46.4774,41.87,4.30817,1.99874,1.00791,37.0946,39,3.32846,1.52336,0.990958
dish_1558113477,293.106,51.0954,24.875,12.1047,11.4212,289.05,50,24.75,11.35,11.2
dish_1559238993,52.5033,96.2136,0.428018,13.2164,0.77227,61.56,108,0.324,15.12,0.756
dish_1562788506,97.3407,104.59,2.34489,19.1737,2.51835,114.588,108,2.592,23.76,3.348
dish_1562774129,92.1251,94.1368,5.90044,8.96575,1.82921,73.0835,77,2.8981,11.3361,1.539
dish_1559578551,120.886,23.1941,9.47846,0.519651,8.8257,124.43,23,9.66,0.322,8.51
dish_1562788536,198.902,180.889,6.64011,30.7134,6.85335,245.132,190,6.61,44.752,5.398
dish_1559233756,180.615,202.025,5.5812,25.886,6.29161,189.85,222,5.242,30.418,6.142
dish_1564428181,482.076,293.397,30.1392,11.2679,42.7497,510.051,320,32.3234,20.955,34.3055
dish_1565118729,430.533,209.132,25.8139,8.53604,38.444,435.493,248,24.2651,9.01755,41.903
dish_1568305225,385.641,170.232,28.3643,8.09482,23.0149,428.668,144,35.1369,4.89725,24.473
dish_1566414291,317.742,276.501,16.022,31.2891,14.7728,345.142,244,14.7944,46.0217,7.03522
dish_1561661347,70.094,138.777,3.42977,8.6958,4.04061,50.67,132,1.632,7.215,3.426
dish_1566501575,470.501,394.862,15.5576,22.9689,59.6622,251.694,54,15.552,26.892,3.348
dish_1563218408,238.885,84.9677,11.2376,23.9324,9.74273,245.34,87,10.44,27.84,10.44
dish_1561661377,256.323,288.71,14.9925,14.8954,29.8104,306.334,294,8.97279,11.8548,43.7352
dish_1558639876,76.6889,236.288,0.577971,17.711,2.30848,68.18,215,0.529,15.37,2.767
dish_1566849862,74.7645,58.8854,7.05853,4.44414,0.659613,77.05,67,7.169,4.221,0.536
dish_1566502573,627.075,473.945,27.9828,66.0168,38.6602,821.51,487,43.2062,60.7182,51.1893
