dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,51.6958,165.951,0.856835,9.74676,2.11037,43.1,149,0.369,9.01,2.409,31.1512,0.516317,5.87326,1.27168,28.9262,0.247651,6.04698,1.61678
dish_1558639818,26.17,74.4921,0.171059,6.01334,0.589206,20.06,59,0.118,4.72,0.472,35.1313,0.229634,8.07245,0.790964,34,0.2,8,0.8
dish_1558549605,92.8992,70.7553,0.191561,20.204,1.81698,97.5,75,0.225,21,2.025,131.296,0.270738,28.5547,2.56798,130,0.3,28,2.7
dish_1561663580,337.378,220.492,10.4782,22.2883,36.3467,432.063,307,9.84414,31.345,51.4323,153.011,4.75221,10.1084,16.4844,140.737,3.20656,10.2101,16.7532
dish_1565898402,398.795,264.659,25.0128,13.1981,34.4909,384.799,229,19.5441,9.46281,39.4244,150.683,9.45094,4.98684,13.0322,168.035,8.53454,4.13223,17.2159
dish_1566328724,186.432,117.216,5.61655,0.0311441,33.4823,275.55,167,6.012,0,51.77,159.05,4.79164,0.0265699,28.5647,165,3.6,0,31
dish_1566838351,160.105,354.318,0.874836,40.0651,1.87244,190.01,417,0.822,48.034,2.49,45.1869,0.246907,11.3077,0.528464,45.5659,0.197122,11.5189,0.597122
dish_1567107839,185.267,139.117,15.6023,5.35816,19.2492,174.284,156,16.4693,11.9807,18.763,133.173,11.2152,3.85154,13.8366,111.721,10.5573,7.67994,12.0276
dish_1558639787,26.9717,104.438,0.340179,5.39065,1.85039,24.75,99,0.297,4.95,1.782,25.8256,0.325723,5.16157,1.77176,25,0.3,5,1.8
dish_1562788601,433.622,297.633,21.1526,33.9475,32.6313,413.17,287,19.1392,48.7664,23.1469,145.69,7.10696,11.4058,10.9636,143.962,6.66869,16.9918,8.06511
dish_1560456326,166.833,118.1,7.34865,5.53354,19.219,206.873,138,7.52219,3.79161,29.7421,141.264,6.22238,4.68546,16.2735,149.908,5.45086,2.74755,21.5522
dish_1564427430,351.864,186.876,24.8568,3.78986,28.4155,345.62,170,23.86,2.34,30.79,188.288,13.3012,2.02801,15.2056,203.306,14.0353,1.37647,18.1118
dish_1565896662,67.1188,70.1347,4.94388,5.2846,1.36982,19.38,57,0.2565,3.6195,1.4535,95.6999,7.04913,7.53494,1.95313,34,0.45,6.35,2.55
dish_1566414342,656.886,508.432,28.162,39.4948,68.5572,846.367,552,31.5787,53.3433,83.5779,129.199,5.539,7.76797,13.484,153.327,5.72078,9.66364,15.1409
