dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,40.2543,146.132,0.679895,8.39976,1.96217,43.1,149,0.369,9.01,2.409
dish_1558639818,25.6216,75.4246,0.47177,5.93141,0.604954,20.06,59,0.118,4.72,0.472
dish_1558549605,80.6311,61.1205,0.47024,18.136,1.5472,97.5,75,0.225,21,2.025
dish_1561663580,317.741,218.268,14.5157,21.6678,34.4351,432.063,307,9.84414,31.345,51.4323
dish_1565898402,369.021,245.868,26.4177,12.0171,33.3522,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,252.51,144.84,10.5596,1.11174,35.9243,275.55,167,6.012,0,51.77
dish_1566838351,170.191,365.643,2.11002,41.9734,2.69815,190.01,417,0.822,48.034,2.49
dish_1567107839,211.539,143.189,17.0369,6.06349,22.4015,174.284,156,16.4693,11.9807,18.763
dish_1558639787,24.6337,99.8112,0.534479,5.09338,1.7652,24.75,99,0.297,4.95,1.782
dish_1562788601,413.618,292.549,23.0187,33.8858,29.13,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,177.686,110.028,8.80668,3.30208,23.698,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,320.886,171.717,23.5855,2.58394,26.0418,345.62,170,23.86,2.34,30.79
dish_1565896662,60.7483,68.1199,5.59227,4.16813,1.01553,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,618.393,468.388,26.9186,39.4229,62.2914,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,141.751,82.1542,8.55303,5.28174,9.6396,179.63,110,6.49,26.95,4.51
dish_1565020926,373.135,455.403,11.5124,51.4161,22.2631,398.496,489,10.3793,56.516,21.4723
dish_1564689168,353.37,343.941,21.543,36.0203,16.0616,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,180.91,126.711,8.56876,4.09581,24.5645,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,15.6039,87.277,0.49413,3.5551,0.775631,11.52,64,0.128,2.496,0.576
dish_1558373008,254.329,69.1581,21.4902,3.29658,12.7739,251.558,73,19.929,3.066,14.089
dish_1561577947,548.217,399.645,26.3413,19.6951,59.8096,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,61.5388,126.07,0.72891,16.9672,0.271824,60.32,116,0.232,16.24,0.348
dish_1565894889,182.266,73.014,6.87421,25.0275,6.4265,257.813,74,11.168,33.295,6.641
dish_1561147944,41.9091,46.7411,4.14028,1.60263,0.547119,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,136.839,25.7661,11.0783,-0.0868973,9.33178,146.07,27,11.34,0.378,9.99
dish_1558641320,197.181,375.754,3.46962,48.6417,3.62983,211.59,336,3.092,49.056,4.52
dish_1567007848,131.353,265.475,2.18329,30.6034,1.99142,100.3,243,0.58,24.836,1.655
dish_1565810969,9.35192,66.0135,0.446318,1.89549,1.8247,4.6,20,0.08,0.72,0.58
dish_1562168800,187.754,250.297,5.26041,35.5726,3.64735,237.525,242,9.34268,36.3149,3.826
