dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,49.0248,155.188,0.80682,8.75766,2.22763,43.1,149,0.369,9.01,2.409,31.5905,0.519897,5.64324,1.43543,28.9262,0.247651,6.04698,1.61678
dish_1558639818,27.6279,79.712,0.17705,6.36284,0.641281,20.06,59,0.118,4.72,0.472,34.6596,0.222112,7.98229,0.804497,34,0.2,8,0.8
dish_1558549605,81.3081,62.9372,0.186145,17.6325,1.56836,97.5,75,0.225,21,2.025,129.189,0.295763,28.016,2.49195,130,0.3,28,2.7
dish_1561663580,299.732,209.986,9.62494,22.4517,33.3328,432.063,307,9.84414,31.345,51.4323,142.739,4.58361,10.692,15.8738,140.737,3.20656,10.2101,16.7532
dish_1565898402,380.039,259.677,24.0693,11.6238,35.0282,384.799,229,19.5441,9.46281,39.4244,146.351,9.26895,4.47626,13.4892,168.035,8.53454,4.13223,17.2159
dish_1566328724,223.643,136.038,7.54744,0.0474005,38.2547,275.55,167,6.012,0,51.77,164.397,5.54803,0.0348435,28.1206,165,3.6,0,31
dish_1566838351,172.894,355.777,1.03217,41.6533,2.61729,190.01,417,0.822,48.034,2.49,48.5961,0.290117,11.7077,0.735655,45.5659,0.197122,11.5189,0.597122
dish_1567107839,171.523,132.042,14.9707,4.2831,19.0216,174.284,156,16.4693,11.9807,18.763,129.901,11.3379,3.24375,14.4058,111.721,10.5573,7.67994,12.0276
dish_1558639787,26.7826,104.01,0.351662,5.05702,1.95239,24.75,99,0.297,4.95,1.782,25.7501,0.338105,4.86207,1.87712,25,0.3,5,1.8
dish_1562788601,484.771,308.298,23.0888,36.9624,35.876,413.17,287,19.1392,48.7664,23.1469,157.241,7.4891,11.9892,11.6368,143.962,6.66869,16.9918,8.06511
dish_1560456326,164.615,113.381,6.9288,5.46744,19.1205,206.873,138,7.52219,3.79161,29.7421,145.187,6.11106,4.82217,16.8639,149.908,5.45086,2.74755,21.5522
dish_1564427430,353.471,194.105,24.339,3.53394,29.5074,345.62,170,23.86,2.34,30.79,182.103,12.5391,1.82063,15.2018,203.306,14.0353,1.37647,18.1118
dish_1565896662,92.0945,83.1846,6.93564,6.88676,1.51644,19.38,57,0.2565,3.6195,1.4535,110.711,8.33765,8.27889,1.82299,34,0.45,6.35,2.55
dish_1566414342,605.811,494.22,25.4663,37.9853,62.5097,846.367,552,31.5787,53.3433,83.5779,122.579,5.15282,7.68591,12.6482,153.327,5.72078,9.66364,15.1409
dish_1562617703,136.11,90.4835,5.15024,19.2061,3.67886,179.63,110,6.49,26.95,4.51,150.425,5.69191,21.226,4.06578,163.3,5.9,24.5,4.1
dish_1565020926,389.57,477.383,10.3065,50.2102,23.6756,398.496,489,10.3793,56.516,21.4723,81.6053,2.15895,10.5178,4.95945,81.4921,2.12255,11.5575,4.39107
dish_1564689168,344.278,326.344,20.7088,28.2296,16.8325,352.947,339,27.5416,17.7268,15.0812,105.496,6.34568,8.65026,5.15789,104.114,8.12435,5.22915,4.44873
dish_1560456348,158.96,126.98,6.60166,6.5604,17.7851,210.283,149,7.53319,4.56161,29.9401,125.184,5.19896,5.16647,14.0062,141.129,5.05583,3.06149,20.094
dish_1558641287,15.2287,81.6038,0.176148,3.20537,0.730175,11.52,64,0.128,2.496,0.576,18.6618,0.215858,3.92796,0.894781,18,0.2,3.9,0.9
dish_1558373008,256.595,76.2458,20.6371,3.19629,13.891,251.558,73,19.929,3.066,14.089,336.536,27.0665,4.19209,18.2187,344.6,27.3,4.2,19.3
dish_1561577947,557.62,402.855,24.0693,20.6135,58.8444,623.204,424,33.7829,12.8826,67.2026,138.417,5.97469,5.11687,14.6069,146.982,7.96768,3.03835,15.8497
dish_1558639440,66.3697,132.463,0.279953,17.8245,0.39709,60.32,116,0.232,16.24,0.348,50.1045,0.211345,13.4562,0.299775,52,0.2,14,0.3
dish_1565894889,141.675,66.1252,6.29816,15.8434,5.91968,257.813,74,11.168,33.295,6.641,214.252,9.5246,23.9597,8.95224,348.396,15.0919,44.9932,8.97432
dish_1561147944,48.9142,49.3491,4.45587,2.33819,1.08977,42.371,34,3.64301,2.25893,0.820393,99.1189,9.02929,4.73807,2.20828,124.621,10.7147,6.64393,2.41292
dish_1557937079,80.5888,15.5873,6.32564,0.112587,5.61238,146.07,27,11.34,0.378,9.99,517.014,40.5819,0.722295,36.006,541,42,1.4,37
dish_1558641320,209.573,392.669,2.69564,49.2855,4.41499,211.59,336,3.092,49.056,4.52,53.3715,0.686493,12.5514,1.12436,62.9732,0.920238,14.6,1.34524
dish_1567007848,137.618,267.277,1.05665,31.8657,1.7841,100.3,243,0.58,24.836,1.655,51.4888,0.395338,11.9223,0.667511,41.2757,0.238683,10.2206,0.68107
dish_1565810969,20.0291,79.08,0.36585,2.80882,2.36994,4.6,20,0.08,0.72,0.58,25.3276,0.462632,3.55187,2.99689,23,0.4,3.6,2.9
dish_1562168800,189.234,245.872,5.18094,33.8598,3.7381,237.525,242,9.34268,36.3149,3.826,76.9645,2.10717,13.7713,1.52035,98.1508,3.86061,15.0062,1.58099
dish_1564687046,379.25,304.697,23.4848,17.4526,33.3803,374.794,308,29.0702,20.4583,33.6856,124.468,7.70758,5.72784,10.9552,121.686,9.43836,6.64232,10.9369
dish_1563221054,353.419,230.215,22.6359,9.42749,28.8098,298.878,170,17.8911,6.50988,26.9013,153.517,9.83248,4.09507,12.5143,175.81,10.5242,3.82934,15.8243
dish_1565898361,368.225,214.14,23.7498,8.49041,35.2746,370.671,202,18.8428,7.62006,38.9505,171.955,11.0908,3.96488,16.4727,183.501,9.32811,3.77231,19.2824
dish_1560367926,385.729,176.36,17.816,36.0698,24.7198,408.523,194,20.9659,44.9849,24.1559,218.717,10.1021,20.4524,14.0167,210.579,10.8072,23.1881,12.4515
dish_1560444869,14.9311,35.9982,0.112052,3.11406,0.286161,14.04,39,0.039,3.51,0.195,41.4774,0.311272,8.65059,0.794932,36,0.1,9,0.5
dish_1559850283,260.106,47.6501,22.7173,10.081,9.85113,271.707,47,23.265,10.669,10.528,545.866,47.6752,21.1564,20.6739,578.1,49.5,22.7,22.4
dish_1566502505,383.526,280.728,17.3214,30.7405,28.0299,454.517,275,22.4597,33.1468,31.8749,136.618,6.17018,10.9503,9.98473,165.279,8.16716,12.0534,11.5909
dish_1565811091,375.116,382.26,13.9596,19.6279,44.559,504.4,371,17.632,9.06,74.731,98.1311,3.65187,5.13469,11.6567,135.957,4.75256,2.44205,20.1431
dish_1561739265,285.127,313.594,7.89698,45.7903,9.33122,292.04,308,9.989,41.127,10.689,90.9224,2.51822,14.6018,2.97557,94.8182,3.24318,13.3529,3.47045
dish_1558373159,897.453,317.518,70.4876,37.0775,41.6258,1013.34,334,79.118,30.505,60.625,282.646,22.1995,11.6773,13.1097,303.394,23.688,9.13323,18.1512
dish_1565035830,300.009,428.299,6.80458,14.257,45.0615,340.128,414,6.475,14.785,54.718,70.0468,1.58875,3.32875,10.521,82.1565,1.56401,3.57126,13.2169
dish_1562788568,331.538,240.677,14.5045,35.4564,19.6913,289.203,230,11.7352,46.9172,11.4304,137.752,6.02652,14.7319,8.18161,125.741,5.10225,20.3988,4.96974
dish_1558376483,781.203,278.07,59.5049,34.4754,35.2844,735.03,270,55.444,32.24,33.301,280.937,21.3992,12.3981,12.689,272.233,20.5348,11.9407,12.3337
dish_1561739160,32.8964,55.601,0.40123,7.16913,0.421952,34.77,61,0.183,8.54,0.427,59.1651,0.721625,12.8939,0.758893,57,0.3,14,0.7
dish_1558549773,3.27506,12.0411,0.0699372,0.474984,0.349682,2.3,10,0.04,0.36,0.29,27.199,0.580819,3.94468,2.90406,23,0.4,3.6,2.9
dish_1561574394,67.6241,91.8734,4.95691,4.69573,2.53458,61.5024,82,4.80367,3.43842,2.36795,73.6058,5.39537,5.11109,2.75878,75.0029,5.85813,4.19319,2.88775
dish_1558461760,10.4008,56.7871,0.114227,2.16032,0.516856,10.98,61,0.122,2.379,0.549,18.3155,0.201149,3.80425,0.910164,18,0.2,3.9,0.9
dish_1563909469,57.4471,55.5441,5.19831,2.01293,1.0731,72.4028,64,6.90635,2.24837,1.36492,103.426,9.35888,3.62401,1.93197,113.129,10.7912,3.51307,2.13268
dish_1558376938,47.8411,71.0548,0.165037,12.2754,0.503722,51.06,74,0.148,13.32,0.518,67.3299,0.232268,17.276,0.708921,69,0.2,18,0.7
dish_1565986733,342.726,265.698,33.8796,10.9074,37.5099,387.929,287,35.6928,9.92611,42.9748,128.991,12.7512,4.10519,14.1175,135.167,12.4365,3.45858,14.9738
dish_1558639555,167.06,330.304,1.3577,40.6549,3.03461,156.049,320,1.278,38.18,2.725,50.5778,0.411047,12.3083,0.918734,48.7653,0.399375,11.9313,0.851562
dish_1558546558,232.494,41.8739,20.3673,9.0317,8.89869,254.364,44,21.78,9.988,9.856,555.225,48.6397,21.5688,21.2512,578.1,49.5,22.7,22.4
dish_1563984242,387.104,708.745,3.94212,38.3698,44.7915,402.117,753,3.30239,36.8196,49.4078,54.6182,0.556212,5.41377,6.31983,53.402,0.438564,4.88972,6.56146
dish_1559849097,395.318,294.531,21.7199,47.8866,10.4213,495.928,325,29.044,55.626,14.261,134.22,7.37442,16.2586,3.53827,152.593,8.93662,17.1157,4.388
dish_1563566965,334.779,321.313,22.195,24.2013,13.8005,370.827,286,12.0885,56.2438,13.121,104.191,6.90759,7.53203,4.29503,129.66,4.22675,19.6657,4.58777
dish_1566849895,75.4623,124.849,4.03176,10.8998,1.09161,112.31,153,7.341,12.821,1.31,60.4428,3.2293,8.73034,0.874342,73.4052,4.79804,8.37974,0.856209
dish_1559157919,37.1717,53.0484,2.9894,2.44411,1.43258,37.0946,39,3.32846,1.52336,0.990958,70.0713,5.63523,4.60733,2.70053,95.1143,8.53452,3.90606,2.54092
dish_1558113477,249.428,44.9143,21.773,9.55325,9.58451,289.05,50,24.75,11.35,11.2,555.343,48.4769,21.27,21.3396,578.1,49.5,22.7,22.4
dish_1559238993,53.2671,98.0127,0.300189,13.1103,0.723381,61.56,108,0.324,15.12,0.756,54.3471,0.306276,13.3761,0.738047,57,0.3,14,0.7
dish_1562788506,103.356,99.0095,3.03297,19.3406,2.62669,114.588,108,2.592,23.76,3.348,104.39,3.06332,19.5341,2.65297,106.1,2.4,22,3.1
dish_1562774129,100.944,104.539,7.26386,9.16491,1.76479,73.0835,77,2.8981,11.3361,1.539,96.5609,6.94849,8.767,1.68817,94.9137,3.76376,14.7222,1.9987
dish_1559578551,93.0575,17.9711,7.24227,0.152248,6.58919,124.43,23,9.66,0.322,8.51,517.818,40.2996,0.847185,36.6655,541,42,1.4,37
dish_1562788536,230.785,193.519,9.17628,34.5103,7.63438,245.132,190,6.61,44.752,5.398,119.257,4.7418,17.833,3.94503,129.017,3.47895,23.5537,2.84105
dish_1559233756,168.78,203.731,3.89333,27.2141,5.98145,189.85,222,5.242,30.418,6.142,82.8446,1.91101,13.3578,2.93595,85.518,2.36126,13.7018,2.76667
