dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,46.5184,151.829,1.03945,8.81012,2.10441,43.1,149,0.369,9.01,2.409
dish_1558639818,24.4504,74.7499,0.157695,6.02976,0.544099,20.06,59,0.118,4.72,0.472
dish_1558549605,80.0148,63.8255,0.166314,18.7006,1.64723,97.5,75,0.225,21,2.025
dish_1561663580,357.922,223.642,15.1518,21.8198,37.3029,432.063,307,9.84414,31.345,51.4323
dish_1565898402,400.469,251.249,25.1803,11.7388,35.8838,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,214.706,137.342,6.60723,1.17423,35.1702,275.55,167,6.012,0,51.77
dish_1566838351,169.573,365.117,1.55188,40.0624,2.43416,190.01,417,0.822,48.034,2.49
dish_1567107839,245.026,155.562,15.6727,7.11131,23.1219,174.284,156,16.4693,11.9807,18.763
dish_1558639787,23.0483,95.4548,0.316854,4.802,1.60983,24.75,99,0.297,4.95,1.782
dish_1562788601,470.545,308.372,24.736,31.3069,36.6755,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,189.664,116.114,8.7036,5.4361,22.5855,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,325.809,189.133,21.2392,4.59419,29.294,345.62,170,23.86,2.34,30.79
dish_1565896662,51.7646,71.5671,4.02246,4.91441,0.93706,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,614.97,456.02,23.2344,39.9855,60.73,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,144.387,81.5328,6.50427,16.5384,5.07451,179.63,110,6.49,26.95,4.51
dish_1565020926,355.503,435.213,10.4277,46.0002,20.9793,398.496,489,10.3793,56.516,21.4723
dish_1564689168,354.161,342.357,20.3189,35.4671,14.4758,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,187.507,126.479,8.13994,5.58556,23.3747,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,14.773,80.2964,0.143583,3.30858,0.767851,11.52,64,0.128,2.496,0.576
dish_1558373008,238.508,65.7801,19.4746,3.07122,13.0231,251.558,73,19.929,3.066,14.089
dish_1561577947,539.239,373.434,26.7492,16.5636,55.6092,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,68.476,131.308,0.360902,17.9543,0.413562,60.32,116,0.232,16.24,0.348
dish_1565894889,162.881,84.0366,6.21872,21.0784,6.11079,257.813,74,11.168,33.295,6.641
dish_1561147944,55.6439,53.1434,5.30244,2.63466,0.984709,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,115.115,20.9408,9.05468,-0.249486,8.33084,146.07,27,11.34,0.378,9.99
dish_1558641320,197.739,360.019,2.51525,47.3114,3.7397,211.59,336,3.092,49.056,4.52
dish_1567007848,124.496,247.836,0.962985,30.0468,1.57522,100.3,243,0.58,24.836,1.655
dish_1565810969,10.7235,56.7206,0.25848,1.99888,1.89433,4.6,20,0.08,0.72,0.58
dish_1562168800,188.691,237.898,4.52302,34.9603,2.88919,237.525,242,9.34268,36.3149,3.826
dish_1564687046,401.725,298.211,23.6974,20.9641,31.1882,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,367.49,221,23.5043,10.3097,29.2078,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,384.9,210.265,24.2024,9.675,34.6423,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,440.248,181.325,20.0953,40.8307,25.7557,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,12.2151,38.155,0.0515347,2.75705,0.331743,14.04,39,0.039,3.51,0.195
dish_1559850283,256.723,44.3632,22.0986,10.2342,10.1432,271.707,47,23.265,10.669,10.528
dish_1566502505,401.059,271.597,19.0863,29.9907,29.4094,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,372.465,392.806,15.8995,19.4567,41.2729,504.4,371,17.632,9.06,74.731
dish_1561739265,299.215,296.076,10.0533,42.3804,11.1261,292.04,308,9.989,41.127,10.689
dish_1558373159,848.812,279.456,67.7051,37.2774,34.878,1013.34,334,79.118,30.505,60.625
dish_1565035830,327.794,418.796,10.3246,16.5722,41.0679,340.128,414,6.475,14.785,54.718
dish_1562788568,258.861,216.243,11.6381,26.9792,17.557,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,858.953,289.158,66.6748,34.3821,39.0701,735.03,270,55.444,32.24,33.301
dish_1561739160,37.5398,61.9538,0.269236,9.05001,0.445368,34.77,61,0.183,8.54,0.427
dish_1558549773,4.241,11.0493,0.0300849,0.62374,0.451863,2.3,10,0.04,0.36,0.29
dish_1561574394,67.6252,90.8278,5.29973,4.65674,2.73994,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,9.50654,52.1351,0.105022,2.08643,0.494803,10.98,61,0.122,2.379,0.549
dish_1563909469,52.5031,56.8671,4.84794,2.52736,1.03552,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,48.2962,67.495,0.182763,12.5269,0.446491,51.06,74,0.148,13.32,0.518
dish_1565986733,388.871,239.227,27.3682,11.0073,34.3945,387.929,287,35.6928,9.92611,42.9748
dish_1558639555,172.548,335.518,2.09394,40.9842,3.03174,156.049,320,1.278,38.18,2.725
dish_1558546558,235.177,41.7202,20.3193,8.98368,9.42087,254.364,44,21.78,9.988,9.856
dish_1563984242,393.846,688.011,5.72101,36.6175,43.4655,402.117,753,3.30239,36.8196,49.4078
dish_1559849097,363.83,294.184,17.5041,49.2364,9.60921,495.928,325,29.044,55.626,14.261
dish_1563566965,330.476,303.213,22.1095,27.717,11.9424,370.827,286,12.0885,56.2438,13.121
dish_1566849895,77.4596,125.236,4.23416,10.5492,0.77801,112.31,153,7.341,12.821,1.31
dish_1559157919,38.4239,37.7349,3.09858,2.79887,1.10653,37.0946,39,3.32846,1.52336,0.990958
dish_1558113477,277.817,49.5829,24.1667,10.7788,11.1542,289.05,50,24.75,11.35,11.2
dish_1559238993,49.396,95.3719,0.267411,12.6722,0.599068,61.56,108,0.324,15.12,0.756
dish_1562788506,104.841,106.478,2.94841,20.2489,2.98132,114.588,108,2.592,23.76,3.348
dish_1562774129,96.4687,103.165,6.37897,9.84424,1.59141,73.0835,77,2.8981,11.3361,1.539
dish_1559578551,118.513,18.6116,9.44267,0.445883,8.32061,124.43,23,9.66,0.322,8.51
dish_1562788536,164.687,162.458,6.17565,25.384,7.00556,245.132,190,6.61,44.752,5.398
dish_1559233756,161.474,166.57,5.87059,21.3647,5.64555,189.85,222,5.242,30.418,6.142
dish_1564428181,487.854,293.173,29.7813,13.6017,42.3585,510.051,320,32.3234,20.955,34.3055
dish_1565118729,422.046,215.741,24.457,8.90018,37.8611,435.493,248,24.2651,9.01755,41.903
dish_1566414291,335.463,281.025,15.9064,32.7188,18.1289,345.142,244,14.7944,46.0217,7.03522
dish_1561661347,62.4619,144.991,2.88515,8.48486,4.01904,50.67,132,1.632,7.215,3.426
dish_1563218408,275.211,100.544,13.9597,28.0272,11.4082,245.34,87,10.44,27.84,10.44
dish_1561661377,264.632,282.679,14.3274,14.948,27.3022,306.334,294,8.97279,11.8548,43.7352
dish_1558639876,75.2329,248.325,0.679273,17.698,2.79743,68.18,215,0.529,15.37,2.767
dish_1566849862,61.6148,54.0593,5.74274,3.7725,0.554621,77.05,67,7.169,4.221,0.536
dish_1566502573,648.715,483.538,27.2796,66.3324,42.7684,821.51,487,43.2062,60.7182,51.1893
dish_1562009810,117.958,88.3797,2.00236,23.3389,2.65355,119.88,108,0.972,24.84,2.808
dish_1564675411,280.771,317.101,10.6927,5.40541,37.623,235.531,308,7.033,2.708,35.193
dish_1560203424,448.132,142.191,26.3462,36.6804,19.1038,451.754,138,22.272,50.212,14.588
dish_1562790824,622.979,333.084,44.88,14.1888,48.6321,437.072,368,49.8295,19.2739,49.8599
dish_1558030289,35.5575,108.148,0.213604,8.70713,0.651258,38.52,107,0.107,9.63,0.535
dish_1560444985,140.718,244.538,5.89208,18.3664,5.53358,198.938,264,10.0954,24.0756,5.12749
dish_1563984140,191.955,364.979,1.05025,2.78969,36.7785,245.44,472,0.944,3.304,47.2
dish_1561662160,111.832,88.247,7.06317,7.52202,6.5037,41.8383,36,3.37508,2.75282,0.63016
dish_1558641164,73.6988,140.953,0.344586,19.5573,0.333676,80.08,154,0.308,21.56,0.462
dish_1558110335,56.2274,11.8874,4.52492,0.778921,3.36255,37.87,7,2.94,0.098,2.59
dish_1565811061,351.669,379.016,15.6132,17.8213,40.13,380.32,324,7.762,9.06,65.801
dish_1559844490,96.9233,180.491,0.53868,25.0377,1.28787,108.36,180,0.459,27.45,1.359
dish_1562786103,210.361,113.555,7.86014,29.7851,5.26144,93.081,57,3.363,13.965,2.337
dish_1563897087,145.486,198.007,7.75842,13.4738,8.66719,102.44,231,0.67,8.169,15.196
dish_1566590007,787.44,453.148,33.7526,52.2464,68.1487,740.762,457,29.2331,57.951,61.7982
dish_1560975517,47.4959,117.101,1.98674,6.40568,3.44265,42.39,99,1.858,4.608,3.064
dish_1557936645,11.7507,32.219,0.0580542,2.81526,0.251485,11.88,36,0.108,2.88,0.252
dish_1565020796,135.428,113.809,7.17904,0.762192,15.2375,90.6,99,3.542,0.749,12.06
dish_1559578579,142.598,74.9197,9.56338,4.41934,9.11693,142.58,78,9.825,4.722,8.895
dish_1557862783,490.522,304.927,24.7591,8.91765,52.4294,442.98,258,24.919,3.85,50.416
dish_1560975601,296.686,286.873,17.1174,14.6841,26.9012,233.936,253,8.42107,17.9459,22.7947
dish_1560367952,229.695,169.284,14.9399,18.2651,10.8543,414.733,221,21.0739,45.9569,24.9389
dish_1563565454,255.298,255.669,11.9396,23.2038,18.6434,350.789,322,22.6869,26.5777,22.2346
dish_1562703408,335.021,197.536,15.0228,29.8993,19.791,311.209,196,12.0492,32.8336,17.4077
dish_1564689138,252.153,202.748,14.4174,25.6881,8.11779,268.267,223,21.9736,15.5228,5.80121
dish_1563221086,412.125,301.766,24.4862,16.9084,32.343,328.278,254,18.2271,12.3899,28.9173
dish_1567007814,79.5648,154.489,0.505721,19.554,1.05672,73,152,0.398,17.92,1.109
dish_1565896701,305.691,178.572,20.6416,6.69431,23.4281,294.473,184,18.1844,8.32206,25.7472
