dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,50.4079,167.062,0.833193,10.0667,2.27435,43.1,149,0.369,9.01,2.409,30.1731,0.498731,6.0257,1.36138,28.9262,0.247651,6.04698,1.61678
dish_1558639818,26.4409,79.9857,0.162056,6.24189,0.643833,20.06,59,0.118,4.72,0.472,33.057,0.202606,7.80376,0.804935,34,0.2,8,0.8
dish_1558549605,79.9458,62.4996,0.161215,17.2712,1.76516,97.5,75,0.225,21,2.025,127.914,0.257946,27.634,2.82428,130,0.3,28,2.7
dish_1561663580,327.329,231.558,11.6534,23.2776,37.2681,432.063,307,9.84414,31.345,51.4323,141.359,5.03261,10.0526,16.0945,140.737,3.20656,10.2101,16.7532
dish_1565898402,391.781,249.568,25.0063,11.9683,34.2256,384.799,229,19.5441,9.46281,39.4244,156.984,10.0199,4.79563,13.7139,168.035,8.53454,4.13223,17.2159
dish_1566328724,241.345,147.852,7.56318,0.190982,41.7025,275.55,167,6.012,0,51.77,163.235,5.11538,0.129171,28.2056,165,3.6,0,31
dish_1566838351,172.513,382.807,1.09734,42.2568,2.41959,190.01,417,0.822,48.034,2.49,45.0653,0.286656,11.0387,0.632066,45.5659,0.197122,11.5189,0.597122
dish_1567107839,159.67,127.457,14.3781,4.66109,16.8563,174.284,156,16.4693,11.9807,18.763,125.273,11.2807,3.65698,13.2251,111.721,10.5573,7.67994,12.0276
dish_1558639787,24.988,100.859,0.312696,5.01462,1.86275,24.75,99,0.297,4.95,1.782,24.7752,0.310033,4.97191,1.84688,25,0.3,5,1.8
dish_1562788601,451.361,304.324,21.2449,35.7336,35.8195,413.17,287,19.1392,48.7664,23.1469,148.316,6.98101,11.7419,11.7702,143.962,6.66869,16.9918,8.06511
dish_1560456326,216.972,141.64,10.153,6.63467,24.2599,206.873,138,7.52219,3.79161,29.7421,153.186,7.16817,4.68419,17.1279,149.908,5.45086,2.74755,21.5522
dish_1564427430,334.94,192.538,22.5779,4.41112,29.4678,345.62,170,23.86,2.34,30.79,173.96,11.7264,2.29103,15.3049,203.306,14.0353,1.37647,18.1118
dish_1565896662,69.4145,68.3509,5.31392,5.51256,1.3271,19.38,57,0.2565,3.6195,1.4535,101.556,7.77447,8.06509,1.9416,34,0.45,6.35,2.55
dish_1566414342,674.978,522.232,25.3689,40.2508,72.6623,846.367,552,31.5787,53.3433,83.5779,129.249,4.85778,7.70746,13.9138,153.327,5.72078,9.66364,15.1409
dish_1562617703,116.289,77.9522,3.80692,16.9793,3.67386,179.63,110,6.49,26.95,4.51,149.18,4.88366,21.7817,4.71297,163.3,5.9,24.5,4.1
dish_1565020926,353.946,441.438,9.74866,46.0097,21.0398,398.496,489,10.3793,56.516,21.4723,80.1801,2.20839,10.4227,4.7662,81.4921,2.12255,11.5575,4.39107
dish_1564689168,391.512,353.424,23.232,35.0424,20.2623,352.947,339,27.5416,17.7268,15.0812,110.777,6.57341,9.91512,5.73313,104.114,8.12435,5.22915,4.44873
dish_1560456348,215.637,156.224,9.62592,7.64342,24.2308,210.283,149,7.53319,4.56161,29.9401,138.031,6.16162,4.89261,15.5103,141.129,5.05583,3.06149,20.094
dish_1558641287,16.3685,90.2924,0.189007,3.49677,0.802607,11.52,64,0.128,2.496,0.576,18.1283,0.209328,3.87271,0.888898,18,0.2,3.9,0.9
dish_1558373008,275.567,81.9994,21.9626,3.65016,15.0946,251.558,73,19.929,3.066,14.089,336.06,26.7839,4.45145,18.4081,344.6,27.3,4.2,19.3
dish_1561577947,539.378,393.656,23.9562,20.9099,55.5368,623.204,424,33.7829,12.8826,67.2026,137.018,6.08557,5.31173,14.108,146.982,7.96768,3.03835,15.8497
dish_1558639440,77.615,152.306,0.30061,20.7374,0.503262,60.32,116,0.232,16.24,0.348,50.9598,0.197372,13.6156,0.330428,52,0.2,14,0.3
dish_1565894889,189.773,78.4495,7.50749,23.6388,7.20761,257.813,74,11.168,33.295,6.641,241.905,9.56984,30.1325,9.18758,348.396,15.0919,44.9932,8.97432
dish_1561147944,49.3144,43.1384,4.79862,1.78593,0.775221,42.371,34,3.64301,2.25893,0.820393,114.317,11.1238,4.14,1.79706,124.621,10.7147,6.64393,2.41292
dish_1557937079,105.725,20.0515,8.22008,0.238164,7.34343,146.07,27,11.34,0.378,9.99,527.267,40.9948,1.18776,36.6228,541,42,1.4,37
dish_1558641320,200.044,390.579,1.97395,48.1158,4.05751,211.59,336,3.092,49.056,4.52,51.2172,0.505392,12.3191,1.03884,62.9732,0.920238,14.6,1.34524
dish_1567007848,123.237,251.885,1.2787,28.9495,1.73898,100.3,243,0.58,24.836,1.655,48.9257,0.507653,11.4931,0.690386,41.2757,0.238683,10.2206,0.68107
dish_1565810969,20.2757,84.8182,0.350609,3.11531,2.46101,4.6,20,0.08,0.72,0.58,23.9048,0.413365,3.67292,2.90151,23,0.4,3.6,2.9
dish_1562168800,181.537,233.371,5.48789,30.6238,3.02706,237.525,242,9.34268,36.3149,3.826,77.7894,2.35158,13.1224,1.2971,98.1508,3.86061,15.0062,1.58099
dish_1564687046,369.882,287.434,22.0938,19.0832,31.3938,374.794,308,29.0702,20.4583,33.6856,128.684,7.68657,6.63915,10.9221,121.686,9.43836,6.64232,10.9369
dish_1563221054,363.683,236.296,22.2628,10.7602,30.2108,298.878,170,17.8911,6.50988,26.9013,153.91,9.42158,4.55372,12.7852,175.81,10.5242,3.82934,15.8243
dish_1565898361,377.657,209.161,24.1741,9.27861,34.5816,370.671,202,18.8428,7.62006,38.9505,180.558,11.5576,4.4361,16.5335,183.501,9.32811,3.77231,19.2824
dish_1560367926,387.348,178.802,18.0865,36.5662,25.2144,408.523,194,20.9659,44.9849,24.1559,216.635,10.1154,20.4506,14.1018,210.579,10.8072,23.1881,12.4515
dish_1560444869,7.48249,25.8031,0.0463277,1.82422,0.165115,14.04,39,0.039,3.51,0.195,28.9984,0.179543,7.06978,0.639903,36,0.1,9,0.5
dish_1559850283,256.271,46.0974,22.0806,10.1812,9.80143,271.707,47,23.265,10.669,10.528,555.934,47.9,22.0864,21.2625,578.1,49.5,22.7,22.4
dish_1566502505,383.687,276.373,17.6658,30.0248,27.683,454.517,275,22.4597,33.1468,31.8749,138.829,6.392,10.8639,10.0165,165.279,8.16716,12.0534,11.5909
dish_1565811091,358.701,432.956,10.382,15.8268,53.2472,504.4,371,17.632,9.06,74.731,82.8493,2.39792,3.65553,12.2985,135.957,4.75256,2.44205,20.1431
dish_1561739265,301.266,312.589,9.1716,43.2015,10.7937,292.04,308,9.989,41.127,10.689,96.3774,2.93407,13.8205,3.45298,94.8182,3.24318,13.3529,3.47045
dish_1558373159,930.479,315.157,72.6109,42.0055,40.1574,1013.34,334,79.118,30.505,60.625,295.243,23.0396,13.3284,12.742,303.394,23.688,9.13323,18.1512
dish_1565035830,302.078,429.053,8.71921,14.7073,41.4315,340.128,414,6.475,14.785,54.718,70.4058,2.0322,3.42785,9.6565,82.1565,1.56401,3.57126,13.2169
dish_1562788568,277.365,227.58,11.0474,33.4532,17.5265,289.203,230,11.7352,46.9172,11.4304,121.876,4.85431,14.6996,7.70124,125.741,5.10225,20.3988,4.96974
dish_1558376483,847.717,297.734,64.4153,35.933,38.6508,735.03,270,55.444,32.24,33.301,284.723,21.6352,12.0689,12.9817,272.233,20.5348,11.9407,12.3337
dish_1561739160,38.3492,63.4524,0.415972,8.70584,0.49597,34.77,61,0.183,8.54,0.427,60.4378,0.655566,13.7203,0.78164,57,0.3,14,0.7
dish_1558549773,2.83599,11.4275,0.0516319,0.471258,0.311145,2.3,10,0.04,0.36,0.29,24.8172,0.45182,4.12389,2.72276,23,0.4,3.6,2.9
dish_1561574394,68.0964,100.141,4.76078,5.1164,2.76417,61.5024,82,4.80367,3.43842,2.36795,68.0004,4.75407,5.10919,2.76027,75.0029,5.85813,4.19319,2.88775
dish_1558461760,11.2468,62.8668,0.130681,2.40436,0.572849,10.98,61,0.122,2.379,0.549,17.8898,0.20787,3.82454,0.911211,18,0.2,3.9,0.9
dish_1563909469,54.6589,51.02,4.98717,2.17693,1.11478,72.4028,64,6.90635,2.24837,1.36492,107.132,9.77493,4.26682,2.18498,113.129,10.7912,3.51307,2.13268
dish_1558376938,48.3058,72.1322,0.155567,12.5926,0.496875,51.06,74,0.148,13.32,0.518,66.9685,0.215669,17.4576,0.688839,69,0.2,18,0.7
dish_1565986733,380.928,273.073,34.2325,11.3125,38.7575,387.929,287,35.6928,9.92611,42.9748,139.497,12.536,4.14268,14.1931,135.167,12.4365,3.45858,14.9738
dish_1558639555,182.446,371.917,1.49627,44.5921,3.15755,156.049,320,1.278,38.18,2.725,49.0557,0.402313,11.9898,0.848992,48.7653,0.399375,11.9313,0.851562
dish_1558546558,265.29,47.527,22.8663,10.5551,10.2477,254.364,44,21.78,9.988,9.856,558.188,48.1122,22.2087,21.5619,578.1,49.5,22.7,22.4
dish_1563984242,376.089,713.868,3.68733,37.543,43.0855,402.117,753,3.30239,36.8196,49.4078,52.6832,0.516529,5.2591,6.0355,53.402,0.438564,4.88972,6.56146
dish_1559849097,428.546,323.413,23.5807,53.1865,11.1017,495.928,325,29.044,55.626,14.261,132.507,7.29118,16.4454,3.43266,152.593,8.93662,17.1157,4.388
dish_1563566965,356.157,363.222,21.9655,28.4234,17.8871,370.827,286,12.0885,56.2438,13.121,98.055,6.04742,7.82537,4.92457,129.66,4.22675,19.6657,4.58777
dish_1566849895,86.8188,145.702,4.53657,12.0637,1.349,112.31,153,7.341,12.821,1.31,59.5867,3.1136,8.2797,0.925862,73.4052,4.79804,8.37974,0.856209
dish_1559157919,32.0038,46.384,2.27526,2.15605,1.42417,37.0946,39,3.32846,1.52336,0.990958,68.9976,4.90526,4.64826,3.0704,95.1143,8.53452,3.90606,2.54092
dish_1558113477,283.632,50.6756,24.4216,11.2438,10.9911,289.05,50,24.75,11.35,11.2,559.701,48.192,22.1878,21.6891,578.1,49.5,22.7,22.4
dish_1559238993,56.4705,109.897,0.319322,13.9484,0.761838,61.56,108,0.324,15.12,0.756,51.385,0.290565,12.6923,0.69323,57,0.3,14,0.7
dish_1562788506,107.372,101.65,2.79582,21.1997,3.08378,114.588,108,2.592,23.76,3.348,105.63,2.75044,20.8556,3.03373,106.1,2.4,22,3.1
dish_1562774129,106.374,110.275,7.87924,8.86855,1.66298,73.0835,77,2.8981,11.3361,1.539,96.4627,7.14508,8.04222,1.50803,94.9137,3.76376,14.7222,1.9987
dish_1559578551,118.74,23.0069,9.17349,0.336041,8.35428,124.43,23,9.66,0.322,8.51,516.108,39.8729,1.46061,36.3121,541,42,1.4,37
dish_1562788536,192.278,172.538,5.83482,32.4118,7.11285,245.132,190,6.61,44.752,5.398,111.441,3.38176,18.7853,4.12249,129.017,3.47895,23.5537,2.84105
dish_1559233756,166.362,186.084,5.25093,24.015,5.87791,189.85,222,5.242,30.418,6.142,89.4017,2.8218,12.9055,3.15874,85.518,2.36126,13.7018,2.76667
dish_1564428181,517.537,314.7,32.7402,13.7188,43.0592,510.051,320,32.3234,20.955,34.3055,164.454,10.4036,4.35931,13.6826,159.391,10.1011,6.54845,10.7205
dish_1565118729,440.037,230.764,26.7437,8.66174,39.7947,435.493,248,24.2651,9.01755,41.903,190.687,11.5892,3.7535,17.2447,175.602,9.78432,3.63611,16.8964
dish_1568305225,464.317,223.923,36.228,9.55308,26.4355,428.668,144,35.1369,4.89725,24.473,207.356,16.1788,4.26623,11.8056,297.686,24.4006,3.40087,16.9951
dish_1566414291,351.171,307.967,18.1772,30.9341,20.8808,345.142,244,14.7944,46.0217,7.03522,114.029,5.90231,10.0446,6.7802,141.452,6.06328,18.8614,2.88329
dish_1561661347,60.3692,139.709,2.60654,7.20933,3.9614,50.67,132,1.632,7.215,3.426,43.2107,1.8657,5.16025,2.83547,38.3864,1.23636,5.46591,2.59545
dish_1566501575,562.32,449.771,19.1101,22.3027,70.3315,251.694,54,15.552,26.892,3.348,125.024,4.24885,4.95869,15.6372,466.1,28.8,49.8,6.2
