dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,39.3526,150.376,0.626751,8.19701,2.14295,43.1,149,0.369,9.01,2.409
dish_1558639818,21.533,64.2305,0.133456,5.15364,0.528881,20.06,59,0.118,4.72,0.472
dish_1558549605,77.8,60.0991,0.255697,17.4475,1.55052,97.5,75,0.225,21,2.025
dish_1561663580,315.921,211.474,14.5234,16.2351,36.3935,432.063,307,9.84414,31.345,51.4323
dish_1565898402,344.497,235.102,23.5958,10.5062,32.5353,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,235.805,139.196,8.94511,-0.501243,35.9761,275.55,167,6.012,0,51.77
dish_1566838351,167.249,343.915,1.1066,39.7195,2.67882,190.01,417,0.822,48.034,2.49
dish_1567107839,204.506,145.71,14.8604,4.42892,21.8383,174.284,156,16.4693,11.9807,18.763
dish_1558639787,21.266,90.52,0.319832,4.42587,1.62304,24.75,99,0.297,4.95,1.782
dish_1562788601,438.792,290.933,21.7842,33.7271,32.1624,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,191.415,118.082,7.74719,4.95197,24.5642,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,337.153,174.645,23.6335,3.64332,27.7667,345.62,170,23.86,2.34,30.79
dish_1565896662,65.704,67.8409,5.44806,4.84345,0.904241,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,634.743,460.206,23.2568,42.4618,62.5126,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,104.323,93.7548,4.44772,7.81797,7.22876,179.63,110,6.49,26.95,4.51
dish_1565020926,376.806,427.558,11.1269,47.29,23.0461,398.496,489,10.3793,56.516,21.4723
dish_1564689168,341.678,331.365,20.7158,28.691,14.6532,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,190.639,131.781,7.40392,5.97699,24.6845,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,13.7423,79.8688,0.199662,3.21019,0.67437,11.52,64,0.128,2.496,0.576
dish_1558373008,235.467,63.1425,18.9814,3.50294,12.1765,251.558,73,19.929,3.066,14.089
dish_1561577947,559.683,403.647,24.1078,16.9578,62.7379,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,64.555,119.866,0.241386,17.4831,0.342976,60.32,116,0.232,16.24,0.348
dish_1565894889,177.156,68.6387,5.52624,24.5797,6.57437,257.813,74,11.168,33.295,6.641
dish_1561147944,49.494,50.028,4.52993,2.45626,0.723001,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,121.304,20.815,9.35591,0.0548549,8.37403,146.07,27,11.34,0.378,9.99
dish_1558641320,189.246,352.72,2.30763,46.4625,3.90815,211.59,336,3.092,49.056,4.52
dish_1567007848,126.274,249.238,0.968956,29.6567,1.994,100.3,243,0.58,24.836,1.655
dish_1565810969,9.5349,50.2394,0.226929,1.78205,1.38537,4.6,20,0.08,0.72,0.58
dish_1562168800,203.954,253.335,5.96382,35.873,4.07335,237.525,242,9.34268,36.3149,3.826
