dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,51.67,179.803,0.998472,9.84896,2.55417,43.1,149,0.369,9.01,2.409,28.737,0.555313,5.47763,1.42053,28.9262,0.247651,6.04698,1.61678
dish_1558639818,25.7335,75.1018,0.162685,6.00647,0.601212,20.06,59,0.118,4.72,0.472,34.2648,0.21662,7.99777,0.80053,34,0.2,8,0.8
dish_1558549605,87.1058,68.0949,0.191233,18.7717,1.79911,97.5,75,0.225,21,2.025,127.918,0.280833,27.567,2.64206,130,0.3,28,2.7
dish_1561663580,327.593,234.093,12.5805,23.2392,35.3396,432.063,307,9.84414,31.345,51.4323,139.941,5.37415,9.92732,15.0964,140.737,3.20656,10.2101,16.7532
dish_1565898402,379.718,248.382,24.0146,11.7629,33.8838,384.799,229,19.5441,9.46281,39.4244,152.877,9.66843,4.73582,13.6418,168.035,8.53454,4.13223,17.2159
dish_1566328724,229.791,137.624,6.57378,0.101851,40.1804,275.55,167,6.012,0,51.77,166.97,4.77661,0.0740066,29.1957,165,3.6,0,31
dish_1566838351,163.117,361.005,1.29104,39.8971,2.4347,190.01,417,0.822,48.034,2.49,45.1841,0.357623,11.0517,0.674423,45.5659,0.197122,11.5189,0.597122
dish_1567107839,160.416,130.594,15.2583,4.6744,17.9396,174.284,156,16.4693,11.9807,18.763,122.836,11.6838,3.57935,13.737,111.721,10.5573,7.67994,12.0276
dish_1558639787,24.9314,100.01,0.333951,4.99102,1.76872,24.75,99,0.297,4.95,1.782,24.9289,0.333917,4.99051,1.76854,25,0.3,5,1.8
dish_1562788601,465.583,317.89,22.4804,37.1755,34.5415,413.17,287,19.1392,48.7664,23.1469,146.461,7.07177,11.6945,10.8659,143.962,6.66869,16.9918,8.06511
dish_1560456326,195.462,133.559,8.76446,8.1239,21.037,206.873,138,7.52219,3.79161,29.7421,146.349,6.56225,6.08264,15.7511,149.908,5.45086,2.74755,21.5522
dish_1564427430,373.031,199.291,26.5403,4.60564,30.6216,345.62,170,23.86,2.34,30.79,187.179,13.3173,2.31101,15.3652,203.306,14.0353,1.37647,18.1118
dish_1565896662,77.8353,78.8136,5.68109,6.74394,1.63628,19.38,57,0.2565,3.6195,1.4535,98.7587,7.20826,8.55682,2.07614,34,0.45,6.35,2.55
dish_1566414342,622.582,488.172,26.5111,38.2953,67.1234,846.367,552,31.5787,53.3433,83.5779,127.533,5.43069,7.84463,13.7499,153.327,5.72078,9.66364,15.1409
dish_1562617703,106.53,69.3786,3.14597,14.3748,4.33187,179.63,110,6.49,26.95,4.51,153.548,4.53449,20.7193,6.24381,163.3,5.9,24.5,4.1
dish_1565020926,392.267,471.471,12.2599,48.906,25.1948,398.496,489,10.3793,56.516,21.4723,83.2008,2.60036,10.3731,5.34387,81.4921,2.12255,11.5575,4.39107
dish_1564689168,358.509,325.452,23.2644,26.9758,15.9311,352.947,339,27.5416,17.7268,15.0812,110.157,7.14836,8.28872,4.89508,104.114,8.12435,5.22915,4.44873
dish_1560456348,192.546,147.315,8.21569,8.64605,20.9259,210.283,149,7.53319,4.56161,29.9401,130.703,5.57695,5.86908,14.2048,141.129,5.05583,3.06149,20.094
dish_1558641287,15.6453,87.6596,0.186612,3.34585,0.753182,11.52,64,0.128,2.496,0.576,17.8478,0.212882,3.81687,0.859212,18,0.2,3.9,0.9
dish_1558373008,240.763,72.2377,19.0645,2.95396,13.2426,251.558,73,19.929,3.066,14.089,333.293,26.3914,4.08922,18.332,344.6,27.3,4.2,19.3
dish_1561577947,547.061,398.333,24.4154,23.242,54.6734,623.204,424,33.7829,12.8826,67.2026,137.338,6.12939,5.83481,13.7256,146.982,7.96768,3.03835,15.8497
dish_1558639440,72.199,141.531,0.31262,19.4692,0.419725,60.32,116,0.232,16.24,0.348,51.013,0.220885,13.7561,0.296561,52,0.2,14,0.3
dish_1565894889,183.177,77.2803,6.45985,24.489,6.74989,257.813,74,11.168,33.295,6.641,237.029,8.35899,31.6885,8.73429,348.396,15.0919,44.9932,8.97432
dish_1561147944,53.9132,46.6111,5.10784,2.23763,0.653624,42.371,34,3.64301,2.25893,0.820393,115.666,10.9584,4.80064,1.40229,124.621,10.7147,6.64393,2.41292
dish_1557937079,94.6131,18.2036,7.31236,0.224929,6.58671,146.07,27,11.34,0.378,9.99,519.75,40.17,1.23563,36.1836,541,42,1.4,37
dish_1558641320,205.265,383.466,2.11292,49.2943,4.07092,211.59,336,3.092,49.056,4.52,53.529,0.551007,12.855,1.06161,62.9732,0.920238,14.6,1.34524
dish_1567007848,133.668,273.101,1.11446,31.8189,1.94878,100.3,243,0.58,24.836,1.655,48.9446,0.408078,11.651,0.713577,41.2757,0.238683,10.2206,0.68107
dish_1565810969,15.808,66.3954,0.277958,2.44079,1.89544,4.6,20,0.08,0.72,0.58,23.8089,0.418641,3.67614,2.85477,23,0.4,3.6,2.9
dish_1562168800,175.178,233.227,4.72493,32.0518,3.18153,237.525,242,9.34268,36.3149,3.826,75.1106,2.02589,13.7427,1.36413,98.1508,3.86061,15.0062,1.58099
dish_1564687046,390.079,301.5,24.12,16.0031,33.496,374.794,308,29.0702,20.4583,33.6856,129.379,8,5.30782,11.1098,121.686,9.43836,6.64232,10.9369
dish_1563221054,354.672,223.666,23.3789,8.99232,27.511,298.878,170,17.8911,6.50988,26.9013,158.572,10.4526,4.02042,12.3,175.81,10.5242,3.82934,15.8243
dish_1565898361,384.436,208.175,24.4511,8.96157,35.6264,370.671,202,18.8428,7.62006,38.9505,184.67,11.7454,4.30483,17.1137,183.501,9.32811,3.77231,19.2824
dish_1560367926,359.125,166.645,15.2548,32.9957,24.0006,408.523,194,20.9659,44.9849,24.1559,215.503,9.15403,19.8,14.4022,210.579,10.8072,23.1881,12.4515
dish_1560444869,8.23898,26.2521,0.0558393,1.89602,0.165066,14.04,39,0.039,3.51,0.195,31.384,0.212704,7.22233,0.62877,36,0.1,9,0.5
dish_1559850283,215.057,39.687,18.45,8.62294,8.28309,271.707,47,23.265,10.669,10.528,541.882,46.4886,21.7273,20.871,578.1,49.5,22.7,22.4
dish_1566502505,396.378,283.15,18.2571,32.987,27.7171,454.517,275,22.4597,33.1468,31.8749,139.989,6.44787,11.65,9.78884,165.279,8.16716,12.0534,11.5909
dish_1565811091,407.385,393.431,12.5786,18.4659,51.6982,504.4,371,17.632,9.06,74.731,103.547,3.19715,4.69355,13.1404,135.957,4.75256,2.44205,20.1431
dish_1561739265,294.161,327.119,7.64555,46.3886,10.0271,292.04,308,9.989,41.127,10.689,89.9246,2.33723,14.1809,3.06528,94.8182,3.24318,13.3529,3.47045
dish_1558373159,942.223,325.02,73.1501,34.3889,50.8914,1013.34,334,79.118,30.505,60.625,289.897,22.5063,10.5806,15.6579,303.394,23.688,9.13323,18.1512
dish_1565035830,295.156,430.66,7.70482,13.3945,42.0818,340.128,414,6.475,14.785,54.718,68.5357,1.78907,3.11023,9.77146,82.1565,1.56401,3.57126,13.2169
dish_1562788568,282.173,238.506,11.9867,33.9002,17.9358,289.203,230,11.7352,46.9172,11.4304,118.309,5.02574,14.2136,7.52008,125.741,5.10225,20.3988,4.96974
dish_1558376483,740.094,277.862,56.3403,33.1068,33.6671,735.03,270,55.444,32.24,33.301,266.353,20.2763,11.9148,12.1165,272.233,20.5348,11.9407,12.3337
dish_1561739160,32.8857,55.4694,0.268855,7.75352,0.40647,34.77,61,0.183,8.54,0.427,59.2862,0.48469,13.978,0.732782,57,0.3,14,0.7
dish_1558549773,2.34075,9.45602,0.0449884,0.387005,0.251464,2.3,10,0.04,0.36,0.29,24.754,0.475765,4.09268,2.6593,23,0.4,3.6,2.9
dish_1561574394,65.1153,90.4551,4.87996,4.31763,2.70376,61.5024,82,4.80367,3.43842,2.36795,71.9864,5.3949,4.77323,2.98906,75.0029,5.85813,4.19319,2.88775
dish_1558461760,11.0909,60.8511,0.136756,2.34976,0.545319,10.98,61,0.122,2.379,0.549,18.2263,0.224738,3.8615,0.896153,18,0.2,3.9,0.9
dish_1563909469,41.6782,43.2476,3.67048,2.00206,0.869091,72.4028,64,6.90635,2.24837,1.36492,96.3711,8.48711,4.6293,2.00957,113.129,10.7912,3.51307,2.13268
dish_1558376938,50.5465,73.9809,0.146052,13.1939,0.503404,51.06,74,0.148,13.32,0.518,68.3237,0.197418,17.8342,0.68045,69,0.2,18,0.7
dish_1565986733,360.749,265.835,32.4943,10.1436,36.1709,387.929,287,35.6928,9.92611,42.9748,135.704,12.2235,3.81574,13.6065,135.167,12.4365,3.45858,14.9738
dish_1558639555,169.008,335.563,1.79499,41.0915,2.94902,156.049,320,1.278,38.18,2.725,50.3655,0.534918,12.2455,0.878828,48.7653,0.399375,11.9313,0.851562
dish_1558546558,225.596,41.166,19.3261,9.02384,8.75646,254.364,44,21.78,9.988,9.856,548.016,46.9468,21.9206,21.2711,578.1,49.5,22.7,22.4
dish_1563984242,375.838,681.393,4.31383,37.4387,41.6197,402.117,753,3.30239,36.8196,49.4078,55.1572,0.63309,5.49443,6.10803,53.402,0.438564,4.88972,6.56146
dish_1559849097,393.395,306.194,21.2763,49.86,10.2532,495.928,325,29.044,55.626,14.261,128.479,6.94863,16.2838,3.34861,152.593,8.93662,17.1157,4.388
dish_1563566965,363.755,318.449,21.4522,32.2239,15.7257,370.827,286,12.0885,56.2438,13.121,114.227,6.73647,10.119,4.93822,129.66,4.22675,19.6657,4.58777
dish_1566849895,77.2961,131.777,3.86707,11.6127,1.15771,112.31,153,7.341,12.821,1.31,58.657,2.93456,8.81245,0.878541,73.4052,4.79804,8.37974,0.856209
dish_1559157919,31.2154,47.7154,2.52801,2.17903,1.21016,37.0946,39,3.32846,1.52336,0.990958,65.42,5.2981,4.56673,2.53621,95.1143,8.53452,3.90606,2.54092
dish_1558113477,231.157,42.2301,19.8518,9.2487,8.94678,289.05,50,24.75,11.35,11.2,547.375,47.0088,21.9007,21.1858,578.1,49.5,22.7,22.4
dish_1559238993,51.8982,95.2314,0.277051,12.7919,0.669556,61.56,108,0.324,15.12,0.756,54.497,0.290924,13.4325,0.703083,57,0.3,14,0.7
dish_1562788506,105.419,105.276,2.7226,21.354,3.13229,114.588,108,2.592,23.76,3.348,100.136,2.58616,20.2839,2.97532,106.1,2.4,22,3.1
dish_1562774129,95.2652,105.384,6.55518,9.11491,1.50607,73.0835,77,2.8981,11.3361,1.539,90.3984,6.22029,8.64925,1.42913,94.9137,3.76376,14.7222,1.9987
