dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,39.1294,155.586,0.470137,8.31329,2.02966,43.1,149,0.369,9.01,2.409
dish_1558639818,22.2142,66.7259,0.166709,5.19242,0.483864,20.06,59,0.118,4.72,0.472
dish_1558549605,86.1299,67.1787,0.279543,19.1446,1.8521,97.5,75,0.225,21,2.025
dish_1561663580,340.601,235.071,13.3464,20.5628,37.3698,432.063,307,9.84414,31.345,51.4323
dish_1565898402,349.047,259.912,23.534,12.746,32.4727,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,236.627,138.116,8.82432,0.389217,35.8029,275.55,167,6.012,0,51.77
dish_1566838351,162.029,349.126,1.17201,39.06,2.41416,190.01,417,0.822,48.034,2.49
dish_1567107839,187.509,143.984,15.4976,6.47362,21.1861,174.284,156,16.4693,11.9807,18.763
dish_1558639787,22.9901,95.9681,0.379018,4.73893,1.70697,24.75,99,0.297,4.95,1.782
dish_1562788601,436.253,309.526,22.8428,33.9059,32.6019,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,200.403,123.017,8.30916,4.84991,24.4458,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,334.037,184.846,22.5888,3.40407,28.936,345.62,170,23.86,2.34,30.79
dish_1565896662,56.6014,73.5443,4.63212,4.43935,0.726058,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,612.443,478.074,24.935,38.3882,62.994,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,138.871,85.7858,6.60105,9.53241,8.98515,179.63,110,6.49,26.95,4.51
dish_1565020926,366.658,430.007,10.1006,48.7645,21.9435,398.496,489,10.3793,56.516,21.4723
dish_1564689168,332.567,327.164,19.9861,31.0519,16.0226,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,197.982,137.609,8.52484,5.56003,23.8963,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,13.9706,80.496,0.232685,3.19894,0.730762,11.52,64,0.128,2.496,0.576
dish_1558373008,223.385,64.5771,17.6925,2.91115,11.9267,251.558,73,19.929,3.066,14.089
dish_1561577947,555.333,409.146,24.1206,22.0275,58.6552,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,65.5113,124.096,0.35145,17.2492,0.484389,60.32,116,0.232,16.24,0.348
dish_1565894889,174.2,72.7881,5.56775,24.9799,6.42225,257.813,74,11.168,33.295,6.641
