dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,46.6397,164.131,0.792694,9.13698,2.21243,43.1,149,0.369,9.01,2.409,28.4161,0.482963,5.56687,1.34796,28.9262,0.247651,6.04698,1.61678
dish_1558639818,27.369,78.1895,0.172948,6.34835,0.594849,20.06,59,0.118,4.72,0.472,35.0033,0.221191,8.11918,0.760778,34,0.2,8,0.8
dish_1558549605,86.33,67.7381,0.167787,18.6709,1.81023,97.5,75,0.225,21,2.025,127.447,0.247699,27.5634,2.6724,130,0.3,28,2.7
dish_1561663580,331.506,230.065,12.7894,23.1189,35.0042,432.063,307,9.84414,31.345,51.4323,144.093,5.55905,10.0489,15.215,140.737,3.20656,10.2101,16.7532
dish_1565898402,375.3,262.184,21.8605,12.9913,34.1928,384.799,229,19.5441,9.46281,39.4244,143.144,8.33785,4.95503,13.0416,168.035,8.53454,4.13223,17.2159
dish_1566328724,239.452,139.493,8.50574,0.0669211,40.357,275.55,167,6.012,0,51.77,171.659,6.09763,0.0479747,28.9312,165,3.6,0,31
dish_1566838351,153.801,346.313,0.987594,38.3035,1.97319,190.01,417,0.822,48.034,2.49,44.4111,0.285174,11.0604,0.569772,45.5659,0.197122,11.5189,0.597122
dish_1567107839,176.002,134.22,14.7335,5.56946,18.9231,174.284,156,16.4693,11.9807,18.763,131.129,10.9772,4.1495,14.0986,111.721,10.5573,7.67994,12.0276
dish_1558639787,24.6764,97.3267,0.302777,4.93589,1.74332,24.75,99,0.297,4.95,1.782,25.3542,0.311094,5.07146,1.79121,25,0.3,5,1.8
dish_1562788601,459.885,315.136,21.2936,35.0838,36.7716,413.17,287,19.1392,48.7664,23.1469,145.932,6.75696,11.1329,11.6685,143.962,6.66869,16.9918,8.06511
dish_1560456326,184.794,129.563,7.86714,5.60833,21.9223,206.873,138,7.52219,3.79161,29.7421,142.628,6.07206,4.32865,16.9202,149.908,5.45086,2.74755,21.5522
dish_1564427430,395.896,208.928,28.4238,3.99939,32.3036,345.62,170,23.86,2.34,30.79,189.489,13.6046,1.91424,15.4616,203.306,14.0353,1.37647,18.1118
dish_1565896662,75.8718,83.2749,5.37767,7.39868,1.57671,19.38,57,0.2565,3.6195,1.4535,91.1101,6.45773,8.88465,1.89338,34,0.45,6.35,2.55
dish_1566414342,656.684,524.914,28.3644,35.6019,79.363,846.367,552,31.5787,53.3433,83.5779,125.103,5.40363,6.78242,15.1192,153.327,5.72078,9.66364,15.1409
dish_1562617703,132.284,85.8386,4.5465,17.5401,4.4838,179.63,110,6.49,26.95,4.51,154.108,5.29657,20.4339,5.22352,163.3,5.9,24.5,4.1
dish_1565020926,395.552,466.776,12.6847,47.3559,25.9312,398.496,489,10.3793,56.516,21.4723,84.7414,2.7175,10.1453,5.55538,81.4921,2.12255,11.5575,4.39107
dish_1564689168,353.129,342.168,21.6885,29.211,16.5288,352.947,339,27.5416,17.7268,15.0812,103.203,6.33857,8.53703,4.83061,104.114,8.12435,5.22915,4.44873
dish_1560456348,180.047,143.309,7.57671,6.09488,21.3733,210.283,149,7.53319,4.56161,29.9401,125.636,5.28697,4.25296,14.9141,141.129,5.05583,3.06149,20.094
dish_1558641287,17.2605,92.7031,0.193531,3.6335,0.816194,11.52,64,0.128,2.496,0.576,18.6191,0.208764,3.9195,0.880439,18,0.2,3.9,0.9
dish_1558373008,236.034,69.6125,18.8775,3.07917,12.9436,251.558,73,19.929,3.066,14.089,339.069,27.118,4.4233,18.5938,344.6,27.3,4.2,19.3
dish_1561577947,546.579,397.486,23.1292,22.004,57.4391,623.204,424,33.7829,12.8826,67.2026,137.509,5.81888,5.53579,14.4506,146.982,7.96768,3.03835,15.8497
dish_1558639440,69.1843,134.857,0.306692,18.6267,0.41138,60.32,116,0.232,16.24,0.348,51.3018,0.227419,13.8122,0.305048,52,0.2,14,0.3
dish_1565894889,165.424,71.7617,6.62459,19.9918,6.8038,257.813,74,11.168,33.295,6.641,230.518,9.23137,27.8586,9.48111,348.396,15.0919,44.9932,8.97432
dish_1561147944,44.2667,43.9925,4.11089,1.96296,0.67179,42.371,34,3.64301,2.25893,0.820393,100.623,9.34453,4.46203,1.52706,124.621,10.7147,6.64393,2.41292
dish_1557937079,96.0229,18.4375,7.48204,0.164311,6.74269,146.07,27,11.34,0.378,9.99,520.803,40.5806,0.89118,36.5705,541,42,1.4,37
dish_1558641320,206.225,383.246,2.19643,49.7738,3.95319,211.59,336,3.092,49.056,4.52,53.8101,0.573113,12.9874,1.0315,62.9732,0.920238,14.6,1.34524
dish_1567007848,116.459,248.55,0.931133,27.9583,1.61867,100.3,243,0.58,24.836,1.655,46.8553,0.374626,11.2485,0.651244,41.2757,0.238683,10.2206,0.68107
dish_1565810969,20.0505,79.627,0.375636,3.03303,2.31587,4.6,20,0.08,0.72,0.58,25.1806,0.471745,3.80905,2.9084,23,0.4,3.6,2.9
dish_1562168800,179.363,227.396,4.94144,31.8864,3.1608,237.525,242,9.34268,36.3149,3.826,78.8771,2.17305,14.0224,1.39,98.1508,3.86061,15.0062,1.58099
dish_1564687046,393.993,315.001,25.3192,18.4995,33.9199,374.794,308,29.0702,20.4583,33.6856,125.077,8.03783,5.87283,10.7682,121.686,9.43836,6.64232,10.9369
dish_1563221054,376.787,234.245,23.3453,9.60822,32.5316,298.878,170,17.8911,6.50988,26.9013,160.852,9.96619,4.10178,13.8878,175.81,10.5242,3.82934,15.8243
dish_1565898361,387.327,216.951,23.6312,9.81575,36.0535,370.671,202,18.8428,7.62006,38.9505,178.532,10.8924,4.52441,16.6183,183.501,9.32811,3.77231,19.2824
dish_1560367926,396.551,180.158,18.4723,36.1509,25.9692,408.523,194,20.9659,44.9849,24.1559,220.114,10.2534,20.0663,14.4147,210.579,10.8072,23.1881,12.4515
dish_1560444869,9.78287,28.4945,0.0500588,2.18834,0.167126,14.04,39,0.039,3.51,0.195,34.3324,0.175679,7.67987,0.586519,36,0.1,9,0.5
dish_1559850283,281.037,50.9668,24.3329,11.1655,10.7796,271.707,47,23.265,10.669,10.528,551.411,47.7426,21.9075,21.1503,578.1,49.5,22.7,22.4
dish_1566502505,351.534,265.783,15.0873,29.4654,26.7181,454.517,275,22.4597,33.1468,31.8749,132.264,5.67657,11.0863,10.0526,165.279,8.16716,12.0534,11.5909
dish_1565811091,337.951,371.817,13.154,18.628,36.7969,504.4,371,17.632,9.06,74.731,90.8918,3.53777,5.01001,9.89652,135.957,4.75256,2.44205,20.1431
dish_1561739265,279.743,311.922,6.55586,44.732,9.47824,292.04,308,9.989,41.127,10.689,89.6838,2.10177,14.3408,3.03866,94.8182,3.24318,13.3529,3.47045
dish_1558373159,948.237,327.657,73.1497,35.1725,51.8695,1013.34,334,79.118,30.505,60.625,289.399,22.325,10.7345,15.8304,303.394,23.688,9.13323,18.1512
dish_1565035830,311.486,449.689,8.17107,13.6017,45.3862,340.128,414,6.475,14.785,54.718,69.2669,1.81705,3.02469,10.0928,82.1565,1.56401,3.57126,13.2169
dish_1562788568,287.42,235.779,12.2135,32.6603,19.2486,289.203,230,11.7352,46.9172,11.4304,121.902,5.18006,13.8521,8.16384,125.741,5.10225,20.3988,4.96974
dish_1558376483,769.619,272.654,58.8514,33.8032,35.1895,735.03,270,55.444,32.24,33.301,282.269,21.5846,12.3978,12.9063,272.233,20.5348,11.9407,12.3337
dish_1561739160,37.5974,64.228,0.379788,8.45099,0.416549,34.77,61,0.183,8.54,0.427,58.5374,0.591312,13.1578,0.648547,57,0.3,14,0.7
dish_1558549773,3.04063,11.9535,0.0454676,0.52232,0.325811,2.3,10,0.04,0.36,0.29,25.437,0.380369,4.36958,2.72564,23,0.4,3.6,2.9
dish_1561574394,60.3224,83.1065,4.67561,3.63522,2.20267,61.5024,82,4.80367,3.43842,2.36795,72.5845,5.62604,4.37417,2.65042,75.0029,5.85813,4.19319,2.88775
dish_1558461760,11.2002,60.9057,0.123249,2.33517,0.552054,10.98,61,0.122,2.379,0.549,18.3894,0.20236,3.83408,0.906408,18,0.2,3.9,0.9
dish_1563909469,46.42,46.1168,4.20856,1.79891,0.908328,72.4028,64,6.90635,2.24837,1.36492,100.657,9.12588,3.90078,1.96963,113.129,10.7912,3.51307,2.13268
dish_1558376938,48.95,72.5005,0.151113,12.6886,0.488253,51.06,74,0.148,13.32,0.518,67.5168,0.208431,17.5015,0.673449,69,0.2,18,0.7
dish_1565986733,358.668,269.483,33.941,11.197,37.2561,387.929,287,35.6928,9.92611,42.9748,133.095,12.5948,4.155,13.825,135.167,12.4365,3.45858,14.9738
