dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein
dish_1565035746,44.3273,151.929,0.399582,8.79344,1.91002,43.1,149,0.369,9.01,2.409
dish_1558639818,22.7591,67.5988,0.115297,5.53834,0.391337,20.06,59,0.118,4.72,0.472
dish_1558549605,77.7444,59.2063,0.133942,17.6278,1.50746,97.5,75,0.225,21,2.025
dish_1561663580,296.247,197.356,14.2478,16.8346,32.0022,432.063,307,9.84414,31.345,51.4323
dish_1565898402,368.874,250.66,24.2707,11.8961,34.1069,384.799,229,19.5441,9.46281,39.4244
dish_1566328724,221.847,140.557,7.25459,0.209184,37.1114,275.55,167,6.012,0,51.77
dish_1566838351,186.462,372.567,1.11344,44.1318,2.916,190.01,417,0.822,48.034,2.49
dish_1567107839,193.996,141.943,15.1449,5.20831,21.0027,174.284,156,16.4693,11.9807,18.763
dish_1558639787,19.4763,84.4634,0.353454,4.24036,1.57223,24.75,99,0.297,4.95,1.782
dish_1562788601,443.274,299.673,22.5136,33.5819,32.7598,413.17,287,19.1392,48.7664,23.1469
dish_1560456326,168.535,108.245,7.66443,5.64107,20.9575,206.873,138,7.52219,3.79161,29.7421
dish_1564427430,305.652,184.67,18.785,3.82341,29.7716,345.62,170,23.86,2.34,30.79
dish_1565896662,60.9225,57.8823,5.05673,4.67573,0.750693,19.38,57,0.2565,3.6195,1.4535
dish_1566414342,606.472,467.852,23.3169,41.5761,58.9591,846.367,552,31.5787,53.3433,83.5779
dish_1562617703,122.927,91.628,5.84231,5.75895,10.4288,179.63,110,6.49,26.95,4.51
dish_1565020926,386.083,456.483,10.1511,51.4148,24.2064,398.496,489,10.3793,56.516,21.4723
dish_1564689168,366.054,324.62,22.2167,32.4917,16.5539,352.947,339,27.5416,17.7268,15.0812
dish_1560456348,163.972,121.845,7.43024,6.10219,20.5337,210.283,149,7.53319,4.56161,29.9401
dish_1558641287,14.5117,77.3823,0.222806,3.17785,0.68671,11.52,64,0.128,2.496,0.576
dish_1558373008,220.047,60.7349,17.4205,2.84363,11.7653,251.558,73,19.929,3.066,14.089
dish_1561577947,543.426,382.631,24.7455,18.3947,61.5229,623.204,424,33.7829,12.8826,67.2026
dish_1558639440,62.9378,122.546,0.235525,16.8971,0.267595,60.32,116,0.232,16.24,0.348
dish_1565894889,169.101,69.7115,5.78881,21.8529,7.41964,257.813,74,11.168,33.295,6.641
dish_1561147944,42.1853,47.3446,3.86188,2.42737,0.938991,42.371,34,3.64301,2.25893,0.820393
dish_1557937079,124.159,20.5003,9.80397,-0.0685563,8.52066,146.07,27,11.34,0.378,9.99
dish_1558641320,209.074,354.711,1.89646,49.7342,3.69637,211.59,336,3.092,49.056,4.52
dish_1567007848,126.745,242.43,0.916661,29.0976,1.97671,100.3,243,0.58,24.836,1.655
dish_1565810969,11.8202,65.3033,0.406053,2.3119,2.00257,4.6,20,0.08,0.72,0.58
dish_1562168800,188.671,232.822,4.38368,33.5131,3.58394,237.525,242,9.34268,36.3149,3.826
dish_1564687046,364.09,278.92,22.5622,17.9667,30.3958,374.794,308,29.0702,20.4583,33.6856
dish_1563221054,324.584,201.294,20.5267,8.56976,26.9832,298.878,170,17.8911,6.50988,26.9013
dish_1565898361,355.768,207.107,23.6546,8.49969,33.3184,370.671,202,18.8428,7.62006,38.9505
dish_1560367926,416.23,179.359,19.1318,39.9177,25.5422,408.523,194,20.9659,44.9849,24.1559
dish_1560444869,9.13214,30.7914,0.14998,2.0564,0.191366,14.04,39,0.039,3.51,0.195
dish_1559850283,267.262,42.7782,22.6189,11.2579,9.89243,271.707,47,23.265,10.669,10.528
dish_1566502505,402.413,276.562,19.0463,29.4357,29.2671,454.517,275,22.4597,33.1468,31.8749
dish_1565811091,365.777,405.195,13.4991,17.1177,46.0381,504.4,371,17.632,9.06,74.731
dish_1561739265,294.578,311.997,9.60781,41.0453,10.9843,292.04,308,9.989,41.127,10.689
dish_1558373159,841.431,267.995,65.6735,37.9346,35.1052,1013.34,334,79.118,30.505,60.625
dish_1565035830,338.076,447.687,7.84907,15.7833,47.9133,340.128,414,6.475,14.785,54.718
dish_1562788568,277.765,216.765,12.6922,29.2562,16.542,289.203,230,11.7352,46.9172,11.4304
dish_1558376483,825.616,283.755,62.6988,34.5615,37.1726,735.03,270,55.444,32.24,33.301
dish_1561739160,33.6599,58.7413,0.0471828,8.19414,0.410183,34.77,61,0.183,8.54,0.427
dish_1558549773,4.25574,10.8244,-0.0635012,0.40874,0.290073,2.3,10,0.04,0.36,0.29
dish_1561574394,71.4878,94.8337,6.07391,4.18646,2.51763,61.5024,82,4.80367,3.43842,2.36795
dish_1558461760,10.0136,54.4087,0.149691,2.11768,0.440621,10.98,61,0.122,2.379,0.549
dish_1563909469,50.4376,52.3053,4.25196,2.8586,0.972724,72.4028,64,6.90635,2.24837,1.36492
dish_1558376938,49.2895,64.8039,0.114001,12.575,0.435661,51.06,74,0.148,13.32,0.518
