dish_id,pred_calories,pred_mass,pred_fat,pred_carb,pred_protein,true_calories,true_mass,true_fat,true_carb,true_protein,preddens_calories,preddens_fat,preddens_carb,preddens_protein,truedens_calories,truedens_fat,truedens_carb,truedens_protein
dish_1565035746,50.694,167.62,0.837088,9.55845,2.27412,43.1,149,0.369,9.01,2.409,30.2434,0.499395,5.70244,1.35671,28.9262,0.247651,6.04698,1.61678
dish_1558639818,26.9816,79.851,0.160705,6.31813,0.608608,20.06,59,0.118,4.72,0.472,33.79,0.201256,7.91241,0.76218,34,0.2,8,0.8
dish_1558549605,78.4518,61.6629,0.132196,17.205,1.60276,97.5,75,0.225,21,2.025,127.227,0.214386,27.9017,2.59923,130,0.3,28,2.7
dish_1561663580,330.369,227.418,10.9201,25.9978,36.1296,432.063,307,9.84414,31.345,51.4323,145.269,4.80177,11.4317,15.8869,140.737,3.20656,10.2101,16.7532
dish_1565898402,383.381,258.537,21.8826,12.4008,35.433,384.799,229,19.5441,9.46281,39.4244,148.289,8.46402,4.79652,13.7052,168.035,8.53454,4.13223,17.2159
dish_1566328724,207.389,123.761,7.67138,0.0513579,34.3229,275.55,167,6.012,0,51.77,167.573,6.19855,0.0414977,27.7333,165,3.6,0,31
dish_1566838351,168.052,357.165,0.942329,41.7863,2.19593,190.01,417,0.822,48.034,2.49,47.0516,0.263836,11.6995,0.614822,45.5659,0.197122,11.5189,0.597122
dish_1567107839,178.893,138.322,16.5942,5.41613,18.3863,174.284,156,16.4693,11.9807,18.763,129.331,11.9968,3.91561,13.2924,111.721,10.5573,7.67994,12.0276
dish_1558639787,25.0804,95.6551,0.291568,4.95501,1.68732,24.75,99,0.297,4.95,1.782,26.2196,0.304811,5.18008,1.76396,25,0.3,5,1.8
dish_1562788601,494.527,323.129,24.8522,33.8003,37.6779,413.17,287,19.1392,48.7664,23.1469,153.043,7.69109,10.4603,11.6603,143.962,6.66869,16.9918,8.06511
dish_1560456326,163.314,115.145,5.97694,5.62611,20.1428,206.873,138,7.52219,3.79161,29.7421,141.833,5.19079,4.8861,17.4934,149.908,5.45086,2.74755,21.5522
dish_1564427430,336.581,180.008,24.0319,3.25977,26.7651,345.62,170,23.86,2.34,30.79,186.981,13.3505,1.8109,14.8689,203.306,14.0353,1.37647,18.1118
dish_1565896662,81.3246,76.937,6.42321,5.65543,1.45559,19.38,57,0.2565,3.6195,1.4535,105.703,8.34865,7.35073,1.89193,34,0.45,6.35,2.55
dish_1566414342,628.078,491.476,25.3966,36.324,69.9146,846.367,552,31.5787,53.3433,83.5779,127.794,5.16743,7.3908,14.2254,153.327,5.72078,9.66364,15.1409
dish_1562617703,86.0967,60.6382,2.72313,12.5016,2.68285,179.63,110,6.49,26.95,4.51,141.984,4.49078,20.6168,4.42436,163.3,5.9,24.5,4.1
dish_1565020926,383.831,463.691,10.7581,50.8459,22.375,398.496,489,10.3793,56.516,21.4723,82.7774,2.32009,10.9655,4.8254,81.4921,2.12255,11.5575,4.39107
dish_1564689168,357.466,347.822,21.9074,29.8166,16.8954,352.947,339,27.5416,17.7268,15.0812,102.773,6.29845,8.57236,4.85748,104.114,8.12435,5.22915,4.44873
dish_1560456348,170.422,141.669,6.33415,7.05751,19.9678,210.283,149,7.53319,4.56161,29.9401,120.296,4.47109,4.98169,14.0947,141.129,5.05583,3.06149,20.094
dish_1558641287,17.1501,92.3642,0.193336,3.61401,0.799495,11.52,64,0.128,2.496,0.576,18.5679,0.209319,3.91279,0.86559,18,0.2,3.9,0.9
dish_1558373008,257.602,76.4629,20.541,3.14738,14.2008,251.558,73,19.929,3.066,14.089,336.898,26.864,4.11621,18.5721,344.6,27.3,4.2,19.3
dish_1561577947,563.683,400.843,22.6075,21.9976,59.4553,623.204,424,33.7829,12.8826,67.2026,140.625,5.63999,5.48785,14.8326,146.982,7.96768,3.03835,15.8497
dish_1558639440,71.6928,141.178,0.265592,19.313,0.42522,60.32,116,0.232,16.24,0.348,50.7817,0.188125,13.6798,0.301193,52,0.2,14,0.3
dish_1565894889,153.413,72.5621,5.94711,19.1118,6.26759,257.813,74,11.168,33.295,6.641,211.423,8.19588,26.3385,8.63755,348.396,15.0919,44.9932,8.97432
dish_1561147944,46.7497,43.2799,4.15537,2.18297,0.94325,42.371,34,3.64301,2.25893,0.820393,108.017,9.60117,5.04386,2.17942,124.621,10.7147,6.64393,2.41292
dish_1557937079,95.5979,18.2183,7.41466,0.162792,6.61779,146.07,27,11.34,0.378,9.99,524.735,40.699,0.893563,36.3249,541,42,1.4,37
dish_1558641320,210.426,386.369,2.23361,50.6573,3.99898,211.59,336,3.092,49.056,4.52,54.4624,0.578104,13.1111,1.03502,62.9732,0.920238,14.6,1.34524
dish_1567007848,133.083,259.599,1.15851,30.7092,1.87461,100.3,243,0.58,24.836,1.655,51.2647,0.44627,11.8294,0.722115,41.2757,0.238683,10.2206,0.68107
dish_1565810969,16.9392,71.0459,0.262123,2.78377,1.98898,4.6,20,0.08,0.72,0.58,23.8426,0.368949,3.91827,2.79958,23,0.4,3.6,2.9
dish_1562168800,195.421,248.497,5.57903,34.2075,3.32078,237.525,242,9.34268,36.3149,3.826,78.6413,2.24511,13.7657,1.33634,98.1508,3.86061,15.0062,1.58099
dish_1564687046,363.948,292.175,22.6742,16.5396,31.5202,374.794,308,29.0702,20.4583,33.6856,124.565,7.76047,5.66084,10.7881,121.686,9.43836,6.64232,10.9369
dish_1563221054,365.072,233.258,22.2054,9.23257,31.2204,298.878,170,17.8911,6.50988,26.9013,156.509,9.51966,3.95808,13.3845,175.81,10.5242,3.82934,15.8243
dish_1565898361,389.005,225.249,22.9003,10.5405,36.8668,370.671,202,18.8428,7.62006,38.9505,172.7,10.1667,4.67947,16.3671,183.501,9.32811,3.77231,19.2824
dish_1560367926,390.84,174.526,16.8394,35.0725,25.7756,408.523,194,20.9659,44.9849,24.1559,223.943,9.64864,20.0958,14.7689,210.579,10.8072,23.1881,12.4515
dish_1560444869,11.8581,30.7946,0.0674704,2.43872,0.208027,14.04,39,0.039,3.51,0.195,38.5069,0.219098,7.9193,0.67553,36,0.1,9,0.5
dish_1559850283,270.516,48.6623,23.1943,10.8192,10.4638,271.707,47,23.265,10.669,10.528,555.905,47.6639,22.2332,21.5029,578.1,49.5,22.7,22.4
dish_1566502505,365.956,267.931,15.6146,29.4519,27.6278,454.517,275,22.4597,33.1468,31.8749,136.586,5.82783,10.9923,10.3115,165.279,8.16716,12.0534,11.5909
dish_1565811091,357.689,392.071,15.6971,20.4806,37.5805,504.4,371,17.632,9.06,74.731,91.2307,4.00364,5.22371,9.58514,135.957,4.75256,2.44205,20.1431
dish_1561739265,290.884,329.264,7.05901,46.4276,9.83699,292.04,308,9.989,41.127,10.689,88.3438,2.14387,14.1004,2.98757,94.8182,3.24318,13.3529,3.47045
dish_1558373159,934.989,321.704,73.0445,36.5517,47.5146,1013.34,334,79.118,30.505,60.625,290.637,22.7055,11.3619,14.7697,303.394,23.688,9.13323,18.1512
dish_1565035830,308.211,440.522,8.24577,13.989,44.8093,340.128,414,6.475,14.785,54.718,69.965,1.87182,3.17554,10.1719,82.1565,1.56401,3.57126,13.2169
dish_1562788568,304.08,238.353,13.6133,31.8083,19.8219,289.203,230,11.7352,46.9172,11.4304,127.576,5.7114,13.345,8.31623,125.741,5.10225,20.3988,4.96974
dish_1558376483,814.602,289.844,62.3217,35.8393,36.5728,735.03,270,55.444,32.24,33.301,281.048,21.5018,12.365,12.6181,272.233,20.5348,11.9407,12.3337
dish_1561739160,36.4194,62.8557,0.299152,8.57884,0.442562,34.77,61,0.183,8.54,0.427,57.9412,0.475935,13.6485,0.704092,57,0.3,14,0.7
dish_1558549773,3.15495,13.1222,0.0547997,0.51698,0.351233,2.3,10,0.04,0.36,0.29,24.0428,0.417609,3.93972,2.67663,23,0.4,3.6,2.9
dish_1561574394,78.2824,107.214,5.43706,5.81153,3.1924,61.5024,82,4.80367,3.43842,2.36795,73.015,5.07121,5.42049,2.97759,75.0029,5.85813,4.19319,2.88775
dish_1558461760,10.6452,57.6577,0.121549,2.25437,0.519535,10.98,61,0.122,2.379,0.549,18.4627,0.210812,3.90992,0.901068,18,0.2,3.9,0.9
dish_1563909469,60.0963,55.5905,5.50794,2.07915,1.00029,72.4028,64,6.90635,2.24837,1.36492,108.105,9.90806,3.74013,1.79939,113.129,10.7912,3.51307,2.13268
